"wikidataId","fullName","frName","birthDate","birthPlace","deathDate","deathPlace","height","positions"
"Q285739","Valentin Ursache","Valentin Ursache",1985-08-12,"Târgu Neamț",NA,NA,188,"2nd Row; Flanker"
"Q286258","Yannick Jauzion","Yannick Jauzion",1978-07-28,"Castres",NA,NA,193,"Centre; Fullback"
"Q287936","Joe Launchbury","Joe Launchbury",1991-04-12,"Exeter",NA,NA,199,"2nd Row"
"Q289223","Jerry Collins","Jerry Collins",1980-11-04,"Apia",2015-06-05,"Béziers",191,"Flanker"
"Q289332","George Travers","Twyber Travers",1877-06-09,"Newport; Wales",1945-12-26,"Newport; Wales",NA,"Hooker"
"Q301081","Jamie Salmon","Jamie Salmon",1959-10-16,NA,NA,NA,183,"Centre"
"Q302330","Aaron Mauger","Aaron Mauger",1980-11-29,"Christchurch",NA,NA,183,"Centre; Fly-Half"
"Q311569","Michael Hester","Michael Hester",1972-05-02,NA,NA,NA,181,NA
"Q316676","Mariusz Pudzianowski",NA,NA,NA,NA,NA,NA,NA
"Q317422","Eric Liddell",NA,NA,NA,NA,NA,NA,NA
"Q318920","Jonny Wilkinson","Jonny Wilkinson",1979-05-25,"Frimley",NA,NA,178,"Fly-Half"
"Q319318","William Webb Ellis","William Webb Ellis",1806-11-24,NA,1872-02-24,NA,NA,NA
"Q323192","Saïmoni Vaka","Saïmoni Vaka",1987-06-02,"Suva",NA,NA,183,"Winger"
"Q325033","Jannie du Plessis","Jannie du Plessis",1982-11-16,"Bethlehem; South Africa",NA,NA,188,"Prop"
"Q327770","John Roe","John Roe",1977-04-10,NA,NA,NA,187,"Number 8"
"Q329393","David Auradou","David Auradou",1973-11-13,"Harfleur",NA,NA,200,"2nd Row"
"Q335197","Bryan Habana","Bryan Habana",1983-06-12,"Benoni; South Africa",NA,NA,180,"Winger"
"Q335238","Rahul Bose","Rahul Bose",1967-07-27,"Bengaluru",NA,NA,NA,"Winger"
"Q338006","Jean-Baptiste Élissalde","Jean-Baptiste Élissalde",1977-11-23,"La Rochelle",NA,NA,172,"Scrum-Half; Fly-Half"
"Q339938","Chris Budgen","Chris Budgen",1973-01-21,"Hamilton; New Zealand",NA,NA,175,"Prop"
"Q348855","Pat Sanderson","Pat Sanderson",1977-09-06,"Chester",NA,NA,188,"Flanker; Number 8"
"Q348867","Ian Kirkpatrick","Ian Kirkpatrick",1946-05-24,"Gisborne; New Zealand",NA,NA,190,"Flanker"
"Q350686","Adam Rhys Jones","Adam Jones",1981-03-08,"Abercrave",NA,NA,183,"Prop"
"Q350967","Luke McAlister","Luke McAlister",1983-08-28,"Waitara; New Zealand",NA,NA,177,"Fly-Half; Centre"
"Q351157","Adam Whitelock","Adam Whitelock",1987-04-17,"Palmerston North",NA,NA,185,"Centre; Winger"
"Q352068","Carl Hayman","Carl Hayman",1979-11-14,"Ōpunake",NA,NA,193,"Prop"
"Q353833","Hosea Gear","Hosea Gear",1984-03-16,"Gisborne; New Zealand",NA,NA,188,"Winger; Centre"
"Q356460","Dick Spring","Dick Spring",1950-08-29,"Tralee",NA,NA,NA,"Fullback"
"Q360694","Charlie Hodgson","Charlie Hodgson",1980-11-12,"Halifax; West Yorkshire",NA,NA,178,"Fly-Half; Centre"
"Q361549","David Bortolussi","David Bortolussi",1981-06-21,"Auch",NA,NA,188,"Fullback"
"Q361732","Brian Ashton","Brian Ashton",1946-09-03,"Leigh; Greater Manchester",NA,NA,NA,"Scrum-Half"
"Q363717","Jonah Lomu","Jonah Lomu",1975-05-12,"Auckland",2015-11-18,"Auckland",196,"Winger"
"Q364461","Josh Lewsey","Josh Lewsey",1976-11-30,"Bromley",NA,NA,180,"Centre; Fullback"
"Q364694","Lote Tuqiri","Lote Tuqiri",1979-09-23,"Suva",NA,NA,191,"Winger"
"Q364941","Matt Burke","Matt Burke",1973-03-26,"Sydney",NA,NA,NA,"Fullback; Centre; Winger"
"Q365677","Adolphe Bousquet","Adolphe Bousquet",1899-08-14,"Maraussan",1972-03-17,"Béziers",168,"Scrum-Half; Fly-Half"
"Q365731","Michael Lynagh","Michael Lynagh",1963-10-25,"Brisbane",NA,NA,178,"Fly-Half"
"Q365879","Brian Lima","Brian Lima",1972-01-25,"Apia",NA,NA,186,"Centre; Winger"
"Q366237","Jeff Wilson","Jeff Wilson",1973-10-24,"Invercargill",NA,NA,180,"Fullback; Winger"
"Q367554","John Gwilliam","John Gwilliam",1923-02-28,"Pontypridd",2016-12-21,"Deganwy",188,"Number 8"
"Q369607","Salvatore Perugini","Salvatore Perugini",1978-03-06,"Pontelandolfo",NA,NA,183,"Prop"
"Q369619","Gavin Johnson","Gavin Johnson",1966-10-17,"Louis Trichardt",NA,NA,188,"Winger; Fullback"
"Q370059","George Smith","George Smith",1980-07-14,"Manly; New South Wales",NA,NA,180,"Flanker"
"Q371503","André Béhotéguy","André Béhotéguy",1900-10-19,"Bayonne",1960-07-14,"Nice",166,"Centre"
"Q372362","Mike Teague","Mike Teague",1960-10-08,NA,NA,NA,190,"Flanker"
"Q372453","Marcelo Loffreda","Marcelo Loffreda",1959-05-17,"Buenos Aires",NA,NA,NA,"Centre"
"Q372734","Adrian Cashmore","Adrian Cashmore",1973-07-23,"Tokoroa",NA,NA,183,"Fullback; Winger"
"Q373771","Mark Ella","Mark Ella",1959-06-05,"La Perouse; New South Wales",NA,NA,NA,"Fly-Half"
"Q374376","De Wet Barry","De Wet Barry",1978-06-24,"Ceres; South Africa",NA,NA,188,"Centre"
"Q374524","Sean Lynch","Sean Lynch",1942-09-22,NA,NA,NA,NA,"Prop"
"Q375081","Pablo Canavosio","Pablo Canavosio",1981-12-26,"Córdoba; Argentina",NA,NA,175,"Scrum-Half; Winger"
"Q375259","Alex Burdon","Alex Burdon",1879-03-31,"Glebe; New South Wales",1943-12-13,"Branxton",NA,"Prop"
"Q375493","Jim Williams","Jim Williams",1968-12-08,"Young; New South Wales",NA,NA,193,"Flanker"
"Q375894","Andrea De Marchi","Andrea De Marchi",1988-11-19,"Montebelluna",NA,NA,187,"Prop"
"Q376270","Denis Fahey","Denis Fahey",NA,NA,NA,NA,NA,NA
"Q376378","David Humphreys","David Humphreys",1971-09-10,"Belfast",NA,NA,177,"Fly-Half"
"Q376397","Japie Mulder","Japie Mulder",1969-10-18,"Springs; South Africa",NA,NA,184,"Centre"
"Q376430","Mike Blair","Mike Blair",1981-04-20,"Edinburgh",NA,NA,181,"Scrum-Half"
"Q377052","William Téchoueyres","William Téchoueyres",1966-02-12,"Bordeaux",NA,NA,183,"Winger"
"Q377476","Peter Winterbottom","Peter Winterbottom",1960-05-31,"Otley",NA,NA,183,"Flanker"
"Q377498","Thierry de Martel","Thierry de Martel",1875-03-07,NA,1940-06-14,NA,NA,NA
"Q378444","Rod Kafer","Rod Kafer",1971-06-25,"Newcastle; New South Wales",NA,NA,176,"Centre; Fly-Half"
"Q380388","Frik du Preez","Frik du Preez",1935-11-28,"Rustenburg",NA,NA,188,"2nd Row; Flanker"
"Q381641","Girvan Dempsey","Girvan Dempsey",1975-10-02,"Dublin",NA,NA,182,"Fullback"
"Q381649","Gareth Cooper","Gareth Cooper",1979-05-07,"Bridgend",NA,NA,171,"Scrum-Half"
"Q382731","John Warlow","John Warlow",1939-02-13,"Dafen",NA,NA,NA,"Prop"
"Q383727","Giovanbattista Venditti","Giovanbattista Venditti",1990-03-27,"Avezzano",NA,NA,188,"Winger"
"Q383886","Fourie du Preez","Fourie du Preez",1982-03-24,"Pretoria",NA,NA,182,"Scrum-Half"
"Q384650","Paul Carozza","Paul Carozza",1966-04-14,"Brisbane",NA,NA,168,"Winger"
"Q385574","Jim Webb","Jim Webb",1882-11-23,"Coleford; Gloucestershire",1955-01-29,"Soudley",NA,"Prop; 2nd Row; Flanker"
"Q385611","Brodie Henderson","Brodie Henderson",1983-12-12,"Vancouver",NA,NA,185,"Winger"
"Q385839","Clive Sullivan","Clive Sullivan",1943-04-09,"Cardiff",1985-10-08,"Kingston upon Hull",NA,"Winger"
"Q387450","Franck Montanella","Franck Montanella",1982-03-26,"Cannes",NA,NA,185,"Prop"
"Q387525","Wavell Wakefield, 1st Baron Wakefield of Kendal","Wavell Wakefield",1898-03-10,"London",1983-08-12,"Kendal",186,"Flanker"
"Q387669","John Robbie","John Robbie",1955-11-17,NA,NA,NA,175,"Scrum-Half"
"Q387758","John Rudd","John Rudd",1981-05-26,NA,NA,NA,NA,"Winger"
"Q389714","Imanol Harinordoquy","Imanol Harinordoquy",1980-02-20,"Bayonne",NA,NA,192,"Number 8; Flanker"
"Q390102","Darren Crompton","Darren Crompton",1972-09-12,"Exeter",NA,NA,188,"Prop"
"Q399410","Agustín Pichot","Agustín Pichot",1974-08-22,"Buenos Aires",NA,NA,175,"Scrum-Half"
"Q406125","Benjamin Dambielle","Benjamin Dambielle",1985-07-15,"Auch",NA,NA,183,"Fullback; Fly-Half"
"Q406132","Romain Cabannes","Romain Cabannes",1984-12-02,"Mont-de-Marsan",NA,NA,183,"Centre"
"Q406142","Rémi Lamerat","Rémi Lamerat",1990-01-14,"Sainte-Foy-la-Grande",NA,NA,184,"Centre"
"Q406148","Jean-Marc Mazzonetto","Jean-Marc Mazzonetto",1983-10-07,"Agen",2018-01-09,"Gaillères",180,"Fullback; Winger"
"Q406385","Rémi Tales","Rémi Talès",1984-05-02,"Mont-de-Marsan",NA,NA,186,"Fly-Half"
"Q406422","Julien Fritz","Julien Fritz",1990-01-10,"Sens",NA,NA,189,"Centre; Fullback"
"Q406431","Armand Battle","Armand Batlle",1987-04-12,"Perpignan",NA,NA,188,"Winger; Fullback"
"Q406610","Julien Audy","Julien Audy",1984-11-21,"Tulle",NA,NA,171,"Scrum-Half"
"Q406616","Rabah Slimani","Rabah Slimani",1989-10-18,"Sarcelles",NA,NA,178,"Tighthead Prop"
"Q406637","Yohann Vivalda","Yohann Vivalda",1988-12-09,"Agen",NA,NA,200,"2nd Row"
"Q425547","Gonzalo Longo","Gonzalo Longo",1974-03-14,"San Isidro; Buenos Aires",NA,NA,193,"Number 8"
"Q425576","Michael Lipman","Michael Lipman",1980-01-16,"London",NA,NA,185,"Flanker"
"Q425580","Sitiveni Sivivatu","Sitiveni Sivivatu",1982-04-19,"Suva",NA,NA,185,"Winger"
"Q427291","Gavin Hastings","Gavin Hastings",1962-01-03,"Edinburgh",NA,NA,188,"Fullback"
"Q428564","Dan Drysdale","Dan Drysdale",1901-05-18,"Kippen",1987-10-15,"Yeovil",NA,"Fullback"
"Q429847","Mircea Paraschiv","Mircea Paraschiv",1954-12-14,"Bucharest",NA,NA,NA,"Scrum-Half"
"Q430712","Charles William Miller",NA,NA,NA,NA,NA,NA,NA
"Q431135","Ron Cribb","Ron Cribb",1976-07-07,"Whanganui",NA,NA,194,"Number 8"
"Q432098","Tom Richards","Tom Richards",1882-04-29,"Australia",1935-09-25,"Brisbane",NA,"Forward"
"Q432329","Paul Sackey","Paul Sackey",1979-11-08,"London",NA,NA,183,"Winger"
"Q433258","Ian McGeechan","Ian McGeechan",1946-10-30,"Leeds",NA,NA,174,"Fly-Half; Centre"
"Q433324","Lee Mears","Lee Mears",1979-03-05,"Torquay",NA,NA,NA,"Hooker"
"Q433334","Phil Vickery","Phil Vickery",1976-03-14,"Barnstaple",NA,NA,190,"Prop"
"Q433339","Andrew Sheridan","Andrew Sheridan",1979-11-01,"Bromley",NA,NA,195,"Prop"
"Q433539","Nick Easter","Nick Easter",1978-08-15,"Epsom",NA,NA,193,"Number 8; 2nd Row"
"Q433546","Steve Borthwick","Steve Borthwick",1979-10-12,"Carlisle",NA,NA,198,"2nd Row"
"Q433551","Lewis Moody","Lewis Moody",1978-06-12,"Ascot; Berkshire",NA,NA,195,"Flanker"
"Q433555","Danny Care","Danny Care",1987-01-02,"Leeds",NA,NA,173,"Scrum-Half; Fly-Half"
"Q433643","Simon Shaw","Simon Shaw",1973-09-01,"Nairobi",NA,NA,202,"2nd Row"
"Q433780","Mathew Tait","Mathew Tait",1986-02-06,"Shotley Bridge",NA,NA,183,"Winger; Centre"
"Q433791","Mark Cueto","Mark Cueto",1979-12-26,"Workington",NA,NA,183,"Winger; Fullback"
"Q433797","Danny Cipriani","Danny Cipriani",1987-11-02,"Roehampton",NA,NA,183,"Fly-Half; Centre; Fullback"
"Q434398","Jerry Flannery","Jerry Flannery",1978-10-17,"Galway",NA,NA,180,"Hooker"
"Q434427","David Wallace","David Wallace",1976-07-08,"Limerick",NA,NA,188,"Flanker"
"Q434652","Simon Webster","Simon Webster",1981-03-08,"Hartlepool",NA,NA,184,"Centre; Winger"
"Q438506","John Yapp","John Yapp",1983-04-09,"Cardiff",NA,NA,188,"Prop"
"Q438515","Dafydd Jones","Dafydd Jones",1979-06-24,"Aberystwyth",NA,NA,198,"Flanker; Number 8"
"Q439015","Riki Flutey","Riki Flutey",1980-02-10,"Featherston; New Zealand",NA,NA,180,"Centre; Fly-Half; Scrum-Half; Fullback"
"Q439025","Donncha O'Callaghan","Donncha O'Callaghan",1979-03-24,"Cork (city)",NA,NA,198,"2nd Row"
"Q439402","Tommy Bowe","Tommy Bowe",1984-02-22,"County Monaghan",NA,NA,191,"Winger"
"Q439413","Harry Ellis","Harry Ellis",1982-05-17,"Wigston",NA,NA,178,"Scrum-Half"
"Q439453","Keith Earls","Keith Earls",1987-10-02,"Limerick",NA,NA,180,"Centre; Winger; Fullback"
"Q439487","Tomás O'Leary","Tomás O'Leary",1983-10-22,"Cork (city)",NA,NA,174,"Scrum-Half"
"Q439867","Mark Regan","Mark Regan",1972-01-28,"Bristol",NA,NA,177,"Hooker"
"Q439880","Joe Worsley","Joe Worsley",1977-06-14,"Redbridge; London",NA,NA,195,"Flanker"
"Q440131","Jamie Heaslip","Jamie Heaslip",1983-12-15,"Tiberias",NA,NA,193,"Number 8"
"Q440625","Martin Corry","Martin Corry",1973-10-12,"Birmingham",NA,NA,195,"Number 8; Flanker"
"Q441286","Tom Croft","Tom Croft",1985-04-07,"Basingstoke",NA,NA,196,"2nd Row; Flanker"
"Q441972","Tendai Mtawarira","Tendai Mtawarira",1985-08-01,"Harare",NA,NA,183,"Prop"
"Q443117","Tim Payne","Tim Payne",1979-04-29,"Swindon",NA,NA,185,"Prop"
"Q446200","Colby Slater","Colby Slater",1896-04-30,"Berkeley; California",1965-01-30,"Clarksburg; California",191,"2nd Row"
"Q446789","Dai Young","David Young",1967-07-26,"Aberdare",NA,NA,185,"Prop"
"Q446877","Alfred Eluère",NA,1893-07-28,"Saint-Clément-des-Levées",1985-03-12,"Narrosse",NA,NA
"Q447937","Jack Kyle","Jack Kyle",1926-01-10,"Belfast",2014-11-27,"Northern Ireland",NA,"Fly-Half"
"Q447949","Bryn Meredith","Bryn Meredith",1930-11-21,"Cwmbran",NA,NA,180,"Hooker"
"Q447961","Alun Wyn Jones","Alun Wyn Jones",1985-09-19,"Swansea",NA,NA,198,"2nd Row"
"Q448009","Jim Telfer","Jim Telfer",1940-03-17,"Pathhead; Midlothian",NA,NA,188,"Number 8"
"Q448172","Syd Millar","Syd Millar",1934-05-23,"Ballymena",2023-12-10,NA,NA,"Prop"
"Q448182","Jeremy Guscott","Jeremy Guscott",1965-07-07,"Bath; Somerset",NA,NA,185,"Centre"
"Q448212","Bobby Windsor","Bobby Windsor",1948-01-31,"Newport; Wales",NA,NA,175,"Hooker"
"Q448312","Willie John McBride","Willie-John McBride",1940-08-06,"Toomebridge",NA,NA,194,"2nd Row"
"Q448441","Tony O'Reilly","Tony O'Reilly",1936-05-07,"Dublin",2024-05-18,"Dublin",NA,"Centre; Winger"
"Q448825","Will Greenwood","Will Greenwood",1972-10-20,"Blackburn",NA,NA,193,"Centre"
"Q449012","Jamie Roberts","Jamie Roberts",1986-11-08,"Newport; Wales",NA,NA,193,"Centre; Winger"
"Q449131","Luke Charteris","Luke Charteris",1983-03-09,"Camborne",NA,NA,210,"2nd Row"
"Q452051","Graham Mourie","Graham Mourie",1952-09-08,"Ōpunake",NA,NA,183,"Flanker"
"Q452373","Sid Going","Sid Going",1943-08-19,"Kawakawa; New Zealand",2024-05-17,"Maromaku",170,"Scrum-Half"
"Q452384","Julien Dupuy","Julien Dupuy",1983-12-19,"Périgueux",NA,NA,178,"Scrum-Half"
"Q453066","Władysław Komar","Władysław Komar",1940-04-11,NA,1998-08-17,NA,196,NA
"Q454123","Rob Kearney","Rob Kearney",1986-03-26,"County Louth",NA,NA,185,"Fullback; Winger"
"Q455124","Wilson Whineray","Wilson Whineray",1935-07-10,"Auckland",2012-10-22,"Auckland",183,"Prop"
"Q460627","Sam Warburton","Sam Warburton",1988-10-05,"Cardiff",NA,NA,188,"Flanker"
"Q460637","Jonathan Davies","Jonathan Davies",1988-04-05,"Solihull",NA,NA,186,"Centre"
"Q460934","Morgan Stoddart","Morgan Stoddart",1984-09-23,"Trealaw",NA,NA,186,"Fullback; Winger"
"Q461349","Oscar Kreuzer",NA,NA,NA,NA,NA,NA,NA
"Q463531","Jean-Baptiste Charcot","Jean-Baptiste Charcot",1867-07-15,NA,1936-09-16,NA,NA,"Prop"
"Q465470","Sébastien Chabal","Sébastien Chabal",1977-12-08,"Valence; Drôme",NA,NA,191,"Number 8; Flanker; 2nd Row"
"Q469706","Percy Montgomery","Percy Montgomery",1974-03-15,"Walvis Bay",NA,NA,183,"Fullback"
"Q472853","Alan Quinlan","Alan Quinlan",1974-07-13,"Tipperary (town)",NA,NA,190,"Flanker"
"Q474788","Matthew Rees","Matthew Rees",1980-12-09,"Tonyrefail",NA,NA,188,"Hooker"
"Q475438","Vincent Clerc","Vincent Clerc",1981-05-07,"Échirolles",NA,NA,178,"Winger"
"Q496505","Heyneke Meyer","Heyneke Meyer",1967-10-06,"Mbombela",NA,NA,NA,NA
"Q501604","Florian Faure","Florian Faure",1983-03-26,"La Tronche",NA,NA,194,"3rd Row"
"Q501628","Olivier Chaplain","Olivier Chaplain",1982-01-06,"Paris",NA,NA,191,"Number 8"
"Q501868","Mathieu Nicolas","Matthieu Nicolas",1987-02-11,"Valence; Drôme",NA,NA,180,"Winger; Fullback; Fly-Half"
"Q501873","Lucas Dupont","Lucas Dupont",1990-03-19,"Échirolles",NA,NA,178,"Winger"
"Q501877","Clément Darbo","Clément Darbo",1986-01-13,"Pau; Pyrénées-Atlantiques",NA,NA,176,"Scrum-Half"
"Q503407","James Haskell","James Haskell",1985-04-02,"Windsor; Berkshire",NA,NA,193,"Flanker"
"Q503493","John Bevan","John Bevan",1948-03-12,"Neath",1986-06-05,"Port Talbot",173,"Fly-Half"
"Q503776","Andrew Bishop","Andrew Bishop",1985-08-07,"Llantrisant",NA,NA,183,"Centre"
"Q504581","Andrew Ellis","Andy Ellis",1984-02-21,"Christchurch",NA,NA,182,"Scrum-Half"
"Q505193","Andrew Hore","Andrew Hore",1978-09-13,"Dunedin",NA,NA,183,"Hooker"
"Q506299","Andrew Mehrtens","Andrew Mehrtens",1973-04-28,"Durban",NA,NA,178,"Fly-Half"
"Q506434","Luke Fitzgerald","Luke Fitzgerald",1987-09-13,"County Wicklow",NA,NA,185,"Centre; Winger; Fullback"
"Q506917","Marcos Ayerza","Marcos Ayerza",1983-01-12,"Buenos Aires",NA,NA,186,"Prop"
