"fullName","jaName","teamId"
"Ellesmere University","エレスメア大学",""
"Endeavor Sports Hig","エンデバースポーツヒグ",""
"England Saxons","イングランド・サクソンズ",""
"England U18","イングランドU18",""
"Ennis Killen RFC","エニスキレンRFC",""
"Ensei STM","エンセイSTM",""
"Erindale College","エリンデール・カレッジ",""
"Esher","イーシャー",""
"Esher RFC","イーシャーRFC",""
"F.I.R. Academy","F.I.R.アカデミー",""
"Farnham","Farnham",""
"Farul Constanta","ファルル・コンスタンツァ",""
"FC Auscher","FCオーシュジェール",""
"FC Axe","FCアックス",""
"FC Falul Constanta","FCファルル・コンスタンツァ",""
"FC Ororon","FCオロロン",""
"Felsted School","フェルステッド校",""
"Fiji University of Technology","フィジー工科大学",""
"Fiji Warriors","フィジー・ウォリアーズ",""
"FIR Academy","FIRアカデミー",""
"FNB Whits","FNBウィッツ",""
"Foolscole Voterique","フールスコール・ヴォーテールク",""
"Francis Douglas Memoria","フランシス・ダグラス・メモリア",""
"Fraser Tech Rugby Club","フレイザーテックラグビークラブ",""
"Free State","フリーステート",""
"Free State Cheetahs","フリーステート・チーターズ",""
"Free State University","フリーステイト大学",""
"Free State XV","フリーステートXV",""
"Fukui Prefectural Sports Association","福井県スポーツ協会",""
"Gangarin","ガンガーリン",""
"GDS Cascais","GDS・カスカイス",""
"Gekcho","ゲチョ",""
"Genkai Tungaro Rugby","玄海タンガロアラグビー",""
"Georgia U-18","ジョージアU-18",""
"GER","GER",""
"Gilroy College","ギルロイカレッジ",""
"Gladyartre Sannich","グラディアートル・サンニチ",""
"Glamorgan Wanderers","グラモーガン・ワンダラーズ",""
"Glamour TEC","グラマーTEC",""
"Glenwood High","グレンウッド高",""
"Gocho Altea","ゲチョアルテア",""
"GPS Old Boys","GPS Old Boys",""
"GPS Rugby Club","GPSラグビークラブ",""
"GPS rugby union club","GPS rugby union club",""
"Grand Palma","グランパルマ",""
"Grande Milan","グランデ・ミラノ",""
"Greater Sydney Rams","グレイターシドニーラムズ",""
"Green Island RFC","グリーン・アイランドRFC",""
"Grenoble","グルノーブル",""
"Grey College","グレイカレッジ",""
"Grikuas","グリクアス",""
"Guilford Grammar School","ギルフォード・グラマー・スクール",""
"Guy Woo RFC","ガイ・ウーRFC",""
"Haalshontain University","ハールスホンテイン大学",""
"Hal Ionian","ハル・イオニアン",""
"Harbor Rugby Club","ハーバーラグビークラブ",""
"Hartpley University","ハートプリー大学",""
"Hat Old Boysmalist","ハットオールドボーイズマリスト",""
"Hawke's Bay","ホークスベイ",""
"Hawkes Bay (NPC)","ホークス・ベイ (NPC)",""
"Hawkes Bay RGA","ホークスベイRGA",""
"Hawks Bay","ホークス・ベイ",""
"Heidelberger RK","ハイデルベルガーRK",""
"Heightpenny College","ハイトペニーカレッジ",""
"Heliots RFC","ヘリオッツRFC",""
"Heretownga College","ヘレタウンガ・カレッジ",""
"Heriot Watt University","ヘリオット・ワット大学",""
"Hiroshima","広島",""
"Hong Kong Dolphins","香港仔ドルフィンズ",""
"Hong Kong FC","香港FC",""
"Hossegor","Hossegor",""
"Huiragby Football Club","フイアラグビーフットボールクラブ",""
"Hull RUFC","ハルRUFC",""
"Hunter's Hill","ハンターズ・ヒル",""
"Imperia Penza","インペリア・ペンザ",""
"India","インド",""
"Invercargill Blues","インバーカーギル・ブルーズ",""
"Ipswich Grammar School","イプスウィッチ・グラマー・スクール",""
"Ireland A","アイルランドA",""
"Ireland U19","アイルランドU19",""
"Ireland U21","アイルランドU21",""
"Irish Wolf Hands","アイルランドウルフハンズ",""
"Ironi","アイロニ",""
"irony","アイロニー",""
"James Bay AA","ジェームズベイAA",""
"Japan","Japan",""
"Japan National Team Backroom Coach Staff","日本代表バックルームコーチスタッフ",""
"John McGalaxyan College","ジョンマクガラシャンカレッジ",""
"John McGlashan College","ジョン・マクグラシャン・カレッジ",""
"John Paul College","ジョンポールカレッジ",""
"John Wesley College","ジョンウェズレーカレッジ",""
"Johnsonville","ジョンソンビル",""
"Joseph Nudge College","ジョセフナッジカレッジ",""
"Junior All Blacks","ジュニアオールブラックス",""
"Juntendo University Graduate School","順天堂大学大学院",""
"Kaipara College","カイパラ・カレッジ",""
"Kanagawa Prefecture School Representative","神奈川県スクール代表",""
"Kandabury","カンダベリー",""
"Kansai Maruwa Logistics","関西丸和ロジスティクス",""
"Katsunuma Club","勝沼クラブ",""
"Kenya Harlequins","ケニア・ハーレクインズ",""
"King's Christian College","King's Christian College",""
"King's College","キングスカレッジ",""
"King College","キングカレッジ",""
"Kitajima","北島",""
"Kitakami Yawaka Blaze Lager","北上矢巾ブレイズラガー",""
"Kitsuro","キツロ",""
"Kochebi Bornisi","コチェビ・ボルニシ",""
"Komono Rabbits Foot RFC","菰野ラビッツフットRFC",""
"Krasnoyarsk","クラスヌイ・ヤールクラスノヤルスク",""
"Krasnyaru","クラスニヤール",""
"Kuban","クバン",""
"Kusunoki Club","くすのきクラブ",""
"Kvamri Tbilisi","クヴァムリ・トビリシ",""
"Kyoto Freaks","京都フリークス",""
"Kyoto University Graduate School","京都大学大学院",""
"La Plata","ラプラタ",""
"La Test","ラ・テスト",""
"La Vallett","ラ・ヴァレット",""
"Lambasa Sangam College","ランバササンガムカレッジ",""
"Landberry RFC","ランドベリーRFC",""
"Landvalley RFC","ランドヴァリーRFC",""
"Lanelli","ラネリ",""
"Lanelly","ラネリー",""
"Lansdown","ランズダウン",""
"Latukadavrev School","ラトゥカダヴレヴスクール",""
"Lautoka","ラウトカ",""
"Lazio","ラツィオ",""
"Lebanon","レバノン",""
"Leeds Carnegie","リーズ・カーネギー",""
"Leeds Tykes","Leeds Tykes",""
"Legatos","レガータス",""
"Leicester Lions","レスター・ライオンズ",""
"Leonoso Udine","レオノーソ・ウディネ",""
"Leopals","レオパルズ",""
"Leopold","レオポルド",""
"Leulmoegafo College","レウルモエガフォカレッジ",""
"Limoges","リモージュ",""
"Lincoln University","リンカーン大学",""
"Lions Piacenkbanza","ライオンズ・ピアチェンクバンツァ",""
"Lions U18","ライオンズU18",""
"Livorno","リヴォルノ",""
"locomotive","ロコモーティブ",""
"London Scottish","ロンドンスコティッシュ",""
"Los Tacos RC","ロス・タコスRC",""
"Los Tyros","ロス・ティロス",""
"Loughborough Students RUFC","ラフバラー・スチューデンツRUFC",""
"Loughborough University RUFC","ラフバラー大学RUFC",""
"Luang NR","ルアンNR",""
"Lulanelli RFC","ルラネリRFC",""
"Lynse R.C.","リンセR.C.",""
"Lyon OU","リヨン OU",""
"Mahadaonda Rugby Club","マハダオンダ ラグビー クラブ",""
"Mana College","マナカレッジ",""
"Manawah","マナワウ",""
"Manawatsu","マナワツ",""
"Manawatu Turbos","マナワツ・ターボス",""
"Manly","マンリー",""
"Manly Selective Campus","マンリーセレクティブキャンパス",""
"Manukau","マヌカウ",""
"Manuma Samoa","マヌマ・サモア",""
"Manuwa","マヌワウ",""
"Manuwatsu","マヌワツ",""
"Marist Albion","Marist Albion",""
"Marist Club","マリストクラブ",""
"Marist St. Joseph's","マリスト・St・ジョゼフズ",""
"Marlboro","マールボロ",""
"mash","マッシュ",""
"Massey University","マッセイ大学",""
"Massy","マッシー",""
"Mast Club","帆柱クラブ",""
"Matamata College","マタマタカレッジ",""
"Matamata University","マタマタ大学",""
"Melbourne Rising","メルボルンライジング",""
"Metal G","メタルグ",""
"Metal Rug","メタルルグ",""
"Metalag","メタラグ",""
"Metaubank University","メタウバンク大学",""
"Mid Canterbury","ミッド・カンタベリー",""
"Millfield School","ミルフィールドスクール",""
"Modern Globis","現代グロービス",""
"Moldova","モルドバ",""
"Monaco","モナコ",""
"Monino","モニノ",""
"Montauban","モントーバン",""
"Montluson","モンリュソン",""
"Montpellier","Montpellier",""
"Moon Star Club","月星クラブ",""
"Moreon","モレオン",""
"Moriano","モリアーノ",""
"Moriano 1956","モリアーノ1956",""
"Moriano Rugby","モリアーノ・ラグビー",""
"Moseley","モーズリー",""
"Mount Albert Grammar School","マウントアルバートグラマースクール",""
"Mount Roskill Grammar School","マウントロスキルグラマースクール",""
"Munakata Sanics","宗像サニックス",""
"Nadi College","ナディカレッジ",""
"Nadroga","ナドロガ",""
"Nakuru RFC","ナクルRFC",""
"Narbonne","ナルボンヌ",""
"Natal","ナタル",""
"Natal Sharks","ナタル・シャークス",""
"Nawaka","ナワカ",""
"Neem","ニーム",""
"Nelson Bays","ネルソンベイズ",""
"Nelson College","ネルソンカレッジ",""
"Nelson Mandela University","ネルソン・マンデラ大学",""
"New South Wales","ニューサウスウェールズ",""
"New York Athletic Club","ニューヨーク・アスレチッククラブ",""
"New York Athletic Club RFC","ニューヨーク・アスレチッククラブRFC",""
"New Zealand Institute of Sports","ニュージーランド・インスティチュート・オブ・スポーツ",""
"New Zealand Kitajima Representative","ニュージーランド北島代表",""
"New Zealand North Island","ニュージーランド北島",""
"New Zealand U-21","ニュージーランドU-21",""
"New Zealand U21","ニュージーランドU21",""
"Newberry","ニューベリー",""
"Newman","ニューマン",""
"Newport RFC","ニューポートRFC",""
"Nice","ニース",""
"Niconicodo","ニコニコドー",""
"Niigata Sanyo Electronics","新潟三洋電子",""
"Nior","ニオール",""
"Nior Rugby Club","ニオール ラグビー クラブ",""
"North Harbor","ノース・ハーバー",""
"North Harbor Marist","ノースハーバーマリスト",""
"North Harbor Ray","ノースハーバーレイ",""
"North Harbor Rays","ノース・ハーバーレイズ",""
"North Island","North Island",""
"North Otago","ノースオタゴ",""
"North Shore","ノースショア",""
"North West University","ノース・ウェスト大学",""
"Northampton Boys School","ノーサンプトンボーイズ校",""
"Northern Suburbs","ノーザンサバーブス",""
"Northland","ノースランド",""
"Northton Suburb","ノーストンサバーブ",""
"Northton Suburbs","ノーストン・サバーブス",""
"Northton United PFC","ノーストン・ユナイテッドPFC",""
"Northwest University","ノースウェスト大学",""
"Nottingham","ノッティンハム",""
"NSW Country","NSWカントリー",""
"NSW Country Eagles","NSWカントリーイーグルス",""
"NSW County","NSWカウンティ",""
"NSW Queensland Country","NSWクイーンズランド・カントリー",""
"NTT Group Tohoku","NTTグループ東北",""
"NTT Kansai","NTT関西",""
"Nudgee University","ナッジー大学",""
"Nuniton","ヌニートン",""
"Ohio Aviator","オハイオ・アビエーター",""
"Ohio Aviators","オハイオ・アビエーターズ",""
"OK Finance","OK金融",""
"Old Albanian","オールドアルバニアン",""
"Old Albanian RFC","オールド・アルバニアンRFC",""
"Old Albanians","オールド・アルバニアンズ",""
"Old Elthamians RFC","Old Elthamians RFC",""
"Olympia Bucharest","オリンピア・ブカレスト",""
"Olympia Bucresti","オリンピア・ブクレシュティ",""
"Ontario Blues","オンタリオ・ブルーズ",""
"Orel R.U.F.C.","オレルR.U.F.C.",""
"Osaka Unknown Club","大阪惑惑クラブ",""
"Ospreys","オスプレイズ",""
"Otafufu College","オタフフカレッジ",""
"Otago","オタゴ",""
"Otago B","オタゴB",""
"Otago State Representative","オタゴ州代表",""
"Otago U19","オタゴU19",""
"Otaru Rugby School","小樽ラグビースクール",""
"Otrei","オトレイ",""
"Pajua College","パジュア・カレッジ",""
"Palmerston Nose Boys","パーマーストンノーズボーイズ",""
"Pampas","パンパス",""
"Papatoetoe","パパトエトエ",""
"Paul Ruth Gym Nasim","ポールルースジムナシム",""
"Pavatibai","パーバティバイ",""
"Payle Horrordo SR","ペイレホラードSR",""
"Penrith","ペンリス",""
"Pertemps Beads","パーテンプス・ビーズ",""
"Perth Spirit","パース・スピリット",""
"Perth Spirits","パーススピリッツ",""
"Pete","ペトネ",""
"Phili Moscow","フィリ・モスクワ",""
"Physian Latui","フィジアン・ラトゥイ",""
"Physian Latzii","フィジアン・ラツィイ",""
"Pirates Old Boys","パイレーツ・オールドボーイズ",""
"Plymouth","プリマス",""
"Plymouth Albion","プリマス・アルビオン",""
"Plymouth Albion RFC","プリマス・アルビオンRFC",""
"Poneke","ポネケ",""
"Ponsoby","ポンソビー",""
"Ponsonby","Ponsonby",""
"Pontyprid","ポンティプリッド",""
"Poomers","プーマーズ",""
"Posco Construction","ポスコ建設",""
"POSCO E&C","ポスコE&C",""
"Prairie Wolf Pack","プレリーウルフパック",""
"Prairie Wolfpack","プレリー・ウルフパック",""
"PSI Cost Cuts","PSIコストカッツ",""
"PSI Super Sonics","PSIスーパーソニックス",""
"Pukara","プカラ",""
"Queen's Country","クイーンズ・カントリー",""
"Queenbian Whites","クウィーンビアン・ホワイツ",""
"Queensland Country","クイーンズランド・カントリー",""
"Queensland Country Rugby","Queensland Country Rugby",""
"Queensland Reds","クイーンズランド・レッズ",""
"Raiwaka","ライワカ",""
"Randafrikaans University","ランドアフリカーンス大学",""
"Randafrikhne's University","ランドアフリカーンズ大学",""
"Ranelli RFC","ラネリRFC",""
"Rannelly RFC","ラネリーRFC",""
"Ratunabula College","ラトゥナブラカレッジ",""
"RC Academy Tbilisi","RCアカデミー・トビリシ",""
"RC Almaj Tbilisi","RCアルマジ・トビリシ",""
"RC Almaji","RCアルマジ",""
"RC Almaji Marneuri","RCアルマジ・マルネウリ",""
"RC Ausch","RCオーシュ",""
"RC Charoné","RCシャロネ",""
"RC Dioc","RCディオク",""
"RC Grah Fmoluli","RCグラ・フモルルイ",""
"RC Juki","RCジュキ",""
"RC Junkers","RCユンカース",""
"RC Kuban","RCクバン",""
"RC Massy","RCマッシー",""
"RC Ported Bork","RCポートドボーク",""
"RC Rustavik Hareri","RCルスタビクハレリ",""
"RC Seisan","RCセイサン",""
"RC Strasbourg","RCストラスブール",""
"RC Vallad","RCバルラード",""
"RC Yale","RCイエール",""
"RC Zelenograd","RCゼレノグラード",""
"RCJ Falk","RCJファルク",""
"Red Loose","レッドルース",""
"Red Rock","レッドロック",""
"Reds Academy","レッズアカデミー",""
"Reds U19","レッズU19",""
"Reel MR","リールMR",""
"Reggio","レッジョ",""
"Rhone","ローヌ",""
"Richmond","リッチモンド",""
"Ricoh Black Rams","リコーブラックラムズ",""
"Rindo Club","りんどうクラブ",""
"Rodez","ロデーズ",""
"Ron Le Saunier","ロン＝ル＝ソーニエ",""
"Rosalin Park RFC","ロサリンパークRFC",""
"Rotherham","ロザラム",""
"Rugby Badia","ラグビー・バディア",""
"Rugby Lions","ラグビー・ライオンズ",""
"Rugby Lovigo Delta","ラグビー・ロヴィーゴ・デルタ",""
"Rugby Milan","ラグビー・ミラノ",""
"Rugby Revolno 1931","ラグビーリヴォルノ1931",""
"RX Batumi","RXバトゥミ",""
"S.R.C","S.R.C",""
"S.S. Lazio 1927","S.S.ラツィオ1927",""
"S.S. Lazio Rugby 1927","S.S.ラツィオ・ラグビー1927",""
"Sacramento Express","サクラメント・エクスプレス",""
"Saint-Junien","サン＝ジュニアン",""
"Saint-Nazaire","サン＝ナゼール",""
"Saint Jose","サン・ジョゼ",""
"Sale FC","セールFC",""
"Samoa Kagifa","サモア・カギファ",""
"San Diego Breakers","サンディエゴ・ブレイカーズ",""
"San Donna","サン・ドナ",""
"San Francisco Rush","サンフランシスコ・ラッシュ",""
"San Isidro Club","サン・イシドロクラブ",""
"Sandback RUFC","サンドバックRUFC",""
"Sandiago Breakers","サンディアゴ・ブレイカーズ",""
"Saranc CR","サランクCR",""
"SC Glore","SCグローレ",""
"SCM Gloria Buzau","SCMグロリア・ブザウ",""
"Scott College","スコットカレッジ",""
"Seattle OPSB","シアトルOPSB",""
"Sevenoks","セブノークス",""
"Shangwu","尚武",""
"Shirley RC","シャーリーRC",""
"Shiwa Ox","紫波オックス",""
"Simbus","シンバス",""
"Slanellee","スラネリー",""
"Slava Moscow","スラヴァモスクワ",""
"Soine's","ソイニーズ",""
"Solies Pon","ソリエス＝ポン",""
"South Candabury","サウス・カンダベリー",""
"South China Tigers","サウス・チャイナ・タイガース",""
"Southern Discricts","サザン・ディスクリクツ",""
"Southern District","サウザーンディストリクト",""
"Southern Districts","サウスタン・ディストリクトズ",""
"Southern Nights","サウスタンナイツ",""
"Southern RFC","サウスタンRFC",""
"Southland","Southland",""
"Southport School","サウスポート・スクール",""
"Southton Descript","サウストン・ディスクリクト",""
"Southton Districts","サウストン・ディストリクツ",""
"Soyo Angoleme XV Charent","ソヨーアングレームXVシャラント",""
"Spotting Nazaillian","スポッティング・ナザイリアン",""
"Spring Box [Note 1]","スプリングボクス[注釈 1]",""
"SS Lazio","SSラツィオ",""
"St Andrews College","セント・アンドリュースカレッジ",""
"St Beads College","セントビーズカレッジ",""
"St Joseph College","Stジョセフカレッジ",""
"St. Albans College","セントアルバンズカレッジ",""
"St. Augustin College","セントオーゴスティンカレッジ",""
"St. Gregory's College","Stグレゴリーズカレッジ",""
"St. Ignatius College Riverview","セントイグナティウスカレッジリバービュー",""
"St. John's University","セントジョーンズ大学",""
"St. Joseph's College","セント・ジョセフス・カレッジ",""
"St. Joseph's University","セントジョセフ大学",""
"St. Joseph Nudge College","セントジョセフナッジカレッジ",""
"St. Joseph Nudgee College","セントジョセフナッジーカレッジ",""
"St. Joseph Znagy College","St.ジョセフズナジーカレッジ",""
"St. Kentigan College","セントケンティガンカレッジ",""
"St. Mary's University","セント・メアリーズ大学",""
"St. Patrick's College","セント・パトリックスカレッジ",""
"St. Paul's College","セント・ポールズ・カレッジ",""
"St. Paul College Eight","セントポールカレッジエイト",""
"St. Peter's College","セント・ピーターズ・カレッジ",""
"St. Thomas High","セントトーマス高",""
"Stade Monte","スタッド・モンテ",""
"STM Krasnoyarsk","STMクラスノヤルスク",""
"StPeters College","Stぺーターズカレッジ",""
"Strera","ストレラ",""
"Strera Kazan","ストレラ・カザン",""
"Stud Dijonice","スタッド・ディジョナイス",""
"Stud Nisova","スタッド・ニソワ",""
"Stud Tarbes","スタッド・タルブ",""
"Suba","スバ",""
"Suba Grammar School","スバグラマースクール",""
"Suba Highlanders","スバ・ハイランダーズ",""
"Suburbs Premiers","サバーブス・プレミアズ",""
"Suita Rugby School","吹田ラグビースクール",""
"Sunitas Alcobendas","サニータス・アルコベンダス",""
"Sunny Bank","サニーバンク",""
"Sunnybank Dragons Colts","Sunnybank Dragons Colts",""
"Swansea RFC","スウォンジーRFC",""
"Swimberney University","スウィンバーニー大学",""
"Sydney Fleet","シドニーフリート",""
"Sydney Rams","シドニー・ラムズ",""
"Sydney Rays","シドニーレイズ",""
"Sydney Stars","シドニースターズ",""
"Sydney University","シドニー・ユニバーシティ",""
"Sydonum RFC","シドナムRFC",""
"Tagger Anon Vikings","タガーアノン・ヴァイキングズ",""
"Takapuna","タカプナ",""
"Tamarose","タマロウズ",""
"Tanganu","タンガヌ",""
"Tara","タラ",""
"Taranaki","タラナキ",""
"Taraoare","タラオアレ",""
"Tarb","タルブ",""
"Tasman","タスマン",""
"Tasman Makoz","タスマン・マコズ",""
"Tatami","タタミ",""
"Tauponui Atoa College","タゥポヌイアトゥアカレッジ",""
"technical","テクニカル",""
"Telenuer College","テレニュアカレッジ",""
"Thames Valley","テムズ・ヴァリー",""
"The Ballymore Tornados","バリーモア・トルネードズ",""
"The Medici","I Medicei",""
"Theaute College","テアウテカレッジ",""
"Thiene","Thiene",""
"To Pukeko","プケコへ",""
"Toberanites","トベルアナイツ",""
"Tokyo Electric Power Company","東京電力",""
"Tonga College","トンガカレッジ",""
"Tooomba","トウーンバ",""
"Trelissac","トレリッサック",""
"Trevizo","トレビーゾ",""
"Trinity University College","トリニティー・ユニバーシティ・カレッジ",""
"TSV Hartberg","TSVハルトベルク",""
"Tucumán Rugby Club","Tucumán Rugby Club",""
"Tuggeranong Vikings","Tuggeranong Vikings",""
"Tupo College","トゥポカレッジ",""
"Tupou College","トゥポウカレッジ",""
"U.S. Primavera","U.S.プリマヴェーラ",""
"U17 Kanto","U17関東",""
"U17 Kinki","U17近畿",""
"U17 Kyushu","U17九州",""
