"fullName","jaName","rugbyscopeId","playerWP"
"TSV Hartberg","TSVハルトベルク",NA,"%E3%82%B8%E3%83%A5%E3%83%AA%E3%82%A2%E3%82%B9%E3%83%BB%E3%83%8E%E3%82%B9%E3%82%BF%E3%83%87%E3%82%A3%E3%83%88"
"Tupo College","トゥポカレッジ",NA,"%E3%83%9B%E3%82%BB%E3%82%A2%E3%83%BB%E3%82%B5%E3%82%A6%E3%83%9E%E3%82%AD"
"Tupou College","トゥポウカレッジ",NA,"%E3%83%AD%E3%83%88%E3%82%A2%E3%83%98%E3%82%A2%E3%82%A2%E3%83%9E%E3%83%8A%E3%82%AD%E5%A4%A7%E6%B4%8B"
"U.S. Primavera","U.S.プリマヴェーラ",NA,"%E3%83%9F%E3%82%B1%E3%83%BC%E3%83%AC%E3%83%BB%E3%83%A9%E3%83%9E%E3%83%AD"
"U17 Kanto","U17関東",NA,"%E4%BD%90%E8%97%A4%E5%81%A5%E6%AC%A1"
"U17 Kinki","U17近畿",NA,"%E5%A5%A5%E4%BA%95%E7%AB%A0%E4%BB%81"
"U17 Kyushu","U17九州",NA,"%E6%9C%AC%E5%B1%B1%E4%BD%B3%E9%BE%8D"
"U18 Australia","U18オーストラリア",NA,"%E3%82%AB%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%B4%E3%83%BC%E3%83%89%E3%83%B3"
"U18 England","U18イングランド",NA,"%E3%83%AB%E3%83%BC%E3%82%AF%E3%83%BB%E3%82%AB%E3%82%A6%E3%83%AF%E3%83%B3%EF%BC%9D%E3%83%87%E3%82%A3%E3%83%83%E3%82%AD%E3%83%BC"
"U18 Ireland","U18アイルランド",NA,"%E3%82%B8%E3%83%A7%E3%82%B7%E3%83%A5%E3%83%BB%E3%83%90%E3%83%B3%E3%83%80%E3%83%BC%E3%83%95%E3%83%AA%E3%82%A2%E3%83%BC"
"U18 North Harbor","U18ノースハーバー",NA,"%E5%8A%A0%E8%97%A4%E5%A4%A7%E5%86%B4"
"U18 Wales","U18ウェールズ",NA,"%E3%83%AB%E3%82%A4%E3%82%B9%E3%83%BB%E3%83%AA%E3%83%BC%E3%82%B9%EF%BC%9D%E3%82%B6%E3%83%9F%E3%83%83%E3%83%88"
"U19 America","U19アメリカ",NA,"%E3%83%8D%E3%82%A4%E3%83%88%E3%83%BB%E3%82%A8%E3%83%96%E3%83%8A%E3%83%BC"
"U19 New Zealand","U19ニュージーランド",NA,"%E3%82%A2%E3%83%83%E3%82%B7%E3%83%A5%E3%83%BB%E3%83%87%E3%82%A3%E3%82%AF%E3%82%BD%E3%83%B3"
"U20 Cook Islands","U20クック諸島",NA,"%E3%83%AA%E3%83%83%E3%83%81%E3%83%A2%E3%83%B3%E3%83%89%E3%83%BB%E3%83%88%E3%83%B3%E3%82%AC%E3%82%BF%E3%83%9E"
"U20 Kenya","U20ケニア",NA,"%E3%82%B8%E3%83%A7%E3%83%B3%E3%83%BB%E3%82%AA%E3%82%B1%E3%83%A8"
"U20 Russia","U20ロシア",NA,"%E3%83%AD%E3%83%9E%E3%83%B3%E3%83%BB%E3%83%9B%E3%83%87%E3%82%A3%E3%83%B3"
"U21 New Zealand","U21ニュージーランド",NA,"%E3%82%AD%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%BB%E3%82%AF%E3%83%AD%E3%82%A6%E3%83%AA%E3%83%BC"
"UCD","UCD",NA,"%E3%83%B4%E3%82%A1%E3%82%B7%E3%83%AA%E3%83%BC%E3%83%BB%E3%82%A2%E3%83%AB%E3%83%86%E3%83%9F%E3%82%A8%E3%83%95"
"University of Exeter RFC","エクセター大学RFC",NA,"%E3%83%A9%E3%82%B7%E3%83%A3%E3%83%BB%E3%82%B8%E3%83%A3%E3%82%A4%E3%82%A2%E3%83%8B"
"University of Johannesburg","ヨハネスブルク大学",NA,"%E3%82%B8%E3%83%A3%E3%83%83%E3%82%AF%E3%82%B9%E3%83%BB%E3%83%B4%E3%82%A1%E3%83%B3%E3%83%AD%E3%83%BC%E3%82%A8%E3%83%B3"
"University of Mumbai","ムンバイ大学",NA,"%E3%83%AA%E3%82%B7%E3%82%B1%E3%82%B7%E3%83%A5%E3%83%BB%E3%83%9A%E3%83%B3%E3%82%BC"
"University of New South Wales","ニューサウスウェールズ大学",NA,"%E3%82%A2%E3%83%B3%E3%83%89%E3%83%AA%E3%83%A5%E3%83%BC%E3%83%BB%E3%83%87%E3%82%A3%E3%83%BC%E3%82%AC%E3%83%B3"
"University of Wellington","ウェリントン大学",NA,"%E3%82%B9%E3%82%B3%E3%83%83%E3%83%88%E3%83%BB%E3%83%95%E3%82%B0%E3%83%AA%E3%82%B9%E3%83%88%E3%83%BC%E3%83%A9%E3%83%BC"
"Unlucky Club","惑惑クラブ",NA,"%E6%B5%9C%E8%BE%BA%E5%92%8C"
"Upper hat","アッパーハット",NA,"%E3%83%96%E3%83%AC%E3%82%A2%E3%83%BB%E3%82%AB%E3%83%BC%E3%83%AF%E3%83%B3"
"US Berger Rack","USベルジュラック",NA,"%E3%83%87%E3%82%A4%E3%83%93%E3%83%83%E3%83%89%E3%83%BB%E3%83%8F%E3%83%A9%E3%82%A4%E3%83%95%E3%82%A9%E3%83%8C%E3%82%A2"
"US Tiros","USティロス",NA,"%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B7%E3%82%B9%E3%82%B3%E3%83%BB%E3%83%95%E3%82%A7%E3%83%AB%E3%83%8A%E3%83%B3%E3%83%87%E3%82%B9_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%81%B8%E6%89%8B)"
"Utsunomiya VOLT'S","宇都宮VOLT'S",NA,"%E5%A1%9A%E5%8E%9F%E5%B7%A7%E5%B7%B3"
"Utsunomiya Voltz","宇都宮ヴォルツ",NA,"%E3%83%95%E3%82%A1%E3%82%A8%E3%82%A2%E3%83%9E%E3%83%8B%E3%82%AA%E3%83%9A%E3%83%86%E3%82%A3"
"Uwic","UWIC",NA,"%E3%82%A2%E3%83%AC%E3%83%83%E3%82%AF%E3%82%B9%E3%83%BB%E3%82%AB%E3%82%B9%E3%83%90%E3%83%BC%E3%83%88"
"Valence","ヴァランス",NA,"%E3%82%AE%E3%82%AA%E3%83%AB%E3%82%AE%E3%83%BB%E3%83%8D%E3%83%A0%E3%82%B5%E3%82%BC_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%81%B8%E6%89%8B)"
"Valence Dajean","ヴァランス＝ダジャン",NA,"%E3%83%86%E3%82%A3%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%AF%E3%83%8D%E3%83%9D%E3%83%BC%E3%83%AB"
"Valence Roman","ヴァランス・ロマン",NA,"PJ%E3%83%BB%E3%83%B4%E3%82%A1%E3%83%B3%E3%83%AA%E3%83%BC"
"Verance Romance Drome Rugby","ヴェランス・ロマンス・ドローム・ラグビー",NA,"%E3%83%AB%E3%83%BC%E3%82%AB%E3%82%B9%E3%83%BB%E3%83%A1%E3%83%B3%E3%82%B5"
"Viadana","ヴィアダーナ",NA,"%E3%83%8B%E3%83%83%E3%82%AF%E3%83%BB%E3%83%81%E3%83%B4%E3%82%A7%E3%83%83%E3%82%BF"
"Vicenza","ヴィチェンツァ",NA,"%E3%83%AB%E3%82%A4%E3%82%B9%E3%83%BB%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%95%E3%82%A3%E3%83%AB"
"Visor Kochebi","ヴィソル・コチェビ",NA,"%E3%82%B8%E3%83%A3%E3%83%90%E3%83%BB%E3%83%96%E3%83%AC%E3%82%B0%E3%83%B4%E3%82%A1%E3%82%BC"
"Vizcaia Guernica","ビズカイア・ゲルニカ",NA,"%E3%82%A2%E3%83%95%E3%82%A1%E3%83%BB%E3%82%A2%E3%83%A2%E3%82%B5"
"VVA","VVA",NA,"%E3%83%B4%E3%82%A1%E3%82%B7%E3%83%AA%E3%83%BC%E3%83%BB%E3%82%A2%E3%83%AB%E3%83%86%E3%83%9F%E3%82%A8%E3%83%95"
"Waikato","ワイカト",NA,"%E3%82%A6%E3%82%A9%E3%83%BC%E3%83%AC%E3%83%B3%E3%83%BB%E3%82%AC%E3%83%83%E3%83%88%E3%83%A9%E3%83%B3%E3%83%89"
"Waikato Institute of Technology","ワイカト工科大学",NA,"%E3%83%AA%E3%83%81%E3%83%A3%E3%83%BC%E3%83%89%E3%83%BB%E3%82%AB%E3%83%95%E3%82%A4"
"Wairara Pubshu","ワイララパブッシュ",NA,"%E3%82%BD%E3%82%AA%E3%82%BF%E3%83%A9%E3%83%BB%E3%83%95%E3%82%A1%E3%82%A2%E3%82%BD%E3%82%AA"
"Wally's","ウォーリーズ",NA,"%E5%8E%9F%E7%94%B0%E8%88%AA%E8%B7%AF"
"Wanganui","ワンガヌイ",NA,"%E3%83%AF%E3%82%A4%E3%82%B5%E3%82%B1%E3%83%BB%E3%83%8A%E3%83%9B%E3%83%AD"
"Warators U19","ワラターズU19",NA,"%E3%83%AB%E3%83%AB%E3%83%BB%E3%83%91%E3%82%A8%E3%82%A2"
"Waringau","ワリンガウ",NA,"%E6%9D%91%E7%94%B0%E3%82%AA%E3%82%B9%E3%82%AB%E3%83%AD%E3%82%A4%E3%83%89"
"Warlinger","ワーリンガー",NA,"%E3%83%87%E3%82%A4%E3%83%93%E3%83%83%E3%83%89%E3%83%BB%E3%83%8F%E3%83%A9%E3%82%A4%E3%83%95%E3%82%A9%E3%83%8C%E3%82%A2"
"Warwick School","ワーウィックスクール",NA,"%E3%82%B8%E3%82%A7%E3%83%BC%E3%83%A0%E3%82%B9%E3%83%BB%E3%82%B7%E3%83%AB%E3%82%B3%E3%83%83%E3%82%AF"
"Waseda Club M.F. Maurice Club","ワセダクラブM.F.帆柱クラブ",NA,"%E5%A4%A7%E5%B3%AF%E5%8A%9F%E4%B8%89"
"Waverly College","ウェーバリーカレッジ",NA,"%E3%82%BB%E3%83%9F%E3%82%BB%E3%83%BB%E3%82%BF%E3%83%A9%E3%82%AB%E3%82%A4"
"Well Whitiers","ウェルウィチアズ",NA,"%E3%82%B8%E3%83%A3%E3%83%B3%E3%82%B3%E3%83%BB%E3%83%95%E3%82%A7%E3%83%B3%E3%82%BF%E3%83%BC"
"Wellington College","ウェリントンカレッジ",NA,"%E3%83%95%E3%82%A3%E3%83%AD%E3%83%BB%E3%83%86%E3%82%A3%E3%82%A2%E3%83%86%E3%82%A3%E3%82%A2"
"Wellington College","ウェリントン・カレッジ",NA,"%E3%82%AF%E3%83%AA%E3%83%83%E3%83%97%E3%82%B9%E3%83%98%E3%82%A4%E3%83%87%E3%83%B3"
"Wellwitches","ウェルウィッチアズ",NA,"%E3%83%A6%E3%83%BC%E3%82%B8%E3%83%B3%E3%83%BB%E3%83%A4%E3%83%B3%E3%83%81%E3%83%BC%E3%82%B9"
"Welwitcher","ウェルウィッチア",NA,"PJ%E3%83%BB%E3%83%B4%E3%82%A1%E3%83%B3%E3%83%AA%E3%83%BC"
"Weslee University","ウエスレー大学",NA,"%E3%83%8D%E3%83%9F%E3%82%A2%E3%83%BB%E3%82%BD%E3%83%B3%E3%82%B2%E3%82%BF"
"Wesley College","ウェズリーカレッジ",NA,"%E3%82%AA%E3%83%BC%E3%82%AC%E3%82%B9%E3%83%86%E3%82%A3%E3%83%B3%E3%83%BB%E3%83%97%E3%83%AB"
"Wesley College","ウェスレイカレッジ",NA,"%E3%82%A2%E3%83%92%E3%82%AA%E3%82%B7%E3%83%AA%E3%83%90"
"Wesley College","ウェスリーカレッジ",NA,"%E3%83%AC%E3%83%9D%E3%83%AD%E3%83%86%E3%83%93%E3%82%BF"
"Wesley College","ウェズレイカレッジ",NA,"%E3%82%BD%E3%83%B3%E3%82%B2%E3%82%BF%E3%83%88%E3%83%9E%E3%82%B7"
"Wesley University","ウェズリー大学",NA,"%E3%82%B7%E3%82%A2%E3%83%AC%E3%83%BB%E3%83%94%E3%82%A6%E3%82%BF%E3%82%A6"
"West Coast","ウェストコースト",NA,"%E3%83%87%E3%82%A3%E3%83%A9%E3%83%B3%E3%83%BB%E3%83%8D%E3%83%AB"
"West Harbor","ウェストハーバー",NA,"%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%94%E3%83%BC%E3%82%B8%E3%83%BB%E3%83%9E%E3%82%A2%E3%83%95"
"West Harbor","ウェスト・ハーバー",NA,"%E3%82%B8%E3%83%A3%E3%83%83%E3%82%AF%E3%83%BB%E3%83%87%E3%83%96%E3%83%AC%E3%83%81%E3%82%A7%E3%83%8B"
"West Harbor","ウエストハーバー",NA,"%E3%82%B5%E3%83%A0%E3%83%BB%E3%83%9E%E3%83%AB%E3%82%B3%E3%83%A0"
"West Harbor Pirates","ウエスト・ハーバー・パイレーツ",NA,"%E3%83%80%E3%83%8B%E3%82%A8%E3%83%AB%E3%83%BB%E3%83%AA%E3%83%83%E3%82%AD%E3%83%BC%E3%83%BB%E3%82%AF%E3%82%B7%E3%82%A2"
"Western Australia University","ウエスタンオーストラリア大学",NA,"%E3%83%AD%E3%82%B9%E3%83%BB%E3%83%8F%E3%82%A4%E3%83%AC%E3%83%83%E3%83%88%E3%83%9A%E3%83%86%E3%82%A3"
"Western Provence","ウェスタン・プロヴァンス",NA,"%E3%83%87%E3%82%A3%E3%83%BC%E3%83%B3%E3%83%BB%E3%83%9F%E3%83%A5%E3%82%A2%E3%83%BC"
"Western Sydney University","ウエスタンシドニー大学",NA,"%E3%82%B8%E3%83%A3%E3%82%B9%E3%83%86%E3%82%A3%E3%83%B3%E3%83%BB%E3%82%B3%E3%83%99%E3%83%8B%E3%83%BC"
"Yambaru Club","やんばるクラブ",NA,"%E6%BF%B1%E9%87%8C%E5%91%A8%E4%BD%9C"
"Yokohama Rugby School","横浜ラグビースクール",NA,"%E4%BD%90%E8%97%A4%E5%81%A5%E6%AC%A1"
"Yoo Cruj","ユ・クルジュ",NA,"%E3%83%9E%E3%83%AA%E3%82%A6%E3%82%B9%E3%83%BB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%AF"
"Yorkshire","ヨークシャー",NA,"%E3%82%B1%E3%83%93%E3%83%B3%E3%83%BB%E3%83%96%E3%83%A9%E3%82%A4%E3%82%B9"
"Yukor University","ユーコル大学",NA,"%E3%83%86%E3%83%B4%E3%82%A3%E3%82%BF%E3%83%BB%E3%82%BF%E3%82%A6%E3%83%95%E3%82%A4"
