"wikidataId","fullName","birthDate","birthPlace","deathDate","deathPlace","height","weight","positions"
"Q200427","Dimitri Szarzewski","1983-01-26","France; Narbonne",NA,"France; Narbonne",180,105,"Hooker"
"Q207709","Roland Garros",NA,NA,NA,NA,NA,NA,NA
"Q209365","Richie Gray","1989-08-24","Scotland; Glasgow",NA,"Scotland; Glasgow",204,123,"Lock"
"Q221074","Bud Spencer","1929-10-31","Kingdom of Italy; Naples","2016-06-27","Kingdom of Italy; Naples",NA,NA,NA
"Q261702","Sunia Koto","1980-04-15","Suva",NA,"Suva",174,113,"Hooker"
"Q276102","Jean de Villiers","1981-02-24","South Africa; Paarl",NA,"South Africa; Paarl",190,103,"Winger; Centre"
"Q284846","Schalk Willem Petrus Burger","1983-04-13","South Africa; Eastern Cape; Gqeberha",NA,"South Africa; Eastern Cape; Gqeberha",193,114,"Number 8; Flanker"
"Q286258","Yannick Jauzion","1978-07-28","France; Castres",NA,"France; Castres",193,101,"Centre"
"Q287936","Joe Launchbury","1991-04-12","England; Devon; Exeter",NA,"England; Devon; Exeter",196,126,"Lock"
"Q316676","Mariusz Pudzianowski","1977-02-07","Poland; Łódź Voivodeship",NA,"Poland; Łódź Voivodeship",186,130,NA
"Q317422","Eric Liddell","1902-01-16","Qing dynasty; Tianjin","1945-02-21","Qing dynasty; Tianjin",173,68,NA
"Q318920","Jonny Wilkinson","1979-05-25","England; Surrey",NA,"England; Surrey",178,89,"Fly-Half; Inside Centre"
"Q325033","Jannie du Plessis","1982-10-16","South Africa",NA,"South Africa",188,119,"Prop"
"Q335197","Bryan Habana","1983-06-12","South Africa; Gauteng; Johannesburg",NA,"South Africa; Gauteng; Johannesburg",180,94,"Winger"
"Q338006","Jean-Baptiste Élissalde",NA,NA,NA,NA,172,73,"Scrum-Half"
"Q350967","Luke McAlister","1983-08-28","New Zealand; Waitara",NA,"New Zealand; Waitara",180,94,"Fly-Half; Centre"
"Q363717","Jonah Lomu","1975-05-12","Auckland","2015-11-18","Auckland",196,119,"Winger"
"Q365879","Brian Lima","1972-01-25","Apia",NA,"Apia",186,95,"Winger; Centre"
"Q370059","George Smith","1980-07-14","New South Wales; Sydney",NA,"New South Wales; Sydney",180,103,"Flanker; Number 8"
"Q376430","Mike Blair","1981-04-20","Scotland; Edinburgh",NA,"Scotland; Edinburgh",NA,NA,"Scrum-Half"
"Q383886","Fourie du Preez","1982-03-24","Pretoria",NA,"Pretoria",182,89,"Scrum-Half"
"Q389714","Imanol Harinordoquy","1980-02-20","France; Bayonne",NA,"France; Bayonne",192,105,"Hooker; Number 8"
"Q406385","Rémi Tales","1984-05-02","Mont-de-Marsan",NA,"Mont-de-Marsan",186,93,"Fly-Half"
"Q406616","Rabah Slimani","1989-10-18","France; Val-d'Oise; Sarcelles",NA,"France; Val-d'Oise; Sarcelles",178,115,"Prop"
"Q433539","Nick Easter","1978-08-15","Epsom",NA,"Epsom",193,115,"Lock; Number 8"
"Q433546","Steve Borthwick","1979-10-12","England; Cumbria; Carlisle",NA,"England; Cumbria; Carlisle",NA,NA,"Lock"
"Q433555","Danny Care","1987-01-02","England; Leeds",NA,"England; Leeds",173,84,"Scrum-Half; Fly-Half"
"Q433797","Danny Cipriani","1987-11-02","London",NA,"London",185,92,"Fly-Half"
"Q439015","Riki Flutey","1980-02-10","New Zealand",NA,"New Zealand",178,92,"Fly-Half; Centre"
"Q439453","Keith Earls","1987-10-02","Republic of Ireland; Limerick",NA,"Republic of Ireland; Limerick",178,86,"Winger"
"Q440131","Jamie Heaslip","1983-12-15","Israel; Northern District (Israel); Tiberias",NA,"Israel; Northern District (Israel); Tiberias",192,110,"Number 8"
"Q441972","Tendai Mtawarira","1985-08-01","Zimbabwe; Harare",NA,"Zimbabwe; Harare",183,116,"Prop"
"Q447961","Alun Wyn Jones","1985-09-19","Wales; Swansea",NA,"Wales; Swansea",198,118,"Lock; Flanker"
"Q449012","Jamie Roberts","1986-11-08","Wales; Newport",NA,"Wales; Newport",193,110,"Winger; Centre; Fullback"
"Q449131","Luke Charteris","1983-03-09","England",NA,"England",206,124,"Lock"
"Q453066","Władysław Komar",NA,NA,NA,NA,NA,NA,NA
"Q454123","Rob Kearney","1986-03-26","Republic of Ireland; County Louth; Dundalk",NA,"Republic of Ireland; County Louth; Dundalk",185,94,"Fullback"
"Q460627","Sam Warburton","1988-10-05","Wales; Cardiff",NA,"Wales; Cardiff",188,103,"Flanker"
"Q460637","Jonathan Davies","1988-04-05","England; Solihull",NA,"England; Solihull",186,104,"Centre"
"Q461349","Oscar Kreuzer","1887-06-14",NA,"1968-05-03",NA,NA,NA,NA
"Q465470","Sébastien Chabal","1977-12-08","France; Valence; Drôme",NA,"France; Valence; Drôme",190,115,"Number 8; Flanker; Lock"
"Q469706","Percy Montgomery","1974-03-15","Namibia; Walvis Bay",NA,"Namibia; Walvis Bay",185,93,"Fullback; Centre; Fly-Half"
"Q503407","James Haskell","1985-04-02","Windsor; Berkshire",NA,"Windsor; Berkshire",193,118,"Flanker; Number 8"
"Q504581","Andrew Ellis","1984-02-21","New Zealand; Christchurch",NA,"New Zealand; Christchurch",182,90,"Scrum-Half"
"Q506299","Andrew Mehrtens","1973-04-28",NA,NA,NA,178,89,"Fly-Half"
"Q506917","Marcos Ayerza","1983-01-12","Argentina; Buenos Aires",NA,"Argentina; Buenos Aires",185,115,"Prop"
"Q519164","Wenceslas Lauret","1989-05-28","Tarbes",NA,"Tarbes",188,103,"Lock; Flanker"
"Q519358","Alex Cuthbert","1990-04-05","Gloucester",NA,"Gloucester",191,105,"Winger"
"Q519589","Mike Phillips","1982-08-29","Carmarthen",NA,"Carmarthen",191,101,"Winger"
"Q525873","Shane Williams","1977-02-26","Wales",NA,"Wales",170,80,"Winger; Scrum-Half"
"Q542818","Nic Berry","1984-03-13","Australia; Queensland; Brisbane",NA,"Australia; Queensland; Brisbane",173,80,"Scrum-Half"
"Q542948","Federico Nicolás Sánchez","1988-10-26","Argentina; Tucumán Province; San Miguel de Tucumán",NA,"Argentina; Tucumán Province; San Miguel de Tucumán",177,83,"Fly-Half"
"Q579257","Nicolas Mas","1980-05-25","Perpignan",NA,"Perpignan",180,108,"Prop"
"Q579573","Louis Picamoles","1986-02-05","France; Paris",NA,"France; Paris",192,116,"Flanker; Number 8"
"Q582826","Nando Parrado",NA,NA,NA,NA,NA,NA,NA
"Q588193","Felipe Contepomi","1977-08-20","Argentina; Buenos Aires",NA,"Argentina; Buenos Aires",184,92,"Fly-Half; Centre"
"Q591370","Serge Betsen","1974-03-25","Cameroon; Southwest Region (Cameroon); Kumba",NA,"Cameroon; Southwest Region (Cameroon); Kumba",183,98,"Flanker"
"Q596064","Fulgence Ouedraogo","1986-07-21","Burkina Faso; Kadiogo Province; Ouagadougou",NA,"Burkina Faso; Kadiogo Province; Ouagadougou",191,99,"Flanker"
"Q599061","Yoann Maestri","1988-01-14","France; Var (department); Hyères",NA,"France; Var (department); Hyères",202,119,"Lock"
"Q601678","Ben Youngs","1989-09-05","England; Norfolk; Aylsham",NA,"England; Norfolk; NA",178,88,"Scrum-Half"
"Q614602","Roberto Canessa",NA,NA,NA,NA,NA,NA,NA
"Q635864","Dan Cole","1987-05-09","England; Leicester",NA,"England; Leicester",190,123,"Prop"
"Q641999","Will Genia","1988-01-17","Papua New Guinea; Port Moresby",NA,"Papua New Guinea; Port Moresby",174,81,"Scrum-Half"
"Q662781","Anthony Boric","1983-12-27","New Zealand; Auckland",NA,"New Zealand; Auckland",199,118,"Lock; Flanker"
"Q664074","Akapusi Qera","1984-04-24","Suva",NA,"Suva",194,112,"Flanker; Number 8"
"Q682817","David Denton","1990-02-05","Zimbabwe",NA,"Zimbabwe",196,119,"Flanker"
"Q690729","Vilimoni Delasau","1977-07-12","Fiji",NA,"Fiji",190,99,"Winger; Centre"
"Q715492","Arturo Rodríguez",NA,NA,NA,NA,NA,NA,NA
"Q717879","John O'Neil",NA,NA,NA,NA,NA,NA,NA
"Q718533","Owen Farrell","1991-09-24","England",NA,"England",188,96,"Fly-Half; Centre"
"Q723260","Justin Marshall","1973-08-05",NA,NA,NA,179,95,"Scrum-Half"
"Q723617","John Kirwan","1964-12-16",NA,NA,NA,191,100,"Winger"
"Q723626","Conrad Smith","1981-10-12","Taranaki Region",NA,"Taranaki Region",187,95,"Centre"
"Q726148","Richie McCaw","1980-12-31","New Zealand",NA,"New Zealand",188,108,"Flanker; Number 8"
"Q726199","Dan Carter","1982-03-05","New Zealand; Christchurch",NA,"New Zealand; Christchurch",178,96,"Fly-Half; Centre"
"Q727503","Taniela Moa","1985-03-11","Tonga; Tongatapu","2021-12-16","Tonga; Tongatapu",182,102,"Scrum-Half; Fly-Half"
"Q732909","Greg Holmes","1983-06-11","Australia; Queensland; Warwick",NA,"Australia; Queensland; Warwick",183,114,"Prop"
"Q733831","Ronan O'Gara","1977-03-07","United States; San Diego",NA,"United States; San Diego",183,83,"Fly-Half"
"Q745663","Aleki Lutui","1978-07-01","Tonga; Tofoa",NA,"Tonga; NA; Tofoa",180,108,"Hooker"
"Q761487","Mathieu Bastareaud","1988-09-17","France; Val-de-Marne; Créteil",NA,"France; Val-de-Marne; Créteil",185,125,"Centre; Number 8"
"Q777512","Raphaël Ibañez","1973-02-17","France; Dax; Landes",NA,"France; Dax; Landes",178,100,"Hooker"
"Q827102","Berrick Barnes","1986-05-28","Brisbane",NA,"Brisbane",183,87,"Fly-Half; Centre"
"Q859787","Richard Kahui","1985-06-09","New Zealand; Tokoroa",NA,"New Zealand; NA",190,102,"Centre"
"Q861935","Bill Beaumont","1952-03-09","England; Chorley",NA,"England; NA",NA,NA,"Lock"
"Q892034","Carlin Isles","1989-11-21","United States; Ohio; Massillon",NA,"United States; Ohio; NA",173,75,"Winger"
"Q897007","Bradley Davies","1987-01-09","Wales; Lelan Tricent",NA,"Wales; NA",198,122,"Lock"
"Q912889","Brian O'Driscoll","1979-01-21","Dublin",NA,"Dublin",178,93,"Centre"
"Q914227","Justin Tipuric","1989-08-06","Wales; Trebanos",NA,"Wales; NA",188,102,"Flanker"
"Q919501","Todd Clever","1983-01-16","United States; California; Palm Springs",NA,"United States; California; Palm Springs",193,97,"Flanker"
"Q922170","Matt Giteau","1982-09-29","Australia; New South Wales; Sydney",NA,"Australia; New South Wales; Sydney",178,85,"Fly-Half; Centre"
"Q923207","Christophe Dominici","1972-05-20","France; Toulon","2020-11-24","France; Toulon",172,82,"Winger"
"Q927905","Géo André",NA,NA,NA,NA,NA,NA,NA
"Q931973","Kini Murimurivalu","1989-05-15","Fiji; Suva",NA,"Fiji; Suva",176,97,"Winger; Fullback"
"Q934631","Gethin Jenkins","1980-11-17","Wales; Lambit",NA,"Wales; NA",188,121,"Prop"
"Q934781","Warren Gatland","1963-09-17","New Zealand; Hamilton",NA,"New Zealand; Hamilton",NA,NA,"Hooker"
"Q936035","Lionel Nallet","1976-09-14","France; Auvergne-Rhône-Alpes; Ain; Bourg-en-Bresse",NA,"France; Auvergne-Rhône-Alpes; Ain; Bourg-en-Bresse",197,117,"Lock"
"Q936651","Cédric Heymans","1978-07-20","Brive-la-Gaillarde; France",NA,"Brive-la-Gaillarde; France",180,91,"Winger; Fullback"
"Q941226","Ross Ford","1984-04-23","Scotland; Edinburgh",NA,"Scotland; Edinburgh",185,115,"Hooker"
"Q941295","Mauro Bergamasco","1979-05-01","Italy; Veneto; Province of Padua; Padua",NA,"Italy; Veneto; Province of Padua; Padua",185,98,"Flanker; Scrum-Half"
"Q950241","Juan Martín Fernández Lobbe","1981-11-19","Argentina; Buenos Aires",NA,"Argentina; Buenos Aires",193,108,"Flanker; Number 8"
"Q956769","Ilia Zedginidze","1977-01-20","Tbilisi; Georgian Soviet Socialist Republic",NA,"Tbilisi; Georgian Soviet Socialist Republic",195,109,"Lock; Number 8; Flanker"
"Q963552","Cory Jane","1983-02-08","New Zealand",NA,"New Zealand",183,85,"Winger; Fullback"
"Q964396","Peter Sutherland",NA,NA,NA,NA,NA,NA,NA
"Q971915","Joost van der Westhuizen","1971-02-20","South Africa; Pretoria","2017-02-06","South Africa; Pretoria",188,88,"Scrum-Half"
"Q981549","Sitiveni Rabuka",NA,NA,NA,NA,NA,NA,NA
"Q984446","Kieran Read","1985-10-26","New Zealand; Papakura",NA,"New Zealand; NA",193,110,"Number 8; Flanker"
"Q984616","Owen Franks","1987-12-23","New Zealand",NA,"New Zealand",185,NA,"Prop"
"Q1061916","Jérôme Thion","1977-12-02","France; Senlis",NA,"France; Senlis",199,120,"Lock"
"Q1081019","Daisuke Ohata","1975-11-11","Osaka Prefecture; Osaka; Jōtō-ku",NA,"Osaka Prefecture; Osaka; Jōtō-ku",176,82,"Three-Quarter"
"Q1133612","Tim Visser","1987-05-29","Netherlands",NA,"Netherlands",195,109,"Winger; Fullback"
"Q1158997","Dan Biggar","1989-10-16","Wales; Morriston",NA,"Wales; NA",188,89,"Fly-Half"
"Q1159111","Dan Lydiate","1987-12-18","England; Salford",NA,"England; Salford",194,115,"Flanker"
"Q1171148","David Skrela","1979-03-02","France; Toulouse",NA,"France; Toulouse",190,94,"Fly-Half"
"Q1173922","David Campese","1962-10-21","New South Wales; Queenbian",NA,"New South Wales; NA",180,89,"Winger; Fullback"
"Q1174510","Gonzalo Quesada","1974-05-02","Argentina; Buenos Aires",NA,"Argentina; Buenos Aires",177,80,"Fly-Half"
"Q1248312","Ma'a Nonu","1982-05-21","New Zealand; Wellington",NA,"New Zealand; Wellington",182,107,"Winger; Centre"
"Q1251763","Doug Howlett","1978-09-21","Auckland",NA,"Auckland",185,93,"Winger; Fullback"
"Q1255252","James Cecil Parke","1881-07-26",NA,"1946-02-27",NA,NA,NA,NA
"Q1308117","Pierre Spies","1985-07-08","South Africa; Gauteng; Pretoria",NA,"South Africa; Gauteng; Pretoria",194,111,"Flanker; Number 8; Winger"
"Q1322456","Serge Blanco","1958-08-31","Venezuela; Caracas",NA,"Venezuela; Caracas",NA,NA,"Fullback; Winger"
"Q1333347","Robbie Deans","1959-09-04","New Zealand; Chaviot",NA,"New Zealand; NA",NA,NA,"Fullback"
"Q1340053","Pierre Failliot",NA,NA,NA,NA,NA,NA,NA
"Q1343583","Kenta Kobashi",NA,NA,NA,NA,186,115,NA
"Q1349233","Thierry Dusautoir","1981-11-18","Ivory Coast; Abidjan",NA,"Ivory Coast; Abidjan",188,99,"Flanker"
"Q1381089","Gareth Edwards","1947-07-12","Gwoyn Kerr Gewan; Gwaun-Cae-Gurwen",NA,"NA; Gwaun-Cae-Gurwen",NA,NA,"Scrum-Half"
"Q1381928","Lawrence Dallaglio","1972-08-10",NA,NA,NA,NA,NA,NA
"Q1386045","Juan Martín Hernández","1982-08-07","Argentina; Buenos Aires",NA,"Argentina; Buenos Aires",187,93,"Fly-Half"
"Q1388702","Keith Wood","1972-01-27","Killaloe",NA,NA,183,106,"Hooker"
"Q1390892","Morné Steyn","1984-07-11","South Africa; Cape Town",NA,"South Africa; Cape Town",184,90,"Fly-Half"
"Q1390916","Jaque Fourie","1983-03-04","South Africa; Gauteng; Carlton Building",NA,"South Africa; Gauteng; NA",190,105,"Centre"
"Q1391022","JP Pietersen","1986-07-12","South Africa; Western Cape; Stellenbosch",NA,"South Africa; Western Cape; Stellenbosch",190,106,"Centre; Winger; Fullback"
"Q1396178","Winston Peters","1945-04-11","New Zealand; Whangārei",NA,"New Zealand; Whangārei",NA,NA,NA
"Q1396331","Frédéric Michalak","1982-10-16","Toulouse",NA,"Toulouse",181,87,"Fly-Half; Scrum-Half"
"Q1396771","John Smit","1978-04-03","South Africa; Limpopo; Polokwane",NA,"South Africa; Limpopo; Polokwane",188,122,"Prop; Hooker"
"Q1398346","Leigh Halfpenny","1988-12-22","Wales; Gorseinon",NA,"Wales; NA",178,85,"Winger; Fullback"
"Q1400144","Jonathan Sexton","1985-07-11","Republic of Ireland; County Dublin; Dublin",NA,"Republic of Ireland; County Dublin; Dublin",188,90,"Fly-Half"
"Q1403274","Johan Ackermann","1970-06-03","South Africa; Gauteng; Benoni",NA,"South Africa; Gauteng; Benoni",196,115,"Lock"
"Q1403617","Juan Manuel Leguizamón","1983-06-06","Argentina; Santiago del Estero",NA,"Argentina; Santiago del Estero",190,104,"Flanker; Number 8"
"Q1409027","Adam Ashley-Cooper","1984-03-27","Australia; New South Wales; Sydney",NA,"Australia; New South Wales; Sydney",185,98,"Winger; Fullback; Centre"
"Q1410667","Stephen Moore","1983-01-20","Saudi Arabia; Khamis Mushait",NA,"Saudi Arabia; Khamis Mushait",186,112,"Hooker"
"Q1410678","Wycliff Palu","1982-07-27","Australia; New South Wales; Sydney",NA,"Australia; New South Wales; Sydney",194,120,"Number 8; Flanker"
"Q1443895","Frank Oliver",NA,NA,NA,NA,NA,NA,NA
"Q1558855","Paul James","1982-05-13","Neath Port Talbot",NA,"Neath Port Talbot",185,115,"Prop"
"Q1617787","Tony Marsh","1972-08-12","New Zealand; Rotorua",NA,"New Zealand; Rotorua",188,97,"Centre"
"Q1638760","Pascal Papé","1980-10-05","Lyon",NA,"Lyon",195,122,"Lock"
"Q1638997","Damien Chouly","1985-11-27","France; Haute-Vienne; Limoges",NA,"France; Haute-Vienne; Limoges",192,106,"Flanker; Number 8"
"Q1649587","Jake White","1963-12-13","South Africa; Gauteng; Johannesburg",NA,"South Africa; Gauteng; Johannesburg",185,85,NA
"Q1680577","James Hook","1985-06-27","Wales; Neath Port Talbot",NA,"Wales; Neath Port Talbot",183,95,"Fly-Half; Centre; Fullback"
"Q1766531","Jean-Pascal Barraque","1991-04-24","France; Le Chesnay",NA,"France; Le Chesnay",182,80,"Fly-Half; Centre; Fullback"
"Q1773628","Eddie Jones","1960-01-30","Australia; Tasmania",NA,"Australia; Tasmania",164,NA,"Hooker"
"Q1805220","John Muldoon",NA,NA,NA,NA,NA,NA,NA
"Q1896655","Rory Best","1984-08-15","Craigavon; County Armagh; Northern Ireland",NA,"NA; Craigavon; County Armagh; Northern Ireland",180,110,"Hooker"
"Q1909280","Matt Todd","1988-03-24","New Zealand; Christchurch",NA,"New Zealand; Christchurch",185,104,"Flanker"
"Q1989492","Nigel Barker","1883-02-26","Australia; New South Wales; Petersham; NA","1948-07-31","Australia; New South Wales; Petersham; NA",NA,NA,NA
"Q1997696","Bismarck du Plessis","1984-05-22","South Africa; Free State (province); Bethlehem",NA,"South Africa; Free State (province); Bethlehem",189,115,"Hooker"
"Q2016678","Tommaso Benvenuti","1990-12-12","Italy; Veneto; Province of Treviso; Vittorio Veneto",NA,"Italy; Veneto; Province of Treviso; Vittorio Veneto",186,98,"Winger; Centre; Fullback"
"Q2021513","Rassie Erasmus","1972-11-05","South Africa",NA,"South Africa",185,112,"Flanker; Number 8"
"Q2038034","Paul O'Connell","1979-10-20","Limerick",NA,"Limerick",198,112,"Lock"
"Q2053950","Heinrich Brüssow","1986-07-21","South Africa; Free State (province); Bloemfontein",NA,"South Africa; Free State (province); Bloemfontein",181,101,"Flanker"
"Q2053962","Francois Louw","1985-06-15","South Africa; Western Cape; Cape Town",NA,"South Africa; Western Cape; Cape Town",190,109,"Flanker; Number 8"
"Q2056292","Gio Aplon","1982-10-06","South Africa; Western Cape",NA,"South Africa; Western Cape",175,78,"Winger; Fullback"
"Q2056300","Francois Hougaard","1988-04-15","South Africa; Western Cape; Paarl",NA,"South Africa; Western Cape; Paarl",180,90,"Scrum-Half; Winger"
"Q2063331","Scott Higginbotham","1986-09-05","Australia; Western Australia; Perth",NA,"Australia; Western Australia; Perth",195,107,"Number 8; Flanker"
"Q2063763","Saia Fainga'a","1987-02-02","Australia; New South Wales; Queanbeyan",NA,"Australia; New South Wales; Queanbeyan",187,108,"Hooker"
"Q2067610","Victor Matfield","1977-05-11","South Africa; Limpopo; Polokwane",NA,"South Africa; Limpopo; Polokwane",200,110,"Lock"
"Q2074817","Kurtley Beale","1989-01-06","Australia; Sydney",NA,"Australia; Sydney",183,90,"Fly-Half; Centre; Fullback"
"Q2080039","Anthony Fainga'a","1987-02-02","Australia; New South Wales; Queanbeyan",NA,"Australia; New South Wales; Queanbeyan",182,91,"Centre"
"Q2080642","Mamuka Gorgodze","1984-07-14","Georgia (country); Tbilisi",NA,"Georgia (country); Tbilisi",196,118,"Flanker; Number 8"
"Q2082385","Digby Ioane","1985-07-14","New Zealand; Wellington",NA,"New Zealand; Wellington",184,100,"Winger; Centre"
"Q2084110","Nicholas Phipps","1989-01-09","Australia; New South Wales; Baulkham Hills",NA,"Australia; New South Wales; Baulkham Hills",180,87,"Scrum-Half"
"Q2085483","Adam Thomson","1982-03-13","New Zealand; Ashburton",NA,"New Zealand; Ashburton",196,112,"Number 8; Flanker"
"Q2182964","Maxime Médard","1986-11-16","France; Gironde; Toulouse",NA,"France; Gironde; Toulouse",180,88,"Winger; Centre; Fullback"
"Q2203638","James O'Connor","1990-07-05","Australia; Queensland; Gold Coast",NA,"Australia; Queensland; Gold Coast",180,88,"Fly-Half; Winger; Centre; Fullback"
"Q2244780","James Slipper","1989-06-06","Australia; Queensland; Gold Coast",NA,"Australia; Queensland; Gold Coast",185,117,"Prop"
"Q2250641","Sean Lamont","1981-01-15","Perth; Scotland",NA,"Perth; Scotland",188,105,"Winger; Centre"
"Q2251158","Bernard Laporte","1964-07-01","France; Rodez",NA,"France; Rodez",NA,NA,"Scrum-Half"
"Q2278581","Pieter de Villiers","1972-07-03","South Africa; Western Cape; Malmesbury",NA,"South Africa; Western Cape; NA",184,111,"Loosehead Prop"
"Q2280214","Julien Bonnaire","1978-09-20","France; Auvergne; Auvergne-Rhône-Alpes; Isère; Bourgoin-Jallieu",NA,"France; Auvergne; Auvergne-Rhône-Alpes; Isère; Bourgoin-Jallieu",193,100,"Flanker; Number 8"
"Q2282931","Chester Williams","1970-08-08","South Africa; Western Cape; Paarl","2019-09-06","South Africa; Western Cape; Paarl",175,85,"Winger"
"Q2333026","Lionel Beauxis","1985-10-24","France; Occitania; Occitania (administrative region); Hautes-Pyrénées; Tarbes",NA,"France; Occitania; Occitania (administrative region); Hautes-Pyrénées; Tarbes",180,89,"Fly-Half"
"Q2334843","Fabien Galthié","1969-03-20","Cahors; France",NA,"Cahors; France",180,84,"Scrum-Half"
"Q2342896","Kenzo Suzuki",NA,NA,NA,NA,191,118,NA
"Q2359466","Guilhem Guirado","1986-06-17","France; Pyrénées-Orientales; Céret",NA,"France; Pyrénées-Orientales; Céret",183,109,"Hooker"
"Q2362025","Vincent Debaty","1981-10-02","Belgium; Woluwe-Saint-Lambert",NA,"Belgium; Woluwe-Saint-Lambert",188,128,"Prop"
"Q2365231","Daniel Heenan","1981-11-07","Australia",NA,"Australia",196,112,"Lock; Flanker"
"Q2371608","Tusi Pisi","1982-06-18","Samoa; Apia",NA,"Samoa; Apia",183,93,"Fly-Half; Fullback"
"Q2377378","Courtney Lawes","1989-02-23","England; London; London Borough of Hackney",NA,"England; London; London Borough of Hackney",200,115,"Lock"
"Q2384444","Hrishikesh Pendse","1986-04-08","India; Mumbai",NA,"India; Mumbai",190,105,"Flanker"
"Q2397187","Horacio Agulla","1984-10-22","Argentina; Buenos Aires",NA,"Argentina; Buenos Aires",182,92,"Winger; Centre; Fullback"
"Q2464963","Morgan Parra","1988-11-15","France; Moselle (department); Metz",NA,"France; Moselle (department); Metz",180,77,"Scrum-Half"
"Q2465068","Elvis Vermeulen",NA,NA,NA,NA,187,105,"Number 8"
"Q2481789","Sonny Bill Williams","1985-08-03","Auckland",NA,"Auckland",194,110,"Centre"
"Q2568753","Ruan Pienaar","1984-03-10","South Africa; Free State (province); Bloemfontein",NA,"South Africa; Free State (province); Bloemfontein",187,92,"Scrum-Half"
"Q2608846","Dimitri Yachvili","1980-09-19","France; Brive-la-Gaillarde",NA,"France; Brive-la-Gaillarde",182,84,"Scrum-Half"
"Q2636058","André Roosevelt",NA,NA,NA,NA,NA,NA,NA
"Q2735105","François Trinh-Duc","1986-11-11","France; Hérault; Montpellier",NA,"France; Hérault; Montpellier",185,85,"Fly-Half; Centre"
"Q2738926","Damien Traille","1979-06-12","France; Nouvelle-Aquitaine; Pyrénées-Atlantiques; Pau",NA,"France; Nouvelle-Aquitaine; Pyrénées-Atlantiques; Pau",193,105,"Centre; Fly-Half"
"Q2739194","Aurélien Rougerie","1980-09-26","Beaumont; Puy-de-Dôme",NA,"Beaumont; Puy-de-Dôme",193,104,"Winger; Centre"
"Q2761879","Radike Samo","1976-07-09","Fiji; Nadi",NA,"Fiji; NA",198,116,"Lock; Flanker"
"Q2777809","David Pocock","1988-04-23","Zimbabwe; Midlands Province; Gweru",NA,"Zimbabwe; Midlands Province; Gweru",183,100,"Flanker; Number 8"
"Q2820032","Aaron Carpenter","1983-01-09","Canada; Ontario; Brantford",NA,"Canada; Ontario; Brantford",183,109,"Hooker; Flanker; Number 8"
"Q2820060","Aaron Jarvis","1986-05-20","England; Exeter",NA,"England; Exeter",183,116,"Prop"
"Q2827350","Agustín Creevy","1985-03-15","Argentina; Buenos Aires Province; La Plata",NA,"Argentina; Buenos Aires Province; La Plata",181,106,"Hooker; Flanker"
"Q2830436","Alama Ieremia","1970-10-27","Samoa; Apia",NA,"Samoa; Apia",186,100,"Centre"
