"wikidataId","fullName","jaName","birthDate","birthPlace","deathDate","deathPlace","height","weight","positions"
"Q325033","Jannie du Plessis","ヤニー・デュプレッシー","1982-10-16","South Africa",NA,NA,188,119,"Prop"
"Q335197","Bryan Habana","ブライアン・ハバナ","1983-06-12","South Africa; Gauteng; Johannesburg",NA,NA,180,94,"Winger"
"Q338006","Jean-Baptiste Élissalde","ジャン＝バチスト・エリサルド",NA,NA,NA,NA,172,73,"Scrum-Half"
"Q350967","Luke McAlister","ルーク・マカリスター","1983-08-28","New Zealand; Waitara",NA,NA,180,94,"Fly-Half; Centre"
"Q363717","Jonah Lomu","ジョナ・ロムー","1975-05-12","Auckland","2015-11-18",NA,196,119,"Winger"
"Q365879","Brian Lima","ブライアン・リマ","1972-01-25","Apia",NA,NA,186,95,"Winger; Centre"
"Q370059","George Smith","ジョージ・スミス","1980-07-14","New South Wales; Sydney",NA,NA,180,103,"Flanker; Number 8"
"Q376430","Mike Blair","マイク・ブレア","1981-04-20","Scotland; Edinburgh",NA,NA,NA,NA,"Scrum-Half"
"Q383886","Fourie du Preez","フーリー・デュプレア","1982-03-24","Pretoria",NA,NA,182,89,"Scrum-Half"
"Q389714","Imanol Harinordoquy","イマノル・アリノルドキ","1980-02-20","France; Bayonne",NA,NA,192,105,"Hooker; Number 8"
"Q406385","Rémi Tales","レミー・タレス","1984-05-02","Mont-de-Marsan",NA,NA,186,93,"Fly-Half"
"Q406616","Rabah Slimani","ラバー・スリマニ","1989-10-18","France; Val-d'Oise; Sarcelles",NA,NA,178,115,"Prop"
"Q433539","Nick Easter","ニック・イースター","1978-08-15","Epsom",NA,NA,193,115,"Lock; Number 8"
"Q433546","Steve Borthwick","スティーブ・ボーズウィック","1979-10-12","England; Cumbria; Carlisle",NA,NA,NA,NA,"Lock"
"Q433555","Danny Care","ダニー・ケア","1987-01-02","England; Leeds",NA,NA,173,84,"Scrum-Half; Fly-Half"
"Q433797","Danny Cipriani","ダニー・シプリアーニ","1987-11-02","London",NA,NA,185,92,"Fly-Half"
"Q439015","Riki Flutey","リキ・フルーティ","1980-02-10","New Zealand",NA,NA,178,92,"Fly-Half; Centre"
"Q439453","Keith Earls","キース・アールズ","1987-10-02","Republic of Ireland; Limerick",NA,NA,178,86,"Winger"
"Q440131","Jamie Heaslip","ジェイミー・ヒースリップ","1983-12-15","Israel; Northern District (Israel); Tiberias",NA,NA,192,110,"Number 8"
"Q441972","Tendai Mtawarira","テンダイ・ムタワリラ","1985-08-01","Zimbabwe; Harare",NA,NA,183,116,"Prop"
"Q447961","Alun Wyn Jones","アラン・ウィン・ジョーンズ","1985-09-19","Wales; Swansea",NA,NA,198,118,"Lock; Flanker"
"Q449012","Jamie Roberts","ジェイミー・ロバーツ","1986-11-08","Wales; Newport",NA,NA,193,110,"Winger; Centre; Fullback"
"Q449131","Luke Charteris","ルーク・チャータリス","1983-03-09","England",NA,NA,206,124,"Lock"
"Q453066","Władysław Komar",NA,NA,NA,NA,NA,NA,NA,NA
"Q454123","Rob Kearney","ロブ・カーニー","1986-03-26","Republic of Ireland; County Louth; Dundalk",NA,NA,185,94,"Fullback"
"Q460627","Sam Warburton","サム・ウォーバートン","1988-10-05","Wales; Cardiff",NA,NA,188,103,"Flanker"
"Q460637","Jonathan Davies","ジョナサン・デーヴィス","1988-04-05","England; Solihull",NA,NA,186,104,"Centre"
"Q461349","Oscar Kreuzer",NA,"1887-06-14",NA,"1968-05-03",NA,NA,NA,NA
"Q465470","Sébastien Chabal","セバスチャン・シャバル","1977-12-08","France; Valence; Drôme",NA,NA,190,115,"Number 8; Flanker; Lock"
"Q469706","Percy Montgomery","Percy Montgomery","1974-03-15","Namibia; Walvis Bay",NA,NA,185,93,"Fullback; Centre; Fly-Half"
"Q503407","James Haskell","ジェームス・ハスケル","1985-04-02","Windsor; Berkshire",NA,NA,193,118,"Flanker; Number 8"
"Q504581","Andrew Ellis","アンドリュー・エリス","1984-02-21","New Zealand; Christchurch",NA,NA,182,90,"Scrum-Half"
"Q506299","Andrew Mehrtens","Andrew Mehrtens","1973-04-28",NA,NA,NA,178,89,"Fly-Half"
"Q506917","Marcos Ayerza","マルコス・アジェルサ","1983-01-12","Argentina; Buenos Aires",NA,NA,185,115,"Prop"
"Q519164","Wenceslas Lauret","ヴェンセスラス・ローレ","1989-05-28","Tarbes",NA,NA,188,103,"Lock; Flanker"
"Q519358","Alex Cuthbert","アレックス・カスバート","1990-04-05","Gloucester",NA,NA,191,105,"Winger"
"Q519589","Mike Phillips","マイク・フィリップス","1982-08-29","Carmarthen",NA,NA,191,101,"Winger"
"Q525873","Shane Williams","Shane Williams","1977-02-26","Wales",NA,NA,170,80,"Winger; Scrum-Half"
"Q542818","Nic Berry","ニック・ベリー","1984-03-13","Australia; Queensland; Brisbane",NA,NA,173,80,"Scrum-Half"
"Q542948","Federico Nicolás Sánchez","ニコラス・サンチェス","1988-10-26","Argentina; Tucumán Province; San Miguel de Tucumán",NA,NA,177,83,"Fly-Half"
"Q579257","Nicolas Mas","ニコラ・マス","1980-05-25","Perpignan",NA,NA,180,108,"Prop"
"Q579573","Louis Picamoles","ルイ・ピカモール","1986-02-05","France; Paris",NA,NA,192,116,"Flanker; Number 8"
"Q582826","Nando Parrado",NA,NA,NA,NA,NA,NA,NA,NA
"Q588193","Felipe Contepomi","フェリペ・コンテポーミ","1977-08-20","Argentina; Buenos Aires",NA,NA,184,92,"Fly-Half; Centre"
"Q591370","Serge Betsen","セルジュ・ベッツェン","1974-03-25","Cameroon; Southwest Region (Cameroon); Kumba",NA,NA,183,98,"Flanker"
"Q596064","Fulgence Ouedraogo","フュルジャンス・ウエドゥラオゴ","1986-07-21","Burkina Faso; Kadiogo Province; Ouagadougou",NA,NA,191,99,"Flanker"
"Q599061","Yoann Maestri","ヨアン・マエストリ","1988-01-14","France; Var (department); Hyères",NA,NA,202,119,"Lock"
"Q601678","Ben Youngs","ベン・ヤングス","1989-09-05","England; Norfolk; Aylsham",NA,NA,178,88,"Scrum-Half"
"Q614602","Roberto Canessa",NA,NA,NA,NA,NA,NA,NA,NA
"Q635864","Dan Cole","ダン・コール","1987-05-09","England; Leicester",NA,NA,190,123,"Prop"
"Q641999","Will Genia","ウィル・ゲニア","1988-01-17","Papua New Guinea; Port Moresby",NA,NA,174,81,"Scrum-Half"
"Q662781","Anthony Boric","アンソニー・ボーリッチ","1983-12-27","New Zealand; Auckland",NA,NA,199,118,"Lock; Flanker"
"Q664074","Akapusi Qera","アカプシ・ンゲラ","1984-04-24","Suva",NA,NA,194,112,"Flanker; Number 8"
"Q682817","David Denton","デビッド・デントン","1990-02-05","Zimbabwe",NA,NA,196,119,"Flanker"
"Q690729","Vilimoni Delasau","ビリモニ・デラサウ","1977-07-12","Fiji",NA,NA,190,99,"Winger; Centre"
"Q715492","Arturo Rodríguez",NA,NA,NA,NA,NA,NA,NA,NA
"Q717879","John O'Neil",NA,NA,NA,NA,NA,NA,NA,NA
"Q718533","Owen Farrell","オーウェン・ファレル","1991-09-24","England",NA,NA,188,96,"Fly-Half; Centre"
"Q723260","Justin Marshall","Justin Marshall","1973-08-05",NA,NA,NA,179,95,"Scrum-Half"
"Q723617","John Kirwan","Sir John Kirwan","1964-12-16",NA,NA,NA,191,100,"Winger"
"Q723626","Conrad Smith","コンラッド・スミス","1981-10-12","Taranaki Region",NA,NA,187,95,"Centre"
"Q726148","Richie McCaw","リッチー・マコウ","1980-12-31","New Zealand",NA,NA,188,108,"Flanker; Number 8"
"Q726199","Dan Carter","ダン・カーター","1982-03-05","New Zealand; Christchurch",NA,NA,178,96,"Fly-Half; Centre"
"Q727503","Taniela Moa","タニエラ・モア","1985-03-11","Tonga; Tongatapu","2021-12-16",NA,182,102,"Scrum-Half; Fly-Half"
"Q732909","Greg Holmes","グレッグ・ホームズ","1983-06-11","Australia; Queensland; Warwick",NA,NA,183,114,"Prop"
"Q733831","Ronan O'Gara","ローナン・オガーラ","1977-03-07","United States; San Diego",NA,NA,183,83,"Fly-Half"
"Q745663","Aleki Lutui","アレキ・ルツイ","1978-07-01","Tonga; Tofoa",NA,NA,180,108,"Hooker"
"Q761487","Mathieu Bastareaud","マチュー・バスタロー","1988-09-17","France; Val-de-Marne; Créteil",NA,NA,185,125,"Centre; Number 8"
"Q777512","Raphaël Ibañez","ラファエル・イバネス","1973-02-17","France; Dax; Landes",NA,NA,178,100,"Hooker"
"Q827102","Berrick Barnes","ベリック・バーンズ","1986-05-28","Brisbane",NA,NA,183,87,"Fly-Half; Centre"
"Q859787","Richard Kahui","リチャード・カフイ","1985-06-09","New Zealand; Tokoroa",NA,NA,190,102,"Centre"
"Q861935","Bill Beaumont","ビル・ボーモント","1952-03-09","England; Chorley",NA,NA,NA,NA,"Lock"
"Q892034","Carlin Isles","カーリン・アイルズ","1989-11-21","United States; Ohio; Massillon",NA,NA,173,75,"Winger"
"Q897007","Bradley Davies","ブラッドリー・デーヴィス","1987-01-09","Wales; Lelan Tricent",NA,NA,198,122,"Lock"
"Q912889","Brian O'Driscoll","ブライアン・オドリスコル","1979-01-21","Dublin",NA,NA,178,93,"Centre"
"Q914227","Justin Tipuric","ジャスティン・ティプリック","1989-08-06","Wales; Trebanos",NA,NA,188,102,"Flanker"
"Q919501","Todd Clever","トッド・クレバー","1983-01-16","United States; California; Palm Springs",NA,NA,193,97,"Flanker"
"Q922170","Matt Giteau","マット・ギタウ","1982-09-29","Australia; New South Wales; Sydney",NA,NA,178,85,"Fly-Half; Centre"
"Q923207","Christophe Dominici","クリストフ・ドミニシ","1972-05-20","France; Toulon","2020-11-24",NA,172,82,"Winger"
"Q927905","Géo André",NA,NA,NA,NA,NA,NA,NA,NA
"Q931973","Kini Murimurivalu","キニ・ムリムリヴァル","1989-05-15","Fiji; Suva",NA,NA,176,97,"Winger; Fullback"
"Q934631","Gethin Jenkins","ゲシン・ジェンキンス","1980-11-17","Wales; Lambit",NA,NA,188,121,"Prop"
"Q934781","Warren Gatland","ウォーレン・ガットランド","1963-09-17","New Zealand; Hamilton",NA,NA,NA,NA,"Hooker"
"Q936035","Lionel Nallet","リオネル・ナレ","1976-09-14","France; Auvergne-Rhône-Alpes; Ain; Bourg-en-Bresse",NA,NA,197,117,"Lock"
"Q936651","Cédric Heymans","セドリック・エマンス","1978-07-20","Brive-la-Gaillarde; France",NA,NA,180,91,"Winger; Fullback"
"Q941226","Ross Ford","ロス・フォード","1984-04-23","Scotland; Edinburgh",NA,NA,185,115,"Hooker"
"Q941295","Mauro Bergamasco","マウロ・ベルガマスコ","1979-05-01","Italy; Veneto; Province of Padua; Padua",NA,NA,185,98,"Flanker; Scrum-Half"
"Q950241","Juan Martín Fernández Lobbe","フアン・フェルナンデス・ロベ","1981-11-19","Argentina; Buenos Aires",NA,NA,193,108,"Flanker; Number 8"
"Q956769","Ilia Zedginidze","イリア・ゼドギニゼ","1977-01-20","Tbilisi; Georgian Soviet Socialist Republic",NA,NA,195,109,"Lock; Number 8; Flanker"
"Q963552","Cory Jane","コーリー・ジェーン","1983-02-08","New Zealand",NA,NA,183,85,"Winger; Fullback"
"Q964396","Peter Sutherland",NA,NA,NA,NA,NA,NA,NA,NA
"Q971915","Joost van der Westhuizen","ユースト・ファン・デル・ヴェストハイゼン","1971-02-20","South Africa; Pretoria","2017-02-06",NA,188,88,"Scrum-Half"
"Q981549","Sitiveni Rabuka",NA,NA,NA,NA,NA,NA,NA,NA
"Q984446","Kieran Read","キーラン・リード","1985-10-26","New Zealand; Papakura",NA,NA,193,110,"Number 8; Flanker"
"Q984616","Owen Franks","オーウェン・フランクス","1987-12-23","New Zealand",NA,NA,185,NA,"Prop"
"Q1061916","Jérôme Thion","ジェローム・ティオン","1977-12-02","France; Senlis",NA,NA,199,120,"Lock"
"Q1081019","Daisuke Ohata","大畑 大介","1975-11-11","Osaka Prefecture; Osaka; Jōtō-ku",NA,NA,176,82,"Three-Quarter"
"Q1133612","Tim Visser","ティム・ビッサー","1987-05-29","Netherlands",NA,NA,195,109,"Winger; Fullback"
"Q1158997","Dan Biggar","ダン・ビガー","1989-10-16","Wales; Morriston",NA,NA,188,89,"Fly-Half"
"Q1159111","Dan Lydiate","ダン・リディエイト","1987-12-18","England; Salford",NA,NA,194,115,"Flanker"
"Q1171148","David Skrela","ダヴィド・スクレラ","1979-03-02","France; Toulouse",NA,NA,190,94,"Fly-Half"
"Q1173922","David Campese","David Campese","1962-10-21","New South Wales; Queenbian",NA,NA,180,89,"Winger; Fullback"
"Q1174510","Gonzalo Quesada","ゴンサロ・ケサダ","1974-05-02","Argentina; Buenos Aires",NA,NA,177,80,"Fly-Half"
"Q1248312","Ma'a Nonu","マア・ノヌー","1982-05-21","New Zealand; Wellington",NA,NA,182,107,"Winger; Centre"
"Q1251763","Doug Howlett","ダグ・ハウレット","1978-09-21","Auckland",NA,NA,185,93,"Winger; Fullback"
"Q1255252","James Cecil Parke",NA,"1881-07-26",NA,"1946-02-27",NA,NA,NA,NA
"Q1308117","Pierre Spies","ピエール・スピース","1985-07-08","South Africa; Gauteng; Pretoria",NA,NA,194,111,"Flanker; Number 8; Winger"
"Q1322456","Serge Blanco","セルジュ・ブランコ","1958-08-31","Venezuela; Caracas",NA,NA,NA,NA,"Fullback; Winger"
"Q1333347","Robbie Deans","ロビー・ディーンズ","1959-09-04","New Zealand; Chaviot",NA,NA,NA,NA,"Fullback"
"Q1340053","Pierre Failliot",NA,NA,NA,NA,NA,NA,NA,NA
"Q1343583","Kenta Kobashi",NA,NA,NA,NA,NA,186,115,NA
"Q1349233","Thierry Dusautoir","ティエリー・デュソトワール","1981-11-18","Ivory Coast; Abidjan",NA,NA,188,99,"Flanker"
"Q1381089","Gareth Edwards","サー・ガレス・エドワーズCBE","1947-07-12","Gwoyn Kerr Gewan; Gwaun-Cae-Gurwen",NA,NA,NA,NA,"Scrum-Half"
"Q1381928","Lawrence Dallaglio",NA,"1972-08-10",NA,NA,NA,NA,NA,NA
"Q1386045","Juan Martín Hernández","フアン・マルティン・エルナンデス","1982-08-07","Argentina; Buenos Aires",NA,NA,187,93,"Fly-Half"
"Q1388702","Keith Wood","キース・ウッド","1972-01-27","Killaloe",NA,NA,183,106,"Hooker"
"Q1390892","Morné Steyn","モルネ・ステイン","1984-07-11","South Africa; Cape Town",NA,NA,184,90,"Fly-Half"
"Q1390916","Jaque Fourie","ジャック・フーリー","1983-03-04","South Africa; Gauteng; Carlton Building",NA,NA,190,105,"Centre"
"Q1391022","JP Pietersen","JP・ピーターセン","1986-07-12","South Africa; Western Cape; Stellenbosch",NA,NA,190,106,"Centre; Winger; Fullback"
"Q1396178","Winston Peters",NA,"1945-04-11","New Zealand; Whangārei",NA,NA,NA,NA,NA
"Q1396331","Frédéric Michalak","フレデリック・ミシャラク","1982-10-16","Toulouse",NA,NA,181,87,"Fly-Half; Scrum-Half"
"Q1396771","John Smit","ジョン・スミット","1978-04-03","South Africa; Limpopo; Polokwane",NA,NA,188,122,"Prop; Hooker"
"Q1398346","Leigh Halfpenny","リー・ハーフペニー","1988-12-22","Wales; Gorseinon",NA,NA,178,85,"Winger; Fullback"
"Q1400144","Jonathan Sexton","ジョナサン・セクストン","1985-07-11","Republic of Ireland; County Dublin; Dublin",NA,NA,188,90,"Fly-Half"
"Q1403274","Johan Ackermann","ヨハン・アッカーマン","1970-06-03","South Africa; Gauteng; Benoni",NA,NA,196,115,"Lock"
"Q1403617","Juan Manuel Leguizamón","フアン・マヌエル・レギサモン","1983-06-06","Argentina; Santiago del Estero",NA,NA,190,104,"Flanker; Number 8"
"Q1409027","Adam Ashley-Cooper","アダム・アシュリー＝クーパー","1984-03-27","Australia; New South Wales; Sydney",NA,NA,185,98,"Winger; Fullback; Centre"
"Q1410667","Stephen Moore","スティーブン・ムーア","1983-01-20","Saudi Arabia; Khamis Mushait",NA,NA,186,112,"Hooker"
"Q1410678","Wycliff Palu","ウィクリフ・パールー","1982-07-27","Australia; New South Wales; Sydney",NA,NA,194,120,"Number 8; Flanker"
"Q1443895","Frank Oliver",NA,NA,NA,NA,NA,NA,NA,NA
"Q1558855","Paul James","ポール・ジェームズ","1982-05-13","Neath Port Talbot",NA,NA,185,115,"Prop"
"Q1617787","Tony Marsh","トニー・マーシュ","1972-08-12","New Zealand; Rotorua",NA,NA,188,97,"Centre"
"Q1638760","Pascal Papé","パスカル・パペ","1980-10-05","Lyon",NA,NA,195,122,"Lock"
"Q1638997","Damien Chouly","ダミアン・シュリー","1985-11-27","France; Haute-Vienne; Limoges",NA,NA,192,106,"Flanker; Number 8"
"Q1649587","Jake White","ジェイク・ホワイト","1963-12-13","South Africa; Gauteng; Johannesburg",NA,NA,185,85,NA
"Q1680577","James Hook","ジェームズ・フック","1985-06-27","Wales; Neath Port Talbot",NA,NA,183,95,"Fly-Half; Centre; Fullback"
"Q1766531","Jean-Pascal Barraque","ジャン＝パスカル・バラク","1991-04-24","France; Le Chesnay",NA,NA,182,80,"Fly-Half; Centre; Fullback"
"Q1773628","Eddie Jones","エディー・ジョーンズ","1960-01-30","Australia; Tasmania",NA,NA,164,NA,"Hooker"
"Q1805220","John Muldoon",NA,NA,NA,NA,NA,NA,NA,NA
"Q1896655","Rory Best","ローリー・ベストOBE","1984-08-15","Craigavon; County Armagh; Northern Ireland",NA,NA,180,110,"Hooker"
"Q1909280","Matt Todd","マット・トッド","1988-03-24","New Zealand; Christchurch",NA,NA,185,104,"Flanker"
"Q1989492","Nigel Barker",NA,"1883-02-26","Australia; New South Wales; Petersham; NA","1948-07-31","Australia; New South Wales; Sydney; NA",NA,NA,NA
"Q1997696","Bismarck du Plessis","ビスマルク・デュプレッシー","1984-05-22","South Africa; Free State (province); Bethlehem",NA,NA,189,115,"Hooker"
"Q2016678","Tommaso Benvenuti","トンマーゾ・ベンヴェヌーティ","1990-12-12","Italy; Veneto; Province of Treviso; Vittorio Veneto",NA,NA,186,98,"Winger; Centre; Fullback"
"Q2021513","Rassie Erasmus","ラシー・エラスムス","1972-11-05","South Africa",NA,NA,185,112,"Flanker; Number 8"
"Q2038034","Paul O'Connell","ポール・オコンネル","1979-10-20","Limerick",NA,NA,198,112,"Lock"
"Q2053950","Heinrich Brüssow","ハインリッヒ・ブルソー","1986-07-21","South Africa; Free State (province); Bloemfontein",NA,NA,181,101,"Flanker"
"Q2053962","Francois Louw","フランソワ・ロウ","1985-06-15","South Africa; Western Cape; Cape Town",NA,NA,190,109,"Flanker; Number 8"
"Q2056292","Gio Aplon","ジオ・アプロン","1982-10-06","South Africa; Western Cape",NA,NA,175,78,"Winger; Fullback"
"Q2056300","Francois Hougaard","フランソワ・ホーハート","1988-04-15","South Africa; Western Cape; Paarl",NA,NA,180,90,"Scrum-Half; Winger"
"Q2063331","Scott Higginbotham","スコット・ヒギンボザム","1986-09-05","Australia; Western Australia; Perth",NA,NA,195,107,"Number 8; Flanker"
"Q2063763","Saia Fainga'a","サイア・ファインガー","1987-02-02","Australia; New South Wales; Queanbeyan",NA,NA,187,108,"Hooker"
"Q2067610","Victor Matfield","ヴィクター・マットフィールド","1977-05-11","South Africa; Limpopo; Polokwane",NA,NA,200,110,"Lock"
"Q2074817","Kurtley Beale","カートリー・ビール","1989-01-06","Australia; Sydney",NA,NA,183,90,"Fly-Half; Centre; Fullback"
"Q2080039","Anthony Fainga'a","アンソニー・ファインガー","1987-02-02","Australia; New South Wales; Queanbeyan",NA,NA,182,91,"Centre"
"Q2080642","Mamuka Gorgodze","マムカ・ゴルゴゼ","1984-07-14","Georgia (country); Tbilisi",NA,NA,196,118,"Flanker; Number 8"
"Q2082385","Digby Ioane","ディグビー・イオアネ","1985-07-14","New Zealand; Wellington",NA,NA,184,100,"Winger; Centre"
"Q2084110","Nicholas Phipps","ニック・フィップス","1989-01-09","Australia; New South Wales; Baulkham Hills",NA,NA,180,87,"Scrum-Half"
"Q2085483","Adam Thomson","アダム・トムソン","1982-03-13","New Zealand; Ashburton",NA,NA,196,112,"Number 8; Flanker"
"Q2182964","Maxime Médard","マクシム・メダール","1986-11-16","France; Gironde; Toulouse",NA,NA,180,88,"Winger; Centre; Fullback"
"Q2203638","James O'Connor","ジェームズ・オコーナー","1990-07-05","Australia; Queensland; Gold Coast",NA,NA,180,88,"Fly-Half; Winger; Centre; Fullback"
"Q2244780","James Slipper","ジェイムス・スリッパー","1989-06-06","Australia; Queensland; Gold Coast",NA,NA,185,117,"Prop"
"Q2250641","Sean Lamont","ショーン・ラモント","1981-01-15","Perth; Scotland",NA,NA,188,105,"Winger; Centre"
"Q2251158","Bernard Laporte","ベルナール・ラポルト","1964-07-01","France; Rodez",NA,NA,NA,NA,"Scrum-Half"
"Q2278581","Pieter de Villiers","ピーター・ド・ヴィリエ","1972-07-03","South Africa; Western Cape; Malmesbury",NA,NA,184,111,"Loosehead Prop"
"Q2280214","Julien Bonnaire","ジュリアン・ボネール","1978-09-20","France; Auvergne; Auvergne-Rhône-Alpes; Isère; Bourgoin-Jallieu",NA,NA,193,100,"Flanker; Number 8"
"Q2282931","Chester Williams","チェスター・ウィリアムズ","1970-08-08","South Africa; Western Cape; Paarl","2019-09-06",NA,175,85,"Winger"
"Q2333026","Lionel Beauxis","リオネル・ボクシス","1985-10-24","France; Occitania; Occitania (administrative region); Hautes-Pyrénées; Tarbes",NA,NA,180,89,"Fly-Half"
"Q2334843","Fabien Galthié","ファビアン・ガルティエ","1969-03-20","Cahors; France",NA,NA,180,84,"Scrum-Half"
"Q2342896","Kenzo Suzuki",NA,NA,NA,NA,NA,191,118,NA
"Q2359466","Guilhem Guirado","ギエム・ギラド","1986-06-17","France; Pyrénées-Orientales; Céret",NA,NA,183,109,"Hooker"
"Q2362025","Vincent Debaty","ヴァンサン・ドゥバティー","1981-10-02","Belgium; Woluwe-Saint-Lambert",NA,NA,188,128,"Prop"
"Q2365231","Daniel Heenan","ヒーナン ダニエル","1981-11-07","Australia",NA,NA,196,112,"Lock; Flanker"
"Q2371608","Tusi Pisi","トゥシ・ピシ","1982-06-18","Samoa; Apia",NA,NA,183,93,"Fly-Half; Fullback"
"Q2377378","Courtney Lawes","コートニー・ローズ","1989-02-23","England; London; London Borough of Hackney",NA,NA,200,115,"Lock"
"Q2384444","Hrishikesh Pendse","リシケシュ・ペンゼ","1986-04-08","India; Mumbai",NA,NA,190,105,"Flanker"
"Q2397187","Horacio Agulla","オラシオ・アグージャ","1984-10-22","Argentina; Buenos Aires",NA,NA,182,92,"Winger; Centre; Fullback"
"Q2464963","Morgan Parra","モルガン・パラ","1988-11-15","France; Moselle (department); Metz",NA,NA,180,77,"Scrum-Half"
"Q2465068","Elvis Vermeulen","エルヴィス・ヴェルムラン",NA,NA,NA,NA,187,105,"Number 8"
"Q2481789","Sonny Bill Williams","ソニー・ビル・ウィリアムズ","1985-08-03","Auckland",NA,NA,194,110,"Centre"
"Q2568753","Ruan Pienaar","ルアン・ピナール","1984-03-10","South Africa; Free State (province); Bloemfontein",NA,NA,187,92,"Scrum-Half"
"Q2608846","Dimitri Yachvili","ディミトゥリ・ヤシュヴィリ","1980-09-19","France; Brive-la-Gaillarde",NA,NA,182,84,"Scrum-Half"
"Q2636058","André Roosevelt",NA,NA,NA,NA,NA,NA,NA,NA
"Q2735105","François Trinh-Duc","フランソワ・トゥラン＝デュック","1986-11-11","France; Hérault; Montpellier",NA,NA,185,85,"Fly-Half; Centre"
"Q2738926","Damien Traille","ダミアン・トライユ","1979-06-12","France; Nouvelle-Aquitaine; Pyrénées-Atlantiques; Pau",NA,NA,193,105,"Centre; Fly-Half"
"Q2739194","Aurélien Rougerie","オーレリアン・ルジュリー","1980-09-26","Beaumont; Puy-de-Dôme",NA,NA,193,104,"Winger; Centre"
