"rugbyscopeId","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","nations","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId","comments"
2109,"Q11775251","JIMI RC Vyškov","Club/franchise team","1952-01-01",NA,"RC Vyškov; Rugby Club Vyškov",NA,"Czechia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Vyškov","Merged with 1723"
2292,"Q16992237","Flintshire Falcons","Club",NA,NA,"The Falcons; ; Flintshire Falcons Rugby League Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flintshire_Falcons",NA,NA,NA,NA,"http://dbpedia.org/resource/Flintshire_Falcons","Rugby league team"
2311,"Q17013952","Thurrock T-Birds","Club",NA,NA,"T-Birds; Thurrock Rugby Football Club Ladies",NA,"England",NA,NA,NA,NA,NA,NA,NA,"Thurrock_T-Birds",NA,NA,NA,NA,"http://dbpedia.org/resource/Thurrock_T-Birds","Lady's club"
2339,"Q17055384","New Zealand national schoolboy rugby union team","National school team",NA,NA,"New Zealand Schoolboys; New Zealand Schools; New Zealand Schools Barbarians; New Zealand U18; NZ Schools; 高校代表",NA,"New Zealand",NA,1,NA,NA,NA,NA,NA,"New_Zealand_national_schoolboy_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/New_Zealand_national_schoolboy_rugby_union_team","Youth level team"
2340,"Q17056542","CS Universitatea Cluj-Napoca","Club","1919-01-01",NA,"Clubul Sportiv Universitatea Cluj-Napoca; CSU Cluj-Napoca",NA,"Romania",NA,NA,NA,NA,"Cluj-Napoca",NA,NA,"CS_Universitatea_Cluj-Napoca","CS_Universitatea_Cluj-Napoca",NA,NA,NA,NA,"Merged with 1041"
2467,"Q20966973","France national under-16 rugby union team","National U16 team",NA,NA,NA,NA,"France",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Youth level team"
2468,"Q20966981","France olympic national rugby union team","National senior team",NA,NA,NA,NA,"France",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 58"
2507,"Q22098282","Scotland national under-16 rugby union team","National U16 team",NA,NA,NA,NA,"Scotland",NA,1,NA,NA,NA,NA,"11b87nhxxh","Scotland_national_under-16_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/Scotland_national_under-16_rugby_union_team","Youth level team"
2508,"Q22098288","Scotland national under-17 rugby union team","National U17 team",NA,NA,"U-17",NA,"Scotland",NA,1,NA,NA,NA,NA,"11bwdsdsz1","Scotland_national_under-17_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/Scotland_national_under-17_rugby_union_team","Youth level team"
2787,"Q65165207","Jaguares XV","Club/franchise team","2019-01-01",NA,"ハグアレスXV",NA,"Argentina","Super Liga Americana de Rugby",NA,NA,NA,NA,NA,"11h0ykp5l5",NA,NA,NA,"Jaguares_XV","%E3%83%8F%E3%82%B0%E3%82%A2%E3%83%AC%E3%82%B9XV",NA,"Merged with 2436"
2824,"Q16320","Club Atlético Peñarol","Club","1891-09-28",NA,"Peñarol; نادي بنيارول; ФК Пеньяроль; C.A. Peñarol; CA Peñarol; Club Atletico Peñarol; Peñarol Montevideo; Пењарол; CA Penarol; เปญญาโรล; 佩那罗尔足球俱乐部; Peñarol de Montevideo",NA,"Uruguay",NA,NA,"Estadio Campeón del Siglo",NA,"Montevideo",NA,NA,"Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","CA%E3%83%9A%E3%83%8B%E3%83%A3%E3%83%AD%E3%83%BC%E3%83%AB",NA,"Merged into 3"
2858,"Q96240634","France national under-17 rugby union team","National U17 team",NA,NA,NA,NA,"France",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Youth level team"
2906,"Q104856093","Wellington Rugby Union Team","Club",NA,NA,"Wellington Lions; ウェリントン・ライオンズ; ウェリントン",NA,"New Zealand","National Provincial Championship",2,NA,NA,NA,NA,"11hspmpp5l","Wellington_(National_Provincial_Championship)",NA,NA,"Wellington_Lions","%E3%82%A6%E3%82%A7%E3%83%AA%E3%83%B3%E3%83%88%E3%83%B3%E3%83%BB%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BA",NA,"Merged with 270"
2919,"Q105883493","United States national under-23 rugby union team","National U23 team",NA,NA,"Collegiate All-Americans; Collegiate All Americans; Estados Unidos sub-23; Men's Collegiate All-Americans; U.s. U-23; United States U23; USA Collegiate All-Americans; USA Under-23",NA,NA,NA,1,NA,NA,NA,NA,NA,"United_States_national_under-23_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/United_States_national_under-23_rugby_union_team","Merged with 2576"
3023,"Q108803455","Vancouver Island Crimson Tide","Club/franchise team",NA,NA,"Crimson Tide",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vancouver_Island_Crimson_Tide",NA,NA,NA,NA,"http://dbpedia.org/resource/Vancouver_Island_Crimson_Tide","Merged with 1936"
3026,"Q109045019","Stade nantais","Club","1907-01-01",NA,"SNUC; S.N.U.C.",NA,"France",NA,NA,NA,NA,"Nantes",NA,NA,NA,"Stade_nantais_universit%C3%A9_club",NA,NA,NA,NA,"Merged with 673"
3029,"Q109315537","Rhodesia Rugby Union Team","National senior team","1898-01-01",NA,NA,NA,"Zimbabwe",NA,1,NA,NA,NA,NA,NA,NA,"%C3%89quipe_de_Rhod%C3%A9sie_de_rugby_%C3%A0_XV",NA,NA,NA,NA,"Merged with 281"
3039,"Q109452732","Yokogawa Musashino Artemistars","Club/franchise team","2017-01-01",NA,"Yokogawa",NA,"Japan",NA,NA,NA,NA,NA,NA,NA,"Yokogawa_Musashino_Artemi-Stars",NA,NA,NA,"%E6%A8%AA%E6%B2%B3%E6%AD%A6%E8%94%B5%E9%87%8E%E3%82%A2%E3%83%AB%E3%83%86%E3%83%9F%E3%83%BB%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA",NA,"Women's rugby team"
3052,"Q110588757","Berkeley All Blues","Club/franchise team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Berkeley_All_Blues",NA,NA,NA,NA,"http://dbpedia.org/resource/Berkeley_All_Blues","Women's rugby team"
3054,"Q110741460","Peninsula Seagulls","Club/franchise team","2014-01-01",NA,"Peninsula Seagulls Rugby League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rugby league team"
3073,"Q113291271","Urayasu D-Rocks","Club/franchise team","2022-07-01",NA,"NTT; NTT Com Shining Arcs; NTT Comms Shining Arcs; NTT Communications Shining Arcs; NTT Shining Arcs; Shining Arcs; Urayasu D-Rocks NTT; 浦安D; 浦安D-Rocks; 浦安DR",NA,"Japan","Japan Rugby League One Division 1",1,NA,NA,NA,NA,"11t7d0rhpy","Urayasu_D-Rocks","Urayasu_D-Rocks",NA,NA,"%E6%B5%A6%E5%AE%89D-Rocks",NA,"Merged with 1385"
3076,"Q113483327","Canberra Raiders","Club/franchise team",NA,NA,NA,NA,NA,NA,NA,"Canberra Stadium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rugby league team"
3077,"Q113483334","Cronulla-Sutherland Sharks","Club",NA,NA,"クラナラ・シャークス",NA,NA,NA,NA,"Endeavour Field",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rugby league club"
3149,"Q122639340","Halifax Vandals RUFC","Club",NA,NA,NA,NA,"England","Counties 2 Yorkshire",8,NA,NA,NA,NA,NA,"Halifax_Vandals_RUFC",NA,NA,NA,NA,NA,"Merged with 1294"
3150,"Q122765722","Old Boys & Old Girls Club","Club",NA,NA,"The British Schools Old Boys & Old Girls Club",NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,"Old_Boys_%26_Old_Girls_Club",NA,NA,NA,NA,"Merged with 226"
3176,"Q124754949","Newport Gwent Dragons","Club",NA,NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 7"
3193,"Q125924347","UFH Baby Blues","Club/franchise team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFH_Baby_Blues",NA,NA,NA,NA,NA,"Women's rugby team"
3195,"Q126372406","Beantown RFC","Club/franchise team","1976-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beantown_RFC",NA,NA,NA,NA,NA,"Women's rugby"
3199,"Q126489203","Mie Pearls","Club/franchise team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mie_Pearls",NA,NA,NA,NA,NA,"Women's rugby"
3305,"Q131861617","Japan national under-17 rugby union team","National U17 team",NA,NA,"U17日本",NA,"Japan",NA,1,NA,NA,NA,NA,"11sv8gyzqq",NA,NA,NA,NA,"U17%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E6%97%A5%E6%9C%AC%E4%BB%A3%E8%A1%A8",NA,"Youth level team"
3848,NA,"UQ - Gatton Rugby Union","Club",NA,NA,NA,NA,"Australia","Queensland Suburban Rugby Union",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 3785"
4522,NA,"Biscarrosse Olympique","Club",NA,NA,NA,NA,"France","Fédérale 3 - Poule 12",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 2930"
4568,NA,"SCUF rugby","Club",NA,NA,"Sporting_Club_universitaire_de_France",NA,"France","Fédérale 3 - Poule 18",7,NA,NA,NA,NA,NA,NA,"Sporting_Club_universitaire_de_France",NA,NA,NA,NA,"Merged with 659"
4691,NA,"SA Vierzonnais","Club",NA,NA,NA,NA,"France","Régionale 1 - Ligue Centre-Val de Loire",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 4541"
4666,NA,"US Deux Ponts","Club",NA,NA,NA,NA,"France","Régionale 1 - Ligue Auvergne-Rhône-Alpes",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 4608"
4709,NA,"Stade Villeneuvois Lille Metropole","Club",NA,NA,NA,NA,"France","Régionale 1 - Ligue Hauts-de-France",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 4510"
4713,NA,"CA Orsay Rugby Club","Club",NA,NA,NA,NA,"France","Régionale 1 - Ligue Île-de-France",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 4495"
5379,NA,"Rugby Club Jacou Montpellier Nord","Club",NA,NA,NA,NA,"France","Régionale 3 - Ligue Occitanie",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 4614"
5432,NA,"Rugby Club Hyeres Carqueiranne La Crau 83","Club/franchise team",NA,NA,NA,"French Rugby Federation","France","Régionale 3 - Ligue Provence-Alpes-Côte-d'Azur",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 621"
5590,NA,"ASD Rugby Bergamo 1950","Club",NA,NA,NA,NA,"Italy","Serie C Lombardia",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 2577"
5880,NA,"Dargaville High School","Club",NA,NA,NA,NA,"New Zealand","Northland Rugby Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
5889,NA,"Kamo High School","Club",NA,NA,NA,NA,"New Zealand","Northland Rugby Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
5891,NA,"Kerikeri High School","Club",NA,NA,NA,NA,"New Zealand","Northland Rugby Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
5913,NA,"Whang'rei Boys' High School","Club",NA,NA,NA,NA,"New Zealand","Northland Rugby Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
5988,NA,"Hawera High School","Club",NA,NA,NA,NA,"New Zealand","Taranaki Rugby Football Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
5989,NA,"Inglewood High School","Club",NA,NA,NA,NA,"New Zealand","Taranaki Rugby Football Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
5993,NA,"New Plymouth Boys' High School","Club",NA,NA,NA,NA,"New Zealand","Taranaki Rugby Football Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
6008,NA,"Waitara High School","Club",NA,NA,NA,NA,"New Zealand","Taranaki Rugby Football Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
6127,NA,"Brynamman RFC","Club",NA,NA,NA,NA,"Wales","WRU Division Four South West",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 6121"
6136,NA,"Hirwaun RFC","Club",NA,NA,NA,NA,"Wales","WRU Division Five South Central",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 6128"
6150,NA,"CRC Caerdydd RFC","Club",NA,NA,NA,NA,"Wales","WRU Division Six Central",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 2791"
6657,NA,"University of KwaZulu-Natal Howard College","Club",NA,NA,"UKZN Impi",NA,"South Africa","KwaZulu-Natal Rugby Union",8,NA,NA,"Durban",NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 6197"
6845,NA,"AZ-COM Maruwa MOMOTARO'S","Club",NA,NA,"Az-Com Maruwa Momotaro’s; MOMOTARO'S; 丸和運輸機関; 丸和運輸機関AZ-MOMOTAROS",NA,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ-COM%E4%B8%B8%E5%92%8CMOMOTARO%27S",NA,"Merged with 2709"
6846,NA,"Clean Fighters Yamanashi",NA,NA,NA,"クリーンファイターズ山梨; TOSENクリーンファイターズ; クリーンファイターズ; 山梨TOSENクリーンファイターズ",NA,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%95%E3%82%A1%E3%82%A4%E3%82%BF%E3%83%BC%E3%82%BA%E5%B1%B1%E6%A2%A8",NA,"Merged with 2452"
6848,NA,"Tokai University Shonan Campus Rugby Football Club","Club",NA,NA,"東海大学",NA,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%A6%E6%B9%98%E5%8D%97%E6%A0%A1%E8%88%8E%E4%BD%93%E8%82%B2%E4%BC%9A%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%95%E3%83%83%E3%83%88%E3%83%9C%E3%83%BC%E3%83%AB%E9%83%A8",NA,"Merged with 2084"
6854,NA,"Kansai Maruwa Logistics Rugby Club",NA,NA,NA,"関西丸和RFC",NA,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"%E9%96%A2%E8%A5%BF%E4%B8%B8%E5%92%8C%E3%83%AD%E3%82%B8%E3%82%B9%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF%E3%82%B9%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%83%A8",NA,"Merged with 3277"
6857,NA,"Japan A national rugby union team","National senior team",NA,NA,"Japan XV; JAPAN XV",NA,"Japan",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAPAN_XV",NA,"Merged with 2421"
6863,NA,"Stellenbosch University",NA,NA,NA,"Maties; Stellenbosch; ステレンボッシュ大; ステレンボッシュ大学",NA,"South Africa",NA,NA,NA,NA,NA,NA,NA,"Stellenbosch_University","Universit%C3%A9_de_Stellenbosch","Universit%C3%A0_di_Stellenbosch","Universidad_de_Stellenbosch","%E3%82%B9%E3%83%86%E3%83%AC%E3%83%B3%E3%83%9C%E3%83%83%E3%82%B7%E3%83%A5%E5%A4%A7%E5%AD%A6",NA,"Merged with 6186"
6868,NA,"Korea Armed Forces Athletic Corps","Military/police team",NA,NA,"Kafac; KAFAC; Korea Army; 大韓民国国軍体育部隊; 尚武",NA,"South Korea",NA,NA,NA,NA,NA,NA,NA,"Korea_Armed_Forces_Athletic_Corps",NA,NA,NA,"%E5%9B%BD%E8%BB%8D%E4%BD%93%E8%82%B2%E9%83%A8%E9%9A%8A",NA,"Merged with 646"
6905,NA,"University of California, Berkeley",NA,NA,NA,"カリフォルニア大学バークレー校",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"%E3%82%AB%E3%83%AA%E3%83%95%E3%82%A9%E3%83%AB%E3%83%8B%E3%82%A2%E5%A4%A7%E5%AD%A6%E3%83%90%E3%83%BC%E3%82%AF%E3%83%AC%E3%83%BC%E6%A0%A1",NA,"Merged with 1049"
6906,NA,"Kindai University",NA,NA,NA,"近畿大学",NA,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"%E8%BF%91%E7%95%BF%E5%A4%A7%E5%AD%A6",NA,"Merged with 2097"
6912,NA,"Auckland University of Technology","Club",NA,NA,"オークランド工業大学",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 6866"
6915,NA,"Bulava Taganrog","Club",NA,NA,"ブラヴァ・タガンログ",NA,"Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 444"
6921,NA,"Club Alcobendas rugby","Club/franchise team",NA,NA,"サニータス・アルコベンダス",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 464"
6922,NA,"Club Deportivo Universidad Católica","Club",NA,NA,"CSウニベルシダ・カトリーナ",NA,"Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 1415"
6938,NA,"Nelson Mandela University","Club",NA,NA,"NMMU Madibaz; ネルソン・マンデラ大学",NA,"South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 6193"
7029,"Q533295","BSV 92 Berlin","Club/franchise team",1892-07-02,NA,"Berliner Sport-Verein 1892; Berliner SV 1892","German Rugby Federation","Germany",NA,NA,NA,NA,NA,NA,NA,"Berliner_SV_1892","BSV_92_Berlin","Berliner_Sport-Verein_1892","Berliner_SV_92",NA,NA,"Merged with 432"
7039,NA,"Central University of Technology Free State","Club",NA,NA,"Central University of Technology; CUT Ixias; Technikon Free State; Université de technologie centrale",NA,"South Africa",NA,NA,NA,NA,"Bloemfontein",NA,NA,"Central_University_of_Technology,_Free_State","Universit%C3%A9_de_technologie_centrale",NA,NA,NA,NA,"Merged with 6185"
7089,NA,"England national under-21 rugby union team","National U21 team",NA,NA,"Angleterre U21",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 7088"
7133,NA,"Jeunesses Illibériennes","Club/franchise team",NA,NA,"Elne; Jeunesses illibériennes; JSI-Elne","French Rugby Federation","France",NA,NA,NA,NA,"Elne",NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 4620"
7183,NA,"Nor'Westers Athletic Association Rugby","Club",NA,NA,"Nor'Westers",NA,"Canada",NA,NA,NA,NA,"Edmonton",NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 7083"
7216,NA,"Ra Rugby Union Team","Club",NA,NA,NA,NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 7217"
7251,NA,"Rhodesia national rugby union team","National senior team",NA,NA,"Rhodésie",NA,"Rhodesia",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 281"
7359,NA,"United States A national rugby union team","National senior team",NA,NA,"États-Unis A; États-Unis XV; USA XV",NA,"U.S.A.",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 2400"
7414,NA,"Wales national under-21 rugby union team","National U21 team",NA,NA,"Pays de Galles -21",NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 7413"
7444,NA,"US Avignon-Le Pontet","Club/franchise team",NA,NA,"Avignon-Le Pontet; Avignone Le Pontet; Union Sportive Avignon-Le Pontet","French Rugby Federation","France",NA,NA,NA,NA,"Avignon",NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 2711"
7720,NA,"Piller Rugby Club","Club/franchise team",NA,NA,"Pilier Rugby Club",NA,"Spain",NA,NA,NA,NA,"Gau",NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 2887"
7763,NA,"Midland Counties Football Union","Regional team","1879-01-01","1920-01-01","Midland Counties; Midlands County; Midlands District xv; Midlands District XV",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Midland_Counties_Football_Union",NA,NA,NA,NA,"Merged with 7529"
7781,NA,"LundaX Lions Amaranto Rugby","Club/franchise team",NA,NA,"Lions Amaranto Livorno; Lions Amaranto Rugby",NA,"Italy",NA,NA,NA,NA,"Livorno",NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 5523"
7795,NA,"Kishniev Blue Marine","Club/franchise team",NA,NA,NA,NA,"Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged 7398"
7806,NA,"Fiji A national rugby union team","National senior team",NA,NA,"Fiji A; Fiji B",NA,"Fiji",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 506"
7846,NA,"Durham County Rugby Football Union","Club",NA,NA,"Durham Counties; Durham County RFU",NA,"England",NA,NA,NA,NA,"Durham",NA,NA,NA,"Durham_County_Rugby_Football_Union",NA,NA,NA,NA,"Merged with 7555"
