"","wikidataId","fullName","type","inceptionDate","altNames","terminationDate","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","AllRugbyIDs","GoogleKnowlIDs","articleEn","articleFr","articleIt","articleEs","articleJa","dbpediaId"
"28","Q298137","ASV Köln","rugby union club","1929-01-01",NA,NA,NA,"Germany",NA,NA,NA,NA,NA,NA,NA,"ASV_K%C3%B6ln",NA,NA,NA,NA,NA
"29","Q304142","Austria national rugby union team","national rugby union team",NA,NA,NA,NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"Austria_national_rugby_union_team","%C3%89quipe_d%27Autriche_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Austria",NA,NA,NA
"31","Q325466","Heidelberger RK","rugby union team","1872-01-01","Heidelberger RK - Rugby; Heidelberger Ruderklub 1872 e.V.",NA,NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Heidelberg",NA,NA,"Heidelberger_RK","Heidelberger_Ruderklub_1872_e.V.","Heidelberger_Ruderklub_1872",NA,NA,"http://dbpedia.org/resource/Heidelberger_RK"
"32","Q334657","Chile national rugby union team","national rugby union team","1936-09-18",NA,NA,NA,"Chile",NA,NA,NA,NA,NA,NA,NA,"Chile_national_rugby_union_team","%C3%89quipe_du_Chili_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Cile","Selecci%C3%B3n_de_rugby_de_Chile","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%81%E3%83%AA%E4%BB%A3%E8%A1%A8",NA
"33","Q335062","Belgium national rugby union team","national rugby union team","1930-07-01",NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"Belgium_national_rugby_union_team","%C3%89quipe_de_Belgique_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Belgio","Selecci%C3%B3n_de_rugby_de_B%C3%A9lgica","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%99%E3%83%AB%E3%82%AE%E3%83%BC%E4%BB%A3%E8%A1%A8",NA
"34","Q367722","Denmark national rugby union team","national rugby union team","1949-01-01",NA,NA,NA,"Denmark",NA,NA,NA,NA,NA,NA,NA,"Denmark_national_rugby_union_team","%C3%89quipe_du_Danemark_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Danimarca","Selecci%C3%B3n_de_rugby_de_Dinamarca",NA,NA
"35","Q373704","Niue national rugby union team","national rugby union team","1983-01-01",NA,NA,NA,"Niue",NA,NA,NA,NA,NA,NA,NA,"Niue_national_rugby_union_team","%C3%89quipe_de_Niue_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Niue","Selecci%C3%B3n_de_rugby_de_Niue",NA,NA
"36","Q374255","Bosnia and Herzegovina national rugby union team","national rugby union team","1992-01-01",NA,NA,NA,"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,"Bosnia_and_Herzegovina_national_rugby_union_team","%C3%89quipe_de_Bosnie-Herz%C3%A9govine_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Bosnia_ed_Erzegovina","Selecci%C3%B3n_de_rugby_de_Bosnia_y_Herzegovina",NA,NA
"39","Q378628","England national rugby union team","national rugby union team","1871-03-27",NA,NA,NA,"United Kingdom",NA,NA,"Twickenham Stadium","82000",NA,NA,NA,"England_national_rugby_union_team","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Inghilterra","Selecci%C3%B3n_de_rugby_de_Inglaterra","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8",NA
"41","Q389007","CRC Pozuelo","rugby union team","1963-01-01","Club de Rugby CRC Pozuelo",NA,"Spanish Rugby Federation","Spain","División de Honor de Rugby",NA,"Campo de rugby Valle de las Cañas","500","Pozuelo de Alarcón",NA,NA,"CRC_Pozuelo","CRC_Pozuelo","Canoe_Rugby_Club_Pozuelo_Madrid","CRC_Pozuelo",NA,"http://dbpedia.org/resource/CRC_Pozuelo"
"43","Q427312","Greece national rugby union team","national rugby union team","2005-10-22",NA,NA,NA,"Greece",NA,NA,NA,NA,NA,NA,NA,"Greece_national_rugby_union_team","%C3%89quipe_de_Gr%C3%A8ce_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Grecia",NA,NA,NA
"45","Q431717","Bulgaria national rugby union team","national rugby union team","1963-05-20",NA,NA,NA,"Bulgaria",NA,NA,NA,NA,NA,NA,NA,"Bulgaria_national_rugby_union_team","%C3%89quipe_de_Bulgarie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Bulgaria",NA,NA,NA
"47","Q472632","RC Innsbruck","rugby union club",NA,"Rugby Club Innsbruck",NA,NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"RC_Innsbruck",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Innsbruck"
"48","Q473372","Andorra national rugby union team","national rugby union team",NA,NA,NA,NA,"Andorra",NA,NA,NA,NA,NA,NA,NA,"Andorra_national_rugby_union_team","%C3%89quipe_d%27Andorre_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Andorra","Selecci%C3%B3n_de_rugby_de_Andorra",NA,NA
"50","Q479194","SC 1880 Frankfurt","rugby union club","1880-01-01","Sport-Club Frankfurt 1880 e.V.",NA,NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Frankfurt",NA,NA,"SC_1880_Frankfurt","SC_1880_Frankfurt",NA,NA,NA,"http://dbpedia.org/resource/SC_1880_Frankfurt"
"51","Q484649","South Korea national rugby union team","national rugby union team","1969-03-16",NA,NA,NA,"South Korea",NA,NA,NA,NA,NA,NA,NA,"South_Korea_national_rugby_union_team","%C3%89quipe_de_Cor%C3%A9e_du_Sud_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Corea_del_Sud","Selecci%C3%B3n_de_rugby_de_Corea_del_Sur","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E5%A4%A7%E9%9F%93%E6%B0%91%E5%9B%BD%E4%BB%A3%E8%A1%A8",NA
"52","Q498478","South Africa national rugby union team","national rugby union team","1891-07-30",NA,NA,NA,"South Africa",NA,NA,NA,NA,NA,"south-africa",NA,"South_Africa_national_rugby_union_team","%C3%89quipe_d%27Afrique_du_Sud_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Sudafrica","Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E5%8D%97%E3%82%A2%E3%83%95%E3%83%AA%E3%82%AB%E5%85%B1%E5%92%8C%E5%9B%BD%E4%BB%A3%E8%A1%A8",NA
"53","Q501864","Uruguay national under-20 rugby union team","rugby union team",NA,NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,"Uruguay_national_under-20_rugby_union_team","%C3%89quipe_d%27Uruguay_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Uruguay","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A6%E3%83%AB%E3%82%B0%E3%82%A2%E3%82%A4%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Uruguay_national_under-20_rugby_union_team"
"54","Q511912","Sri Lanka national rugby union team","national rugby union team",NA,NA,NA,NA,"Sri Lanka",NA,NA,NA,NA,NA,NA,NA,"Sri_Lanka_national_rugby_union_team","%C3%89quipe_du_Sri_Lanka_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dello_Sri_Lanka","Selecci%C3%B3n_de_rugby_de_Sri_Lanka",NA,NA
"57","Q517805","Real Oviedo Rugby","rugby union team","1983-01-01","Oviedo RC; Oviedo Rugby Club",NA,NA,"Spain","División de Honor B de Rugby",NA,"Campo de Rugby El Naranco",NA,"Oviedo",NA,NA,"Oviedo_RC","Real_Oviedo_Rugby",NA,"Real_Oviedo_Rugby",NA,"http://dbpedia.org/resource/Oviedo_RC"
"58","Q518116","France national rugby union team","national rugby union team","1906-01-01",NA,NA,NA,"France",NA,NA,"Parc des Princes; Yves du Manoir Stadium; Stade de France","NA; 80698",NA,"france",NA,"France_national_rugby_union_team","%C3%89quipe_de_France_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Francia","Selecci%C3%B3n_de_rugby_de_Francia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B9%E4%BB%A3%E8%A1%A8",NA
"62","Q535106","Gernika RT","rugby union team","1973-01-01","Bizkaia Gernika; Gernika Rugby Taldea",NA,"Spanish Rugby Federation","Spain","División de Honor de Rugby",NA,NA,NA,NA,NA,NA,"Gernika_RT","Gernika_Rugby_Taldea","Gernika_Rugby_Taldea","Gernika_Rugby_Taldea","%E3%82%B2%E3%83%AB%E3%83%8B%E3%82%ABRT","http://dbpedia.org/resource/Gernika_RT"
"66","Q548893","Royal Kituro Rugby Club","rugby union team","1961-01-01","Kituro RC; Royal Kituro Avia Schaerbeek Rugby Club",NA,"Belgian Rugby Federation","Belgium","Belgian Elite League",NA,NA,NA,NA,NA,NA,"Royal_Kituro_Rugby_Club","Royal_Kituro_Rugby_Club","Royal_Kituro_Rugby_Club","Kituro_Rugby_Club",NA,"http://dbpedia.org/resource/Royal_Kituro_Rugby_Club"
"67","Q550457","Ukraine national rugby union team","national rugby union team","1991-11-21",NA,NA,NA,"Ukraine",NA,NA,NA,NA,NA,NA,NA,"Ukraine_national_rugby_union_team","%C3%89quipe_d%27Ukraine_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Ucraina","Selecci%C3%B3n_de_rugby_de_Ucrania",NA,NA
"68","Q570941","RC Olomouc","rugby union team","1953-01-01","Rugby Club Olomouc",NA,NA,"Czechia",NA,NA,NA,NA,NA,NA,NA,"RC_Olomouc",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Olomouc"
"69","Q576485","United States national under-20 rugby union team","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"United_States_national_under-20_rugby_union_team","%C3%89quipe_des_%C3%89tats-Unis_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Estados_Unidos","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/United_States_national_under-20_rugby_union_team"
"70","Q580900","Esztergomi Vitézek Rugby SE","rugby union team","1983-01-01","Esztergomi Vitézek",NA,NA,"Hungary",NA,NA,NA,NA,NA,NA,NA,"Esztergomi_Vit%C3%A9zek_Rugby_SE",NA,NA,NA,NA,"http://dbpedia.org/resource/Esztergomi_Vitézek_Rugby_SE"
"71","Q585080","FC Barcelona Rugby","rugby union team","1924-09-21","Barcelona; Futbol Club Barcelona Rugby",NA,"Spanish Rugby Federation","Spain","División de Honor de Rugby",NA,"Camp de Rugbi La Teixonera",NA,NA,NA,NA,"FC_Barcelona_Rugby","FC_Barcelone_(rugby_%C3%A0_XV)","Futbol_Club_Barcelona_rugbi","F%C3%BAtbol_Club_Barcelona_(rugby)","FC%E3%83%90%E3%83%AB%E3%82%BB%E3%83%AD%E3%83%8A_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","http://dbpedia.org/resource/FC_Barcelona_Rugby"
"73","Q591846","Democratic Republic of the Congo national rugby union team","national rugby union team",NA,"DR Congo national rugby union team",NA,NA,"D.R. of the Congo",NA,NA,NA,NA,NA,NA,NA,"DR_Congo_national_rugby_union_team","%C3%89quipe_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Repubblica_Democratica_del_Congo",NA,NA,"http://dbpedia.org/resource/DR_Congo_national_rugby_union_team"
"74","Q592714","Valladolid RAC","rugby union club","1986-01-01","VRAC Quesos Entrepinares; Valladolid Rugby Asociación Club",NA,"Spanish Rugby Federation","Spain","División de Honor de Rugby",NA,"Estadio Pepe Rojo","5000",NA,NA,NA,"Valladolid_RAC","Valladolid_Rugby_Asociaci%C3%B3n_Club","Valladolid_Rugby_Asociaci%C3%B3n_Club","Valladolid_Rugby_Asociaci%C3%B3n_Club","%E3%83%90%E3%83%AA%E3%83%A3%E3%83%89%E3%83%AA%E3%83%83%E3%83%89RAC","http://dbpedia.org/resource/Valladolid_RAC"
"77","Q599903","Ireland national rugby union team","national rugby union team","1875-02-15",NA,NA,NA,"Ireland",NA,NA,"Aviva Stadium","51700",NA,NA,NA,"Ireland_national_rugby_union_team","%C3%89quipe_d%27Irlande_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Irlanda","Selecci%C3%B3n_de_rugby_de_Irlanda","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%82%A4%E3%83%AB%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8",NA
"78","Q601366","Vigo RC","rugby union team","1988-01-01","Rugby Universidade de Vigo; Vigo Rugby Club",NA,NA,"Spain","División de Honor B de Rugby",NA,NA,NA,"Vigo",NA,NA,"Vigo_RC","Vigo_Rugby_Club",NA,"Vigo_Rugby_Club",NA,"http://dbpedia.org/resource/Vigo_RC"
"79","Q603010","Pakistan national rugby union team","national rugby union team",NA,NA,NA,NA,"Pakistan",NA,NA,NA,NA,NA,NA,NA,"Pakistan_national_rugby_union_team","%C3%89quipe_du_Pakistan_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Pakistan",NA,NA,NA
"82","Q609885","Georgia national rugby union team","national rugby union team","1991-11-21",NA,NA,NA,"Georgia",NA,NA,"Dinamo Arena","54549",NA,NA,NA,"Georgia_national_rugby_union_team","%C3%89quipe_de_G%C3%A9orgie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Georgia","Selecci%C3%B3n_de_rugby_de_Georgia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B8%E3%83%A7%E3%83%BC%E3%82%B8%E3%82%A2%E4%BB%A3%E8%A1%A8",NA
"83","Q611331","CR La Vila","rugby union team","1982-02-13","La Vila; Club de Rugby La Vila",NA,NA,"Spain","División de Honor de Rugby",NA,NA,NA,NA,NA,NA,"CR_La_Vila","Club_de_Rugby_La_Vila",NA,"Club_de_Rugby_La_Vila",NA,"http://dbpedia.org/resource/CR_La_Vila"
"85","Q620948","CR Arquitectura Técnica","rugby union club","1976-01-01",NA,NA,NA,"Spain",NA,NA,NA,NA,"A Coruña",NA,"1hf_wf5ms","CR_Arquitectura_T%C3%A9cnica",NA,NA,"Club_de_Rugby_Arquitectura_T%C3%A9cnica",NA,NA
"86","Q622443","Australia national rugby union team","national rugby union team","1899-06-24",NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,"Australia_national_rugby_union_team","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Australia","Selecci%C3%B3n_de_rugby_de_Australia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Australia_national_rugby_union_team"
"87","Q624092","Arabian Gulf rugby union team","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arabian_Gulf_rugby_union_team","%C3%89quipe_du_golfe_Persique_de_rugby_%C3%A0_XV","Selezione_maschile_di_rugby_a_15_del_Golfo_Persico",NA,"%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%83%A9%E3%83%93%E3%82%A2%E3%83%B3%E3%82%AC%E3%83%AB%E3%83%95%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Arabian_Gulf_rugby_union_team"
"90","Q635712","Cook Islands national rugby union team","national rugby union team","1971-09-01",NA,NA,NA,"Cook Islands",NA,NA,"National Stadium","5000",NA,NA,NA,"Cook_Islands_national_rugby_union_team","%C3%89quipe_des_%C3%8Eles_Cook_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_delle_Isole_Cook","Selecci%C3%B3n_de_rugby_de_Islas_Cook",NA,NA
"91","Q635725","Saint Lucia national rugby union team","national rugby union team",NA,NA,NA,NA,"Saint Lucia",NA,NA,NA,NA,NA,NA,NA,"Saint_Lucia_national_rugby_union_team","%C3%89quipe_de_Sainte-Lucie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Saint_Lucia","Selecci%C3%B3n_de_rugby_de_Santa_Luc%C3%ADa",NA,"http://dbpedia.org/resource/Saint_Lucia_national_rugby_union_team"
"92","Q635733","Saint Vincent and the Grenadines national rugby union team","national rugby union team",NA,NA,NA,NA,"Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,NA,"St._Vincent_and_the_Grenadines_Rugby_Union","%C3%89quipe_de_Saint-Vincent-et-les-Grenadines_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Saint_Vincent_e_Grenadine","Selecci%C3%B3n_de_rugby_de_San_Vicente_y_las_Granadinas",NA,NA
"94","Q637392","Tahiti national rugby union team","national rugby union team",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,"Tahiti_national_rugby_union_team","%C3%89quipe_de_Tahiti_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Tahiti","Selecci%C3%B3n_de_rugby_de_Tahit%C3%AD",NA,NA
"95","Q637404","Guam national rugby union team","national rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,"Wettengel Rugby Field",NA,NA,NA,NA,"Guam_national_rugby_union_team","%C3%89quipe_de_Guam_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Guam",NA,NA,NA
"96","Q637436","Vanuatu national rugby union team","national rugby union team",NA,NA,NA,NA,"Vanuatu",NA,NA,NA,NA,NA,NA,NA,"Vanuatu_national_rugby_union_team","%C3%89quipe_du_Vanuatu_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Vanuatu",NA,NA,NA
"97","Q637445","Solomon Islands national rugby union team","national rugby union team",NA,NA,NA,NA,"Solomon Islands",NA,NA,NA,NA,NA,NA,NA,"Solomon_Islands_national_rugby_union_team","%C3%89quipe_des_%C3%8Eles_Salomon_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_delle_Isole_Salomone",NA,"%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%BD%E3%83%AD%E3%83%A2%E3%83%B3%E8%AB%B8%E5%B3%B6%E4%BB%A3%E8%A1%A8",NA
"98","Q637465","Papua New Guinea national rugby union team","national rugby union team","1966-12-01",NA,NA,NA,"Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,"Papua_New_Guinea_national_rugby_union_team","%C3%89quipe_de_Papouasie-Nouvelle-Guin%C3%A9e_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Papua_Nuova_Guinea","Selecci%C3%B3n_de_rugby_de_Pap%C3%BAa_Nueva_Guinea",NA,NA
"102","Q646070","Argentina national rugby union team","national rugby union team","1910-06-12",NA,NA,NA,"Argentina",NA,NA,"José Amalfitani Stadium",NA,NA,NA,NA,"Argentina_national_rugby_union_team","%C3%89quipe_d%27Argentine_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Argentina","Selecci%C3%B3n_de_rugby_de_Argentina","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%83%AB%E3%82%BC%E3%83%B3%E3%83%81%E3%83%B3%E4%BB%A3%E8%A1%A8",NA
"103","Q650503","Krasny Yar Krasnoyarsk","rugby union club","1969-01-01","Krasny Yar; Регбийный клуб Красный Яр Красноярск",NA,NA,"Russia",NA,NA,NA,NA,"Krasnoyarsk",NA,NA,"Krasny_Yar_Krasnoyarsk","Krasny_Yar_Krasnojarsk",NA,NA,"%E3%82%AF%E3%83%A9%E3%82%B9%E3%83%8B%E3%83%A4%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%AF%E3%83%A9%E3%82%B9%E3%83%8E%E3%83%A4%E3%83%AB%E3%82%B9%E3%82%AF","http://dbpedia.org/resource/Krasny_Yar_Krasnoyarsk"
"108","Q666949","Mongolia national rugby union team","national rugby union team",NA,NA,NA,NA,"Mongolia",NA,NA,NA,NA,NA,NA,NA,"Mongolia_national_rugby_union_team","%C3%89quipe_de_Mongolie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Mongolia",NA,NA,"http://dbpedia.org/resource/Mongolia_national_rugby_union_team"
"109","Q670755","Switzerland national rugby union team","national rugby union team","1973-04-11",NA,NA,NA,"Switzerland",NA,NA,NA,NA,NA,NA,NA,"Switzerland_national_rugby_union_team","%C3%89quipe_de_Suisse_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Svizzera","Selecci%C3%B3n_de_rugby_de_Suiza",NA,NA
"111","Q674994","Macau national rugby union team","national rugby union team",NA,NA,NA,NA,"Macau",NA,NA,NA,NA,NA,NA,NA,"Macau_national_rugby_union_team","%C3%89quipe_de_Macao_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Macao",NA,NA,"http://dbpedia.org/resource/Macau_national_rugby_union_team"
