"clubId","clubLabel","clubTypeLabel","inceptionMax","inceptionFormat","terminationMax","terminationFormat","nickmaneLabels","affiliationLabels","countryLabels","competitionLabels","homeVenueLabels","homeVenueCapacities","locationLabels","AllRugbyIDs","GoogleKnowlIDs"
"Q106620854","WRC Te Werve","rugby union team",NA,NA,NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,"11r8t1fl6n"
"Q106731048","Q106731048","rugby union team","1908-01-01","1908-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Gujan-Mestras",NA,NA
"Q106784645","Q106784645","rugby union team","1904-01-01","1904-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Besançon",NA,NA
"Q106956542","Q106956542","rugby union team","1924-10-09","1924-10-9",NA,NA,NA,NA,"France",NA,NA,NA,"Bizanos",NA,NA
"Q106963648","Q106963648","rugby union team","1963-01-01","1963-1-1","2003-09-01","2003-9-1",NA,NA,"France",NA,NA,NA,"Saint-Jean-Pied-de-Port",NA,NA
"Q107020076","Q107020076","rugby union team",NA,NA,NA,NA,NA,NA,"France",NA,NA,NA,"Saint-Magne-de-Castillon",NA,NA
"Q107065192","Q107065192","rugby union team","1958-05-12","1958-5-12",NA,NA,NA,NA,"France",NA,NA,NA,"Mugron",NA,NA
"Q107094470","Q107094470","rugby union team","1922-01-01","1922-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Biscarrosse",NA,NA
"Q1071691","Leicester Tigers","rugby union club","1880-01-01","1880-1-1",NA,NA,"The Tigers","Rugby Football Union","United Kingdom","Premiership Rugby","Welford Road Stadium","24000","Leicester","leicester",NA
"Q107304762","Pacific Pride","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107339843","Q107339843","rugby union team","1921-01-01","1921-1-1","2021-06-01","2021-6-1",NA,NA,"France",NA,NA,NA,"Pouillon",NA,NA
"Q107339878","Q107339878","rugby union team","1908-01-01","1908-1-1","2021-06-01","2021-6-1",NA,NA,"France",NA,NA,NA,"Labatut",NA,NA
"Q107345439","Q107345439","rugby union team","1903-01-01","1903-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Labouheyre",NA,NA
"Q107345489","Q107345489","rugby union team","1922-01-01","1922-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Parentis-en-Born",NA,NA
"Q107345498","Q107345498","rugby union team","2019-05-24","2019-5-24",NA,NA,NA,NA,"France",NA,NA,NA,"Labouheyre",NA,NA
"Q107345506","Q107345506","rugby union team","2021-06-01","2021-6-1",NA,NA,NA,NA,"France",NA,NA,NA,"Pouillon",NA,NA
"Q107345634","Q107345634","rugby union team","1906-01-01","1906-1-1","2020-06-26","2020-6-26",NA,NA,"France",NA,NA,NA,"Léon",NA,NA
"Q107345657","Q107345657","rugby union team","1922-01-01","1922-1-1","2001-06-04","2001-6-4",NA,NA,"France",NA,NA,NA,"Linxe",NA,NA
"Q107345666","Q107345666","rugby union team","1907-01-01","1907-1-1","2001-06-04","2001-6-4",NA,NA,"France",NA,NA,NA,"Castets",NA,NA
"Q107345674","Q107345674","rugby union team","2001-06-05","2001-6-5","2020-06-26","2020-6-26",NA,NA,"France",NA,NA,NA,"Linxe",NA,NA
"Q107345684","Q107345684","rugby union team","2020-06-27","2020-6-27",NA,NA,NA,NA,"France",NA,NA,NA,"Léon",NA,NA
"Q107349465","Q107349465","rugby union team",NA,NA,NA,NA,NA,NA,"France",NA,NA,NA,"Salles",NA,NA
"Q10749444","Rugby Brescia","rugby union club","1928-01-01","1928-1-1",NA,NA,NA,"Italian Rugby Federation","Italy","Serie B","Aldo Invernici Stadium","5000",NA,NA,NA
"Q107501652","Aberdeenshire RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107501653","Banff RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107501654","Blairgowrie RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107501655","Carnoustie HSFP","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107501656","Carrick RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107501657","Dundee University Medics RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107501658","Garioch RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107501659","Huntly RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107501660","Kinross RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107501662","Mackie Academy RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107501664","Newton Stewart RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107522959","Ashhurst Pohangina RFC","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107522996","Bulls RFC","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107523022","Bunnythorpe RFC","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107523082","Bush RFC","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107523101","College Old Boys RFC","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107523111","Dannevirke Sports Club","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107523234","Feilding Yellows RFC","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107523248","Freyberg Old Boys RFC","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107523279","Halcombe RFC","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107523342","Linton Army RFC","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107523353","Massey University RFC","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107523369","Old Boys Marist","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q107524249","Stobswell RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107536634","Arbroath RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107545900","Inverness Craig Dunain RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107556848","Fraserburgh RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107556977","Turriff RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107565140","Aberfeldy RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107642851","Q107642851","rugby union team","1905-01-01","1905-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Roquefort",NA,NA
"Q107660641","Rostov","rugby union club","2020-01-01","2020-1-1",NA,NA,NA,"Rugby Union of Russia",NA,NA,NA,NA,NA,NA,NA
"Q107805430","Q107805430","rugby union team","1931-01-01","1931-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Montfort-en-Chalosse",NA,NA
"Q107958563","C' Chartres Rugby","rugby union team","1981-11-28","1981-11-28",NA,NA,NA,NA,"France",NA,NA,NA,"Chartres",NA,NA
"Q107970181","Kinloss RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970182","Aberdeen University Medics RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970183","Aberdeen Taexali","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970184","RAF Lossiemouth RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970185","North Police Scotland RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970186","Glasgow University Medics RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970187","Broughton RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970189","Edinburgh University Medics RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970190","North Berwick RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970191","Liberton RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970192","Ross High RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970193","Gala Y.M. RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970194","RDVC RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970195","Abertay University RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970196","Glasgow Caledonian University RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970197","Strathclyde University RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970200","Dundee University RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970202","Robert Gordon University RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970203","Stirling University RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107970204","Edinburgh Napier University RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q107982991","Q107982991","rugby union team","1974-05-10","1974-5-10",NA,NA,NA,NA,"France",NA,"Stade Raoul-Lagraula",NA,"Narrosse",NA,NA
"Q108179170","Toulouse olympique employés club","rugby union team","1913-01-01","1913-1-1","1995-01-01","1995-1-1",NA,NA,"France",NA,NA,NA,"Toulouse",NA,NA
"Q108290259","Q108290259","rugby union team","1911-01-01","1911-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Ondres",NA,NA
"Q108301006","Q108301006","rugby union team","1986-04-16","1986-4-16","2018-06-27","2018-6-27",NA,NA,"France",NA,NA,NA,"Amou",NA,NA
"Q108301034","Q108301034","rugby union team","1979-05-01","1979-5-1","2018-06-27","2018-6-27",NA,NA,"France",NA,NA,NA,"Pomarez",NA,NA
"Q108301056","Q108301056","rugby union team","2018-06-28","2018-6-28",NA,NA,NA,NA,"France",NA,NA,NA,"Pomarez",NA,NA
"Q108304520","CM Floirac rugby","rugby union team",NA,NA,NA,NA,NA,NA,"France",NA,NA,NA,"Floirac",NA,NA
"Q108304712","Q108304712","rugby union team","2003-01-01","2003-1-1","2016-01-01","2016-1-1",NA,NA,"France",NA,NA,NA,"Campet-et-Lamolère",NA,NA
"Q108321489","Entente Aramits Asasp","rugby union team","2002-01-01","2002-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Aramits",NA,NA
"Q108377638","The Black Lion","rugby union team",NA,NA,NA,NA,NA,NA,"Georgia",NA,NA,NA,NA,NA,NA
"Q108470459","Abercwmboi RFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q108565098","Tel Aviv Heat","rugby union team","2021-07-07","2021-7-7",NA,NA,NA,NA,"Israel",NA,NA,NA,NA,NA,NA
"Q108565145","Castilla y León Iberians","rugby union team","2021-01-01","2021-1-1",NA,NA,NA,NA,"Spain",NA,NA,NA,NA,NA,NA
"Q108666985","The Delta","rugby union team",NA,NA,NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,NA
"Q108681444","Q108681444","rugby union team","1912-01-01","1912-1-1","2001-01-01","2001-1-1",NA,NA,"France",NA,NA,NA,"Nice",NA,NA
"Q108685870","Brussels Devils","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q10880452","Red Hurricanes Osaka","rugby union club","1994-01-01","1994-1-1",NA,NA,NA,NA,"Japan","Japan Rugby League One",NA,NA,NA,NA,NA
"Q109040615","Q109040615","rugby union team","1969-01-01","1969-1-1","2002-01-01","2002-1-1",NA,NA,"France",NA,NA,NA,"Istres",NA,NA
"Q109046241","Q109046241","rugby union team","1971-01-01","1971-1-1","2003-09-01","2003-9-1",NA,NA,"France",NA,NA,NA,"Saint-Étienne-de-Baïgorry",NA,NA
"Q109315537","Rhodesia Rugby Union Team","national rugby union team","1898-01-01","1898-1-1",NA,NA,NA,NA,"Rhodesia",NA,NA,NA,NA,NA,NA
"Q109344024","National Chengchi University Rugby Team","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q109357812","Aichi Teachers Club","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q109359846","Q109359846","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q109418248","Q109418248","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q109453887","Tsukushi Young Luggers","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q109665835","Q109665835","rugby union team",NA,NA,NA,NA,NA,NA,"France",NA,NA,NA,"Balma",NA,NA
"Q109665836","Club sportif annonéen","rugby union club","1903-01-01","1903-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Annonay",NA,NA
"Q109665837","Q109665837","rugby union team",NA,NA,NA,NA,NA,NA,"France",NA,NA,NA,"Givors",NA,NA
"Q109665838","Stade Piscénois Rugby","rugby union club","1921-01-01","1921-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Pézenas",NA,NA
"Q109717645","Q109717645","rugby union team",NA,NA,NA,NA,NA,NA,"France",NA,NA,NA,"Fleury",NA,NA
"Q109717674","Q109717674","rugby union team",NA,NA,NA,NA,NA,NA,"France",NA,NA,NA,"Lyon",NA,NA
"Q109717699","Q109717699","rugby union team",NA,NA,NA,NA,NA,NA,"France",NA,NA,NA,"Vicq-sur-Gartempe",NA,NA
"Q109806875","RC Veyle Saône","rugby union team","1977-07-22","1977-7-22",NA,NA,NA,NA,"France",NA,"Q119207970; Q119370260",NA,"Pont-de-Veyle",NA,NA
"Q109941509","Rugbyende Utrechtse Studenten","rugby union club",NA,NA,NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,NA
"Q1101990","SS Lazio Rugby 1927","rugby union club","1927-01-01","1927-1-1",NA,NA,"Biancocelesti; Biancazzurri; Aquile","Italian Rugby Federation","Italy","Serie A Élite","Centro Sportivo Giulio Onesti","1036",NA,NA,NA
"Q110250064","Rugbi Club Sant Andreu","rugby union team","1921-01-01","1921-1-1","1925-01-01","1925-1-1","Diables Rojos",NA,"Spain",NA,NA,NA,"Sant Andreu de Palomar",NA,NA
"Q1102931","Club Almirante Brown","rugby union club","1912-07-01","1912-7-1",NA,NA,NA,NA,"Argentina",NA,"Estadio Fragata Presidente Sarmiento",NA,"Isidro Casanova",NA,NA
"Q11044609","Calcutta Cricket and Football Club","rugby union team","1792-01-01","1792-1-1",NA,NA,NA,NA,"India",NA,NA,NA,NA,NA,NA
"Q11054105","Football Club de Lyon (rugby à XV)","rugby union team","1893-01-01","1893-1-1","1945-01-01","1945-1-1",NA,NA,"France",NA,NA,NA,"Lyon",NA,"128dggdd9"
"Q1105950","Kecskeméti Atlétika és Rugby Club","rugby union team","1979-01-01","1979-1-1",NA,NA,NA,NA,"Hungary",NA,NA,NA,NA,NA,NA
"Q110613058","Life West Gladiators","rugby union team",NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,"Hayward",NA,NA
"Q110741460","Peninsula Seagulls","rugby union team","2014-01-01","2014-1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q110892002","Q110892002","rugby union team","1901-01-01","1901-1-1","1962-03-11","1962-3-11",NA,NA,"France",NA,NA,NA,"Nay",NA,NA
"Q110892064","Q110892064","rugby union team","1929-12-01","1929-12-1",NA,NA,NA,NA,"France",NA,NA,NA,"Monein",NA,NA
"Q110955438","US Soustons","rugby union team","1909-10-07","1909-10-7","1926-01-01","1926-1-1",NA,NA,"France",NA,NA,NA,"Soustons",NA,NA
"Q111311281","Químic Equip de Rugby","rugby union team","1986-01-01","1986-1-1",NA,NA,NA,NA,"Spain",NA,NA,NA,"Barcelona",NA,NA
"Q11136961","Mexico national rugby union team","national rugby union team","1996-01-01","1996-1-1",NA,NA,"Serpientes",NA,"Mexico",NA,NA,NA,NA,NA,NA
"Q111433687","Q111433687","rugby union team","1e00510c0e3ad1a574bbf650273e84bd",NA,"1962-01-01","1962-1-1",NA,NA,"France",NA,NA,NA,"Magescq",NA,NA
"Q1115439","RC Narbonne","rugby union club","1907-01-01","1907-1-1",NA,NA,NA,"French Rugby Federation","France","Pro D2","Parc des Sports et de l'Amitié","12000","Narbonne",NA,NA
"Q111913589","San Diego Surfers","rugby union team",NA,NA,NA,NA,NA,NA,NA,"USA Rugby Women's Premier League",NA,NA,"San Diego",NA,NA
"Q11195984","Q11195984","rugby union team","1982-01-01","1982-1-1",NA,NA,NA,NA,"Spain",NA,NA,NA,NA,NA,"122v3r9y"
"Q111994855","Beccehamian Rugby Football Club","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q1121321","Shizuoka Blue Revs","rugby union club","1984-01-01","1984-1-1",NA,NA,NA,NA,"Japan","Japan Rugby League One","Yamaha Stadium","15165","Iwata",NA,NA
"Q112225762","Q112225762","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q1122433","Japan national rugby union team","national rugby union team","1932-01-31","1932-1-31",NA,NA,"Brave Blossoms",NA,"Japan",NA,"Chichibunomiya Rugby Stadium","24871",NA,NA,NA
"Q11226317","JR WEST Railers","rugby union team",NA,NA,NA,NA,NA,NA,"Japan","Top West",NA,NA,NA,NA,"1226mqwn"
"Q1122765","Singapore national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Singapore",NA,NA,NA,NA,NA,NA
"Q1124430","US Cognac","rugby union team","1899-12-02","1899-12-2",NA,NA,NA,NA,"France",NA,"Parc des sports de Cognac",NA,"Cognac",NA,NA
"Q112605483","Q112605483","rugby union team","1972-01-01","1972-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Léognan",NA,NA
"Q1126167","Connacht Rugby","rugby union club","1885-01-01","1885-1-1",NA,NA,NA,NA,"Ireland","United Rugby Championship","Dexcom Stadium",NA,"Galway",NA,NA
"Q1127974","Pontypool RFC","rugby union team","1868-01-01","1868-1-1",NA,NA,"Pooler","Welsh Rugby Union","United Kingdom","Welsh Championship","Pontypool Park","8800",NA,NA,NA
"Q112860723","Nepal national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Nepal",NA,NA,NA,NA,NA,NA
"Q112876522","Rugby Club Montaigut Besse","rugby union team","1976-01-01","1976-1-1",NA,NA,NA,NA,"France","Rugby union regional Auvergne-Rhône-Alpes league; French rugby union regional 1 championship",NA,NA,"Montaigut-le-Blanc",NA,NA
"Q113135","Italy national rugby union team","national rugby union team","1929-05-20","1929-5-20",NA,NA,"Azzurri",NA,"Italy",NA,"Stadio Olimpico","70634",NA,NA,NA
"Q113159162","Brisbane Broncos Women","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q1132148","GranDucato Parma","rugby union team","1999-07-14","1999-7-14","2011-01-01","2011-1-1",NA,"Italian Rugby Federation","Italy",NA,NA,NA,NA,NA,NA
"Q1132521","Amatori Rugby Milano","defunct rugby union club","1927-01-01","1927-1-1","2011-01-01","2011-1-1",NA,"Italian Rugby Federation","Italy",NA,NA,NA,NA,NA,NA
"Q113291271","Urayasu D-Rocks","rugby union team","2022-07-01","2022-7-1",NA,NA,"D-Rocks",NA,"Japan",NA,NA,NA,NA,NA,"11t7d0rhpy"
"Q113374283","Entente Meximieux Dagneux Plaine de l'Ain","rugby union club","1970-01-01","1970-1-1",NA,NA,NA,NA,"France",NA,"Stade de la Prairie",NA,"Meximieux",NA,NA
