"wikidataId","fullName","esName","esFullName","birthDate","birthPlace","birthPlaceWP","deathDate","deathPlace","deathPlaceWP","height","weight","positions","positionsWP","citizenship"
"Q193926","Aaron Cruden","Aaron Cruden","Aaron Wiremu Cruden","8 de enero de 1989","Palmerston North","/wiki/Palmerston_North",NA,NA,NA,178,84,"Fly-Half",NA,"New Zealand"
"Q194026","Jimmy Cowan","Jimmy Cowan","Quinton James Cowan","6 de marzo de 1982","Gore","/wiki/Gore_(Nueva_Zelanda)",NA,NA,NA,185,92,"Scrum-Half",NA,"New Zealand"
"Q200427","Dimitri Szarzewski","Dimitri Szarzewski",NA,"26 de enero de 1983","Narbona","/wiki/Narbona",NA,NA,NA,180,102,"Hooker",NA,"France"
"Q205288","Zinzan Brooke","Zinzan Brooke","Murray Zinzan Brooke","14 de febrero de 1965","Región de Auckland","/wiki/Regi%C3%B3n_de_Auckland",NA,NA,NA,190,102,"Number 8; 3rd Row",NA,"New Zealand"
"Q207709","Roland Garros","Roland Garros",NA,"6 de octubre de 1888","Saint-Denis","/wiki/Saint-Denis_(Reuni%C3%B3n)","5 de octubre de 1918","cerca de Vouziers",NA,NA,NA,NA,NA,NA
"Q209365","Richie Gray","Richie Gray","Richard James Gray","24 de agosto de 1989","Glasgow","/wiki/Glasgow",NA,NA,NA,206,126,"2nd Row",NA,"Scotland"
"Q221074","Bud Spencer","Bud Spencer",NA,"31 de octubre de 1929","Nápoles","/wiki/N%C3%A1poles","27 de junio de 2016","Roma","/wiki/Roma",192,125,NA,NA,NA
"Q276102","Jean de Villiers","Jean de Villiers",NA,"24 de febrero de 1981","Paarl","/wiki/Paarl",NA,NA,NA,190,103,"Centre",NA,"South Africa"
"Q281871","Tom Kiernan","Tom Kiernan","Thomas Joseph Kiernan","7 de enero de 1939","Cork","/wiki/Cork","4 de febrero de 2022",NA,NA,180,85,"Fullback",NA,"Ireland"
"Q284846","Schalk Willem Petrus Burger","Schalk Burger","Willem Petrus Schalk Burger Jr.","13 de abril de 1983","Puerto Elizabeth","/wiki/Puerto_Elizabeth",NA,NA,NA,193,114,"3rd Row",NA,"South Africa"
"Q285739","Valentin Ursache","Valentin Ursache",NA,"12 de agosto de 1985","Târgu Neamt","/wiki/T%C3%A2rgu_Neamt",NA,NA,NA,193,112,"2nd Row",NA,"Romania"
"Q286258","Yannick Jauzion","Yannick Jauzion",NA,"28 de julio de 1978","Castres","/wiki/Castres_(Tarn)",NA,NA,NA,193,107,"Centre",NA,"France"
"Q287936","Joe Launchbury","Joe Launchbury","Joseph Oliver Launchbury","12 de abril de 1991","Exeter","/wiki/Exeter",NA,NA,NA,198,118,"2nd Row",NA,"England"
"Q289223","Jerry Collins","Jerry Collins",NA,"4 de noviembre de 1980","Apia","/wiki/Apia","5 de junio de 2015","Béziers","/wiki/B%C3%A9ziers",191,108,"3rd Row; Number 8",NA,"Samoa"
"Q301081","Jamie Salmon","Jamie Salmon","James Lionel Broome Salmon","16 de octubre de 1959","Ciudad de Victoria","/wiki/Victoria_(Hong_Kong)",NA,NA,NA,183,88,"Centre",NA,"Hong Kong"
"Q302330","Aaron Mauger","Aaron Mauger","Aaron Joseph Douglas Mauger","29 de noviembre de 1980","Christchurch","/wiki/Christchurch",NA,NA,NA,183,93,"Centre",NA,"New Zealand"
"Q311569","Michael Hester","Michael Hester",NA,"2 de mayo de 1972","Sídney","/wiki/S%C3%ADdney",NA,NA,NA,181,NA,NA,NA,NA
"Q316676","Mariusz Pudzianowski","Mariusz Pudzianowski",NA,"7 de febrero de 1977","Biała Rawska","/w/index.php?title=Bia%C5%82a_Rawska&action=edit&redlink=1",NA,NA,NA,185,120,NA,NA,"Poland"
"Q317422","Eric Liddell","Eric Liddel","Eric Henry Liddell","16 de enero de 1902","Tianjin","/wiki/Tianjin","21 de febrero de 1945","Weixian","/w/index.php?title=Weixian&action=edit&redlink=1",NA,NA,NA,NA,"United Kingdom"
"Q318920","Jonny Wilkinson","Jonny Wilkinson","Jonathan Peter Wilkinson","25 de mayo de 1979","Hospital Frimley Park","/wiki/Hospital_Frimley_Park",NA,NA,NA,178,84,"Fly-Half",NA,"England"
"Q319318","William Webb Ellis","William Webb Ellis",NA,"24 de noviembre de 1806","Salford","/wiki/Salford","24 de febrero de 1872","Menton","/wiki/Menton",NA,NA,NA,NA,NA
"Q325033","Jannie du Plessis","Jannie du Plessis","Jan Nathaniël du Plessis","16 de noviembre de 1982","Bethlehem,",NA,NA,NA,NA,188,121,"Prop",NA,"South Africa"
"Q335197","Bryan Habana","Bryan Habana","Bryan Gary Habana","12 de junio de 1983","Benoni","/wiki/Benoni",NA,NA,NA,179,94,"Winger",NA,"South Africa"
"Q335238","Rahul Bose","রাহুল বসুराहुल वौसRahul Bose",NA,"27 de julio de 1967","Bangalore","/wiki/Bangalore",NA,NA,NA,NA,NA,"3rd Row",NA,NA
"Q338006","Jean-Baptiste Élissalde","Jean-Baptiste Élissalde",NA,"23 de noviembre de 1977","La Rochelle","/wiki/La_Rochelle",NA,NA,NA,172,73,"Scrum-Half",NA,"France"
"Q348867","Ian Kirkpatrick","Ian Kirkpatrick","Ian Andrew Kirkpatrick","24 de mayo de 1946","Gisborne","/wiki/Gisborne_(ciudad)",NA,NA,NA,190,100,"3rd Row",NA,"New Zealand"
"Q350686","Adam Rhys Jones","Adam Jones","Adam Rhys Jones","8 de marzo de 1981","Brecknockshire","/wiki/Brecknockshire",NA,NA,NA,183,120,"Prop",NA,"Wales"
"Q350967","Luke McAlister","Luke McAlister","Charles Luke McAlister","28 de agosto de 1983","Nueva Plymouth","/wiki/Nueva_Plymouth",NA,NA,NA,177,93,"Centre",NA,"New Zealand"
"Q360694","Charlie Hodgson","Charlie Hodgson",NA,"12 de noviembre de 1980","Halifax","/wiki/Halifax_(Yorkshire_del_Oeste)",NA,NA,NA,178,86,"Fly-Half",NA,"England"
"Q361732","Brian Ashton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q363717","Jonah Lomu","Jonah Lomu","Jonah Tali Lomu","12 de mayo de 1975","Auckland","/wiki/Auckland","18 de noviembre de 2015","Auckland","/wiki/Auckland",196,120,"Winger",NA,"New Zealand"
"Q364461","Josh Lewsey","Josh Lewsey","Owen Joshua Lewsey","30 de noviembre de 1976","Bromley","/wiki/Municipio_de_Bromley_(Londres)",NA,NA,NA,180,87,"Centre; Winger; Fullback",NA,"England"
"Q364694","Lote Tuqiri","Lote Tuqiri","Lote Daulako Tuqiri","23 de septiembre de 1979","Suva","/wiki/Suva",NA,NA,NA,191,102,"Winger; Centre",NA,"Fiji"
"Q364941","Matt Burke","Matt Burke","Matthew Coleman Burke","26 de marzo de 1973","Sídney","/wiki/S%C3%ADdney",NA,NA,NA,184,94,"Fullback",NA,"Australia"
"Q365731","Michael Lynagh","Michael Lynagh","Michael Patrick Lynagh","25 de octubre de 1963","Brisbane","/wiki/Brisbane",NA,NA,NA,178,80,"Fly-Half",NA,"Australia"
"Q365879","Brian Lima","Brian Lima","Brian Pala Lima","25 de enero de 1972","Apia","/wiki/Apia",NA,NA,NA,183,112,"Winger; Centre",NA,"Samoa"
"Q366237","Jeff Wilson","Jeff Wilson","Jeffrey William Wilson","24 de octubre de 1973","Invercargill","/wiki/Invercargill",NA,NA,NA,180,94,"Winger; Fullback",NA,"New Zealand"
"Q369619","Gavin Johnson","Gavin Johnson","Gavin Keith Johnson","17 de octubre de 1966","Provincia de Limpopo","/wiki/Provincia_de_Limpopo",NA,NA,NA,188,80,"Winger; Fullback",NA,"South Africa"
"Q370059","George Smith","George Smith","George Benjamin Smith","14 de julio de 1980","Sídney","/wiki/S%C3%ADdney",NA,NA,NA,180,100,"3rd Row",NA,"Australia"
"Q372453","Marcelo Loffreda","Marcelo Loffreda","Marcelo Hernán Loffreda","17 de mayo de 1959","Buenos Aires","/wiki/Buenos_Aires",NA,NA,NA,NA,NA,"Centre",NA,"Argentina"
"Q373771","Mark Ella","Mark Ella","Mark Gordon Ella","5 de junio de 1959","Sídney","/wiki/S%C3%ADdney",NA,NA,NA,178,83,"Fly-Half",NA,"Australia"
"Q376378","David Humphreys","David Humphreys","David George Humphreys","10 de septiembre de 1971","Belfast","/wiki/Belfast",NA,NA,NA,177,86,"Fly-Half",NA,"Ireland"
"Q376397","Japie Mulder","Japie Mulder","Jacobus Cornelius Mulder","18 de octubre de 1969","Provincia del Transvaal","/wiki/Provincia_del_Transvaal",NA,NA,NA,180,85,"Centre",NA,"South Africa"
"Q376430","Mike Blair","Mike Blair","Michael Robert Leighton Blair","20 de abril de 1981","Edimburgo","/wiki/Edimburgo",NA,NA,NA,175,85,"Scrum-Half",NA,"Scotland"
"Q377052","William Téchoueyres","William Téchoueyres",NA,"12 de febrero de 1966","Burdeos","/wiki/Burdeos",NA,NA,NA,183,88,"Winger",NA,"France"
"Q377476","Peter Winterbottom","Peter Winterbottom","Peter James Winterbottom","31 de mayo de 1960","Otley","/wiki/Otley",NA,NA,NA,183,94,"3rd Row",NA,"England"
"Q378444","Rod Kafer","Rod Kafer","Rodney Bruce Kafer","25 de junio de 1971","Newcastle","/wiki/Newcastle_(Australia)",NA,NA,NA,176,86,"Centre",NA,"Australia"
"Q380388","Frik du Preez","Frik du Preez","Frederick Christoffel Hendrik du Preez","28 de noviembre de 1935","Rustenburg","/wiki/Rustenburg",NA,NA,NA,189,105,"2nd Row",NA,"South Africa"
"Q381641","Girvan Dempsey","Girvan Dempsey","Girvan Thomas Dempsey","2 de octubre de 1975","Dublín","/wiki/Dubl%C3%ADn",NA,NA,NA,183,91,"Fullback",NA,"Ireland"
"Q383727","Giovanbattista Venditti","Giovanbattista Venditti",NA,"27 de marzo de 1990","Avezzano","/wiki/Avezzano",NA,NA,NA,187,111,"3rd Row; Centre",NA,"Italy"
"Q383886","Fourie du Preez","Fourie du Preez","Petrus Fourie du Preez","24 de marzo de 1982","Pretoria","/wiki/Pretoria",NA,NA,NA,182,91,"Scrum-Half",NA,"South Africa"
"Q387525","Wavell Wakefield, 1st Baron Wakefield of Kendal","Wavell Wakefield","William Wavell Wakefield","10 de marzo de 1898","Beckenham","/w/index.php?title=Beckenham&action=edit&redlink=1","12 de agosto de 1983","Kendal","/wiki/Kendal",186,90,"3rd Row",NA,"England"
"Q389714","Imanol Harinordoquy","Imanol Harinordoquy",NA,"20 de febrero de 1980","Bayona","/wiki/Bayona_(Francia)",NA,NA,NA,192,105,"Number 8; Flanker",NA,"France"
"Q399410","Agustín Pichot","Agustín Pichot",NA,"22 de agosto de 1974","Buenos Aires","/wiki/Buenos_Aires",NA,NA,NA,177,77,"Scrum-Half",NA,"Argentina"
"Q406616","Rabah Slimani","Rabah Slimani",NA,"18 de octubre de 1989","Sarcelles","/wiki/Sarcelles",NA,NA,NA,178,110,"Prop",NA,"France"
"Q425547","Gonzalo Longo","Gonzalo Longo","Gonzalo Matías Longo Elia","14 de marzo de 1974","Buenos Aires","/wiki/Buenos_Aires",NA,NA,NA,193,102,"Number 8",NA,"Argentina"
"Q427291","Gavin Hastings","Gavin Hastings",NA,"3 de enero de 1962","Edimburgo","/wiki/Edimburgo",NA,NA,NA,188,95,"Fullback",NA,"Scotland"
"Q429847","Mircea Paraschiv","Mircea Paraschiv",NA,"1 de julio de 1954","Bucarest","/wiki/Bucarest",NA,NA,NA,175,80,"Scrum-Half",NA,"Romania"
"Q430712","Charles William Miller","Charles William Miller",NA,"24 de noviembre de 1874","São Paulo","/wiki/S%C3%A3o_Paulo","30 de junio de 1953","São Paulo (Brasil)",NA,NA,NA,"Forward",NA,NA
"Q432098","Tom Richards","Tom Richards","Thomas James Richards","29 de abril de 1882","Nueva Gales del Sur","/wiki/Nueva_Gales_del_Sur","25 de septiembre de 1935","Brisbane","/wiki/Brisbane",183,83,"3rd Row",NA,"Australia"
"Q432329","Paul Sackey","Paul Sackey","Paul Henry Sackey","8 de septiembre de 1979","Lambeth","/wiki/Lambeth",NA,NA,NA,186,92,"Winger",NA,"England"
"Q433258","Ian McGeechan","Ian McGeechan","Ian Robert McGeechan","30 de octubre de 1946","Headingley","/wiki/Headingley",NA,NA,NA,179,82,"Fly-Half",NA,"England"
"Q433334","Phil Vickery","Phil Vickery","Philip John Vickery","14 de marzo de 1976","Barnstaple","/wiki/Barnstaple",NA,NA,NA,190,125,"Prop",NA,"United Kingdom"
"Q433539","Nick Easter","Nick Easter","Nicholas James Easter","15 de agosto de 1978","Epsom","/wiki/Epsom",NA,NA,NA,193,115,"Number 8",NA,"United Kingdom"
"Q433546","Steve Borthwick","Steve Borthwick","Stephen William Borthwick","12 de octubre de 1979","Carlisle","/wiki/Carlisle",NA,NA,NA,198,111,"2nd Row",NA,"England"
"Q433551","Lewis Moody","Lewis Moody","Lewis Walton Moody","12 de junio de 1978","Ascot","/wiki/Ascot",NA,NA,NA,191,102,"3rd Row",NA," England"
"Q433555","Danny Care","Danny Care","Daniel Stuart Care","2 de enero de 1987","Leeds","/wiki/Leeds",NA,NA,NA,177,87,"Scrum-Half",NA,"England"
"Q433780","Mathew Tait","Mathew Tait","Mathew James Murray Tait","6 de febrero de 1986","Consett","/w/index.php?title=Consett&action=edit&redlink=1",NA,NA,NA,183,90,"Centre",NA,"England"
"Q433791","Mark Cueto","Mark Cueto","Mark John Cueto","26 de diciembre de 1979","Allerdale","/wiki/Allerdale",NA,NA,NA,183,95,"Fullback; Winger",NA,"England"
"Q439025","Donncha O'Callaghan","Donncha O'Callaghan","Donnchadh O'Callaghan","24 de marzo de 1979","Cork","/wiki/Cork",NA,NA,NA,198,114,"2nd Row",NA,"Ireland"
"Q439402","Tommy Bowe","Tommy Bowe","Thomas John Bowe","22 de febrero de 1984","Emyvale","/wiki/Emyvale",NA,NA,NA,191,102,"3rd Row; Centre",NA,"Ireland"
"Q439453","Keith Earls","Keith Earls","Keith Gerard Earls","2 de octubre de 1987","Moyross","/w/index.php?title=Moyross&action=edit&redlink=1",NA,NA,NA,180,90,"Centre; 3rd Row",NA,"Ireland"
"Q439867","Mark Regan","Mark Regan","Mark Peter Regan","28 de enero de 1972","Bristol","/wiki/Bristol",NA,NA,NA,177,100,"Hooker",NA,"United Kingdom"
"Q439880","Joe Worsley","Joe Worsley","Joseph Paul Richard Worsley","14 de junio de 1977","Londres","/wiki/Londres",NA,NA,NA,195,110,"3rd Row",NA,"United Kingdom"
"Q440131","Jamie Heaslip","Jamie Heaslip","James Peter Richard Heaslip","15 de diciembre de 1983","Tiberíades","/wiki/Tiber%C3%ADades",NA,NA,NA,192,110,"Number 8",NA,"Israel"
"Q441286","Tom Croft","Tom Croft","Thomas Richard Croft","7 de noviembre de 1985","Basingstoke","/wiki/Basingstoke",NA,NA,NA,198,110,"3rd Row",NA,"England"
"Q441972","Tendai Mtawarira","Tendai Mtawarira","Tendai Nihal Mtawarira","1 de agosto de 1985","Harare","/wiki/Harare",NA,NA,NA,185,116,"Prop",NA,"Zimbabwe"
"Q446789","Dai Young","Dai Young","David Young","26 de julio de 1967","Aberdare","/wiki/Aberdare",NA,NA,NA,188,115,"Prop",NA,"Wales"
"Q447937","Jack Kyle","Jack Kyle","John Wilson Kyle","10 de febrero de 1926","Belfast","/wiki/Belfast","27 de noviembre de 2014","Bryansford","/wiki/Bryansford",NA,NA,"Fly-Half",NA,"Ireland"
"Q447961","Alun Wyn Jones","Alun Wyn Jones",NA,"19 de septiembre de 1985","Swansea","/wiki/Swansea",NA,NA,NA,196,118,"2nd Row",NA,"Wales"
"Q448009","Jim Telfer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q448172","Syd Millar","Syd Millar","John Sydney Millar","23 de mayo de 1934","Ballymena","/wiki/Ballymena","10 de diciembre de 2023",NA,NA,183,100,"Prop",NA,"United Kingdom"
"Q448182","Jeremy Guscott","Jeremy Guscott","Jeremy Clayton Guscott","7 de julio de 1965","Bath","/wiki/Bath",NA,NA,NA,185,90,"Centre",NA,"England"
"Q448312","Willie John McBride","Willie McBride","Willie James McBride","6 de junio de 1940","Distrito de Antrim,",NA,NA,NA,NA,192,102,"2nd Row",NA,"Ireland"
"Q448441","Tony O'Reilly","Tony O'Reilly","Anthony Joseph Francis O'Reilly","7 de mayo de 1936","Dublín","/wiki/Dubl%C3%ADn","18 de mayo de 2024","Dublín","/wiki/Dubl%C3%ADn",188,90,"Centre",NA,"Ireland"
"Q448825","Will Greenwood","Will Greenwood","William John Heaton Greenwood","20 de octubre de 1972","Blackburn","/wiki/Blackburn",NA,NA,NA,193,100,"Centre",NA,"England"
"Q449012","Jamie Roberts","Jamie Roberts",NA,"8 de noviembre de 1986","Newport","/wiki/Newport",NA,NA,NA,193,110,"Centre; 3rd Row",NA,"United Kingdom"
"Q452051","Graham Mourie","Graham Mourie","Graham Neil Kenneth Mourie","8 de septiembre de 1952","Ōpunake","/w/index.php?title=%C5%8Cpunake&action=edit&redlink=1",NA,NA,NA,183,90,"3rd Row",NA,"New Zealand"
"Q452373","Sid Going","Sid Going","Sir Sidney Milton Going","19 de agosto de 1943","Kawakawa","/wiki/Kawakawa","17 de mayo de 2024","Maromaku (",NA,178,81,"Half-Back",NA,"New Zealand"
"Q452384","Julien Dupuy","Julien Dupuy",NA,"19 de diciembre de 1983","Périgueux","/wiki/P%C3%A9rigueux",NA,NA,NA,178,80,"Scrum-Half",NA,"France"
"Q453066","Władysław Komar","Władysław Komar",NA,"11 de abril de 1940","Kaunas","/wiki/Kaunas","17 de agosto de 1998","Przybiernów (",NA,NA,NA,NA,NA,"Poland"
"Q454123","Rob Kearney","Rob Kearney","Robert Kearney","26 de marzo de 1986","Dundalk","/wiki/Dundalk",NA,NA,NA,185,95,"Fullback",NA,"Ireland"
"Q455124","Wilson Whineray","Wilson Whineray","Wilson James Whineray","10 de julio de 1935","Auckland","/wiki/Auckland","22 de octubre de 2012","Auckland","/wiki/Auckland",183,94,"Prop",NA,"New Zealand"
"Q460627","Sam Warburton","Sam Warburton","Sam Kennedy Warburton","5 de octubre de 1988","Cardiff","/wiki/Cardiff",NA,NA,NA,188,106,"Flanker",NA,"Wales"
"Q460637","Jonathan Davies","Jonathan Davies","Jonathan James Vaughan Davies","5 de abril de 1988","Solihull","/wiki/Solihull",NA,NA,NA,185,104,"Centre",NA,"England"
"Q461349","Oscar Kreuzer","Oscar Kreuzer",NA,"14 de junio de 1887","Fráncfort del Meno","/wiki/Fr%C3%A1ncfort_del_Meno","3 de mayo de 1968","Wiesbaden","/wiki/Wiesbaden",NA,NA,"Fly-Half",NA,NA
"Q463531","Jean-Baptiste Charcot","Jean-Baptiste Charcot",NA,"15 de julio de 1867","Neuilly-sur-Seine","/wiki/Neuilly-sur-Seine","16 de septiembre de 1936","Islandia","/wiki/Islandia",NA,NA,"Prop",NA,NA
"Q465470","Sébastien Chabal","Sébastien Chabal",NA,"8 de diciembre de 1977","Valence","/wiki/Valence_(Dr%C3%B4me)",NA,NA,NA,191,113,"Flanker; Number 8; 2nd Row",NA,"France"
"Q469706","Percy Montgomery","Percy Montgomery","Percival Colin Montgomery","15 de marzo de 1974","Walvis Bay","/wiki/Walvis_Bay",NA,NA,NA,185,93,"Fullback",NA,"Namibia"
"Q474788","Matthew Rees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q475438","Vincent Clerc","Vincent Clerc",NA,"7 de mayo de 1981","Échirolles","/wiki/%C3%89chirolles",NA,NA,NA,178,88,"Winger",NA,"France"
"Q496505","Heyneke Meyer","Heyneke Meyer",NA,"6 de octubre de 1967","Nelspruit","/wiki/Nelspruit",NA,NA,NA,185,85,NA,NA,"South Africa"
"Q503407","James Haskell","James Haskell","James Andrew Welbon Haskell","2 de abril de 1985","Windsor","/wiki/Windsor_(Berkshire)",NA,NA,NA,194,113,"Number 8",NA,"England"
"Q504581","Andrew Ellis","Andy Ellis","Andrew Michael Ellis","21 de febrero de 1984","Christchurch","/wiki/Christchurch",NA,NA,NA,176,89,"Scrum-Half",NA,"New Zealand"
"Q506299","Andrew Mehrtens","Andrew Mehrtens","Andrew Philip Mehrtens","28 de abril de 1973","Durban","/wiki/Durban",NA,NA,NA,178,88,"Fly-Half",NA,"South Africa"
"Q506434","Luke Fitzgerald","Luke Fitzgerald","Luke Matthew Fitzgerald","13 de septiembre de 1987","Wicklow","/wiki/Wicklow",NA,NA,NA,186,92,"3rd Row; Centre",NA,"Ireland"
"Q506917","Marcos Ayerza","Marcos Ayerza","Marcos Iván Ayerza","12 de enero de 1983","Buenos Aires","/wiki/Buenos_Aires",NA,NA,NA,185,110,"Prop",NA,"Argentina"
"Q508105","Andrew Trimble","Andrew Trimble","Andrew David Trimble","20 de octubre de 1984","Coleraine","/wiki/Coleraine",NA,NA,NA,186,99,"Winger",NA,"Ireland"
"Q512413","J. J. Williams","J. J. Williams","John James Williams","1 de abril de 1948","Maesteg","/wiki/Maesteg","29 de octubre de 2020",NA,NA,175,80,"Winger",NA,"Wales"
"Q513201","Ken Jones","Ken Jones",NA,"30 de diciembre de 1921","Blaenavon","/wiki/Blaenavon","18 de abril de 2006","Newport","/wiki/Newport",NA,NA,NA,NA,"United Kingdom"
"Q515485","Ricky Januarie","Ricky Januarie","Enrico Ricardo Januarie","2 de enero de 1982","West Coast","/wiki/Distrito_Municipal_de_West_Coast",NA,NA,NA,168,83,"Scrum-Half",NA,"South Africa"
"Q517812","Craig Green","Craig Green","Craig Iván Green","23 de marzo de 1961","Christchurch","/wiki/Christchurch",NA,NA,NA,178,80,"Winger",NA,"New Zealand"
