name,dob,pob,position
Ian Madigan,1989-03-21,"dublin,ireland",centre
Ian Madigan,1989-03-21,"dublin,ireland",fullback
Stephen Archer,1988-01-29,"cork, ireland",prop
Paul Marshall,1985-07-26,"belfast,northern ireland",scrum-half
Robbie Henshaw,1993-06-12,"athlone, ireland",centre
Stuart Olding,1993-03-11,"belfast,northern ireland",centre/flyhalf
Tommy O'Donnell,1987-06-21,"cahir,ireland",flanker
Jamie Hagan,1987-04-15,"dublin,ireland",tighthead prop
Mike Sherry,1988-06-18,"limerick,ireland",hooker
James Downey,1981-03-23,"dublin,ireland",centre
Jack McGrath,1989-10-11,"dublin,ireland",loosehead prop
Dave Kearney,1989-06-19,"dundalk,ireland",wing
Martin Moore,1991-03-01,"dublin,ireland",prop
Jordi Murphy,1991-04-22,"barcelona,spain",flanker/number 8
Robbie Diack,1985-11-12,"johannesburg,south africa",number 8
Robbie Diack,1985-11-12,"johannesburg,south africa",flanker
Kieran Marmion,1992-02-11,"barking, england",scrum-half
Rodney Ah You,1988-10-27,"wellington,new zealand",prop
James Cronin,1990-11-23,"ballincollig,cork,ireland",prop
Noel Reid,1990-05-22,"dublin,ireland",centre
Noel Reid,1990-05-22,"dublin,ireland",fly-half
Rob Herring,1990-04-27,"cape town, south africa",hooker
Jared Payne,1985-10-13,"tauranga,new zealand",centre/fullback
Dave Foley,1988-05-16,"clonmel,ireland",lock
Dominic Ryan,1990-03-28,"dublin,ireland",flanker
Robin Copeland,1987-10-23,"wexford,ireland",number 8
Robin Copeland,1987-10-23,"wexford,ireland",flanker
Robin Copeland,1987-10-23,"wexford,ireland",lock
Jack Conan,1992-07-29,"bray, ireland",number 8
Nathan White,1981-09-04,"hāwera,new zealand",prop
Tadhg Furlong,1992-11-14,"wexford, ireland",prop
CJ Stander,1990-04-05,"george, south africa",number 8
CJ Stander,1990-04-05,"george, south africa",flanker
Stuart McCloskey,1992-08-06,"bangor, northern ireland",centre
Josh van der Flier,1993-04-25,"wicklow, ireland",flanker
Josh van der Flier,1993-04-25,"wicklow, ireland",hooker
Ultan Dillane,1993-11-09,"paris,france",lock
Ultan Dillane,1993-11-09,"paris,france",flanker
Finlay Bealham,1991-10-09,"canberra,australian capital territory, australia",prop
Quinn Roux,1990-10-30,"pretoria, south africa",lock
Sean Reidy,1989-05-10,"auckland,new zealand",flanker
Tiernan O'Halloran,1991-02-26,"clifden,county galway, ireland",fullback
Matt Healy,1989-03-14,"dublin,ireland",wing
Joey Carbery,1995-11-01,"auckland, new zealand",fly-half
Joey Carbery,1995-11-01,"auckland, new zealand",fullback
Garry Ringrose,1995-01-26,"dublin, ireland",centre
Billy Holland,1985-08-03,"cork,ireland",lock
Billy Holland,1985-08-03,"cork,ireland",flanker
Jack O'Donoghue,1994-02-08,"waterford, ireland",number 8
Jack O'Donoghue,1994-02-08,"waterford, ireland",flanker
John Ryan,1988-08-02,"berrings, ireland",prop
James Tracy,1991-04-02,"kill, county kildare,ireland",hooker
Niyi Adeolokun,1990-11-03,"ibadan,nigeria",wing
Luke McGrath,1993-02-03,"hamilton, ontario, canada",scrum-half
Dan Leavy,1994-05-23,"dublin,ireland",flanker
Niall Scannell,1992-04-08,"cork, ireland",hooker
Andrew Conway,1991-07-11,"dublin, ireland",wing
Andrew Conway,1991-07-11,"dublin, ireland",fullback
Jacob Stockdale,1996-04-03,"newtownstewart, northern ireland",wing
Jacob Stockdale,1996-04-03,"newtownstewart, northern ireland",centre
Jacob Stockdale,1996-04-03,"newtownstewart, northern ireland",fullback
Rory Scannell,1993-12-22,"cork, ireland",centre
Rory Scannell,1993-12-22,"cork, ireland",fly-half
Rory Scannell,1993-12-22,"cork, ireland",fullback
Dave Heffernan,1991-01-31,"ballina, county mayo,ireland",hooker
Andrew Porter,1996-01-16,"dublin, ireland",prop
James Ryan,1996-07-24,"blackrock, ireland",lock
Kieran Treadwell,1995-11-06,"carshalton, england",lock
Rory O'Loughlin,1994-01-21,"dublin,ireland",wing
Rory O'Loughlin,1994-01-21,"dublin,ireland",centre
John Cooney,1990-05-01,"dublin, ireland",scrum-half
Bundee Aki,1990-04-07,"auckland, new zealand",centre
Darren Sweetnam,1993-05-05,"dunmanway,cork,ireland",wing
Darren Sweetnam,1993-05-05,"dunmanway,cork,ireland",fullback
Chris Farrell,1993-03-16,"fivemiletown, northern ireland",centre
Adam Byrne,1994-04-10,"kill, county kildare,ireland",wing
Adam Byrne,1994-04-10,"kill, county kildare,ireland",fullback
Jordan Larmour,1997-06-10,"dublin, ireland",wing
Jordan Larmour,1997-06-10,"dublin, ireland",fullback
Tadhg Beirne,1992-01-08,"eadestown, ireland",lock
Tadhg Beirne,1992-01-08,"eadestown, ireland",flanker
Ross Byrne,1995-04-08,"dublin, ireland",fly-half
Will Addison,1992-08-20,"penrith, cumbria,england",centre
Will Addison,1992-08-20,"penrith, cumbria,england",wing
Will Addison,1992-08-20,"penrith, cumbria,england",full-back
Sammy Arnold,1996-04-08,"surrey,england",centre
Jack Carty,1992-08-31,"athlone,ireland",fly-half
Jean Kleyn,1993-08-26,"johannesburg, south africa",lock
Mike Haley,1994-06-28,"preston, england",fullback
Caelan Doris,1998-04-02,"ballina, ireland",number 8
Caelan Doris,1998-04-02,"ballina, ireland",flanker
Rónan Kelleher,1998-01-24,"dublin, ireland",hooker
Max Deegan,1996-10-01,"dublin,ireland",number 8
Max Deegan,1996-10-01,"dublin,ireland",flanker
Hugo Keenan,1996-06-18,"dublin, ireland",fullback
Hugo Keenan,1996-06-18,"dublin, ireland",wing
Will Connors,1996-04-04,"donadea,kildare,ireland",back-row
Ed Byrne,1993-09-09,"carlow,ireland",prop
Jamison Gibson-Park,1992-02-23,"great barrier island, new zealand",scrum-half
James Lowe,1992-07-08,"nelson,new zealand",wing
James Lowe,1992-07-08,"nelson,new zealand",fullback
Billy Burns,1994-06-13,"bath, somerset,england",fly-half
Billy Burns,1994-06-13,"bath, somerset,england",fullback
Shane Daly,1996-12-19,"cork, ireland",centre
Shane Daly,1996-12-19,"cork, ireland",fullback
Shane Daly,1996-12-19,"cork, ireland",wing
Eric O'Sullivan,1995-11-30,"dublin,ireland",prop
Ryan Baird,1999-07-26,"dublin, ireland",lock
Ryan Baird,1999-07-26,"dublin, ireland",flanker
Craig Casey,1999-04-19,"limerick, ireland",scrum-half
Gavin Coombes,1997-12-11,"skibbereen, ireland",number 8
Gavin Coombes,1997-12-11,"skibbereen, ireland",flanker
Gavin Coombes,1997-12-11,"skibbereen, ireland",lock
Robert Baloucoune,1997-08-19,"enniskillen,northern ireland",wing
Robert Baloucoune,1997-08-19,"enniskillen,northern ireland",fullback
James Hume,1998-09-07,"belfast,northern ireland",centre
Tom O'Toole,1998-09-23,"drogheda, ireland",prop
Nick Timoney,1995-08-01,"dublin,ireland",flanker
Paul Boyle,1997-01-14,"dublin,ireland",back-row
Harry Byrne,1999-04-22,"dublin,ireland",fly-half
Fineen Wycherley,1997-12-11,"bantry, ireland",lock
Fineen Wycherley,1997-12-11,"bantry, ireland",flanker
Caolin Blade,1994-04-29,"galway, ireland",scrum-half
Dan Sheehan,1998-09-17,"dublin, ireland",hooker
Mack Hansen,1998-03-27,"canberra,australian capital territory, australia",wing
Mack Hansen,1998-03-27,"canberra,australian capital territory, australia",fullback
Michael Lowry,1998-08-20,"belfast,northern ireland",fullback
Michael Lowry,1998-08-20,"belfast,northern ireland",fly-half
Jimmy O'Brien,1996-11-27,"eadestown, ireland",fullback
Jimmy O'Brien,1996-11-27,"eadestown, ireland",wing
Jeremy Loughman,1995-07-22,"reno, united states",prop
Jack Crowley,2000-01-13,"innishannon, ireland",fly-half
Jack Crowley,2000-01-13,"innishannon, ireland",centre
Jack Crowley,2000-01-13,"innishannon, ireland",fullback
Cian Prendergast,2000-02-23,"kildare, ireland",flanker
Cian Prendergast,2000-02-23,"kildare, ireland",lock
Joe McCarthy,2001-03-26,"manhattan,new york, u.s.",lock
John Birch,,,hooker
Leo Galvin,,,lock
Emmet O'Rafferty,,,lock
Rab Brady,,,scrum-half
Paul Clinch,1961-03-25,"aldershot, england",centre
Ciarán Frawley,1997-12-04,"sydney,new south wales, australia",centre
Ciarán Frawley,1997-12-04,"sydney,new south wales, australia",fly-half
Ciarán Frawley,1997-12-04,"sydney,new south wales, australia",fullback
Tom Stewart,2001-01-11,"belfast, northern ireland",hooker
Calvin Nash,1997-08-08,"limerick, ireland",wing
Calvin Nash,1997-08-08,"limerick, ireland",centre
Oli Jager,1995-07-05,"london, england",prop
Peter Russell,1962-02-22,"belfast, northern ireland",fly-half
Gary Halpin,1966-02-14,"dublin, ireland",prop
Alain Rolland,1966-08-22,"dublin, ireland",scrum half
Paddy Johns,1968-02-19,"portadown,county armagh,northern ireland",lock
Philip Lawlor,1965-07-02,"co. kildare, ireland",no. 8
Simon Geoghegan,1968-09-01,"knebworth,hertfordshire",wing
Brian Rigney,1963-09-22,"portlaoise,county laois, ireland",lock
Mick Galwey,1966-10-08,"currow,county kerry,ireland",lock
Jim Staples,1965-10-20,"bermondsey,southwark,united kingdom",fullback
David Curtis,1965-04-10,"salisbury,southern rhodesia",centre
Richard Wallace,1968-01-16,"cork, ireland",wing
Nicky Barry,1969-01-05,"limerick, ireland",fly-half
Mick Fitzgibbon,1965-04-02,"askeaton, county limerick, ireland",flanker
Derek McAleese,1964-09-14,"limavady, northern ireland",fly-half
Paul Hogan,1968-06-29,"limerick, ireland",flanker
Ronald Carey,1965-08-06,"dungannon, northern ireland",wing
Neville Furlong,1968-07-18,"waterford, ireland",wing
Paul McCarthy,1963-08-27,"cork,ireland",prop
Kelvin Leahy,1965-09-01,"cork, ireland",flanker
Mark McCall,1967-11-29,"bangor, northern ireland",inside centre
Paddy Kenny,1960-04-28,philippines,flanker
John N. Murphy,1963-02-08,"dublin, ireland",hooker
Colin Wilkinson,1961-04-04,"belfast, northern ireland",fullback
Niall Malone,1971-04-30,"leeds,england",fullback
Niall Malone,1971-04-30,"leeds,england",centre
Niall Malone,1971-04-30,"leeds,england",fly-half
Richard Costello,1964-03-08,"limerick, ireland",lock
Ciaran Clarke,1969-03-08,"dublin, ireland",fullback
Peter Clohessy,1966-03-22,"limerick,ireland",prop
Brian Glennon,1967-04-17,,centre
Eric Elwood,1969-02-26,"galway, ireland",fly-half
Conor O'Shea,1970-10-21,"limerick,republic of ireland",fullback
Ken O'Connell,1968-07-25,"cork, ireland",flanker
Niall Woods,1971-06-21,,wing
Keith Wood,1972-01-27,"killaloe, county clare, ireland",hooker
Alan McGowan,1972-01-02,"dublin,ireland",fly-half
Paul Burke,1973-05-01,"paddington, london,england",director of rugby
Niall Hogan,1971-04-20,,scrum-half
Anthony Foley,1973-10-30,"limerick,ireland",number 8
Anthony Foley,1973-10-30,"limerick,ireland",flanker
Ben Cronin,1968-07-13,,back-row
Eddie Halvey,1970-08-11,"limerick,ireland",flanker
Darragh O'Mahony,1972-08-18,"cork,ireland",wing
David O'Mahony,1970-08-18,"derry,northern ireland",scrum-half
Paul Wallace,1971-12-30,"cork,ireland",prop
Chris Saverimutto,1971-08-08,"wallasey, england",scrum-half
Jeremy Davidson,1974-04-28,"belfast, northern ireland",lock
Allen Clarke,1967-07-29,"dungannon,northern ireland",hooker
Victor Costello,1970-10-23,,number 8
Victor Costello,1970-10-23,,blindside flanker
David Humphreys,1971-09-10,"belfast,northern ireland",fly-half
Simon Mason,1973-10-22,"wirral, england",fullback
Rob Henderson,1972-10-27,"dover,england",centre
James Topping,1974-12-18,,wing
Dominic Crotty,1974-07-26,"cork,ireland",fullback
Dominic Crotty,1974-07-26,"cork,ireland",wing
Eric Miller,1975-09-23,"dublin,ireland",number 8
Denis Hickie,1976-02-13,"dublin,ireland",wing
Brian O'Meara,1976-04-05,"cork,ireland",scrum-half
Paul Flavin,1972-04-04,"dublin, ireland",prop
Kevin Nowlan,1971-06-26,"dublin, ireland",fullback
John McWeeney,1976-05-26,"dublin, ireland",wing
Conor McGuinness,1975-03-29,"dublin, ireland",scrum-half
Malcolm O'Kelly,1974-07-19,"chelmsford,essex,england",lock
Kieron Dawson,1975-01-29,"bangor,northern ireland",flanker
David Erskine,,"waltham forest, london, england",flanker
David Erskine,,"waltham forest, london, england",lock
Kevin Maggs,1974-06-03,"bristol, england",centre
Reggie Corrigan,,"dublin,ireland",prop
Andy Ward,1970-09-08,"whangārei, new zealand",flanker
Justin Bishop,1974-11-08,"crawley,west sussex,england",wing
Justin Bishop,1974-11-08,"crawley,west sussex,england",fullback
Justin Fitzpatrick,1973-11-21,"chichester,west sussex",loosehead prop
Dion O'Cuinneagain,1972-05-24,"cape town, south africa",number 8
Dion O'Cuinneagain,1972-05-24,"cape town, south africa",flanker
Trevor Brennan,1973-09-22,"leixlip,ireland",second roworflanker
Girvan Dempsey,1975-10-02,"dublin,ireland",fullback
Brian O'Driscoll,1979-01-21,"dublin, ireland",outside centre
Matt Mostyn,1974-09-10,"sydney,nsw,australia",full-back/wing
Gordon D'Arcy,1980-02-10,"ferns, county wexford,ireland",inside centre
Alan Quinlan,1974-07-13,"tipperary,ireland",back-row
Bob Casey,1978-07-18,"maynooth,republic of ireland",lock
Shane Horgan,1978-07-18,"bellewstown, county meath, ireland",wing
Shane Horgan,1978-07-18,"bellewstown, county meath, ireland",centre
Ronan O'Gara,1977-03-07,"san diego,california, u.s.",fly-half
Peter Stringer,1977-12-13,"cork,ireland",scrum-half
Simon Easterby,1975-07-21,"harrogate, yorkshire, england",flanker
John Hayes,1973-11-02,"dromsally,county limerick, ireland",prop
Geordan Murphy,1978-04-19,"dublin, ireland",fullback
Geordan Murphy,1978-04-19,"dublin, ireland",wing
Guy Easterby,1971-03-21,"tadcaster,west riding of yorkshire",scrum-half
Frankie Sheahan,1976-08-27,"toronto,canada",hooker
David Wallace,1976-07-08,"limerick,ireland",flanker
Marcus Horan,1977-09-07,"clonlara,ireland",prop
Tyrone Howe,1971-04-02,"newtownards,northern ireland",wing
Gary Longwell,1971-07-30,"belfast,northern ireland",lock
Emmet Byrne,1973-04-04,"dublin, ireland",prop
Shane Byrne,1971-07-18,"aughrim, county wicklow",hooker
Mick O'Driscoll,1978-10-08,"cork,ireland",lock
Jeremy Staunton,1980-05-07,"limerick,ireland",fly-halffullback
Paul O'Connell,1979-10-20,"limerick,ireland",lock
Keith Gleeson,1976-06-17,"dublin,ireland",flanker
John Kelly,1974-04-18,"dublin, republic of ireland",wing
John Kelly,1974-04-18,"dublin, republic of ireland",centre
Leo Cullen,1978-01-09,"wicklow,ireland",lock
Leo Cullen,1978-01-09,"wicklow,ireland",head coach
Donncha O'Callaghan,1979-03-24,"cork, ireland",lock
Simon Best,1978-02-11,"craigavon,northern ireland",prop
Anthony Horgan,1976-11-15,"cork,ireland",wing
Aidan McCullen,1977-01-05,"dublin,ireland",back row
Paul Shields,1978-09-25,"belfast,northern ireland",hooker
Gavin Duffy,1981-09-18,"ballina,ireland",fullback
Johnny O'Connor,1980-02-09,"galway, ireland",flanker
Denis Leamy,1981-11-27,"cashel,ireland",flanker
Denis Leamy,1981-11-27,"cashel,ireland",number 8
Denis Leamy,1981-11-27,"cashel,ireland",centre
Tommy Bowe,1984-02-22,"emyvale,monaghan,ireland",wing
Tommy Bowe,1984-02-22,"emyvale,monaghan,ireland",centre
Matt McCullough,1981-09-09,,lock
Matt McCullough,1981-09-09,,flanker
Roger Wilson,1981-09-21,"belfast, northern ireland",number 8
Bernard Jackman,1976-05-05,"tullow,republic of ireland",hooker
David Quinlan,1978-01-04,"dublin,ireland",inside centre
Trevor Hogan,1979-11-19,"nenagh, ireland",lock
Kieran Campbell,1979-07-06,"hillingdon,london,england",ealing 1st xv coach
Kieran Lewis,1980-08-19,,centre
Kieran Lewis,1980-08-19,,wing
Rory Best,1982-08-15,"craigavon,northern ireland",hooker
Neil Best,1979-04-03,"belfast,northern ireland",flanker
Andrew Trimble,1984-10-20,"coleraine,northern ireland",wing
Andrew Trimble,1984-10-20,"coleraine,northern ireland",centre
Jerry Flannery,1978-10-17,"galway,ireland",hooker
Eoin Reddan,1980-11-20,"limerick,ireland",scrum-half
Bryan Young,1981-06-11,"belfast,northern ireland",prop
Isaac Boss,1980-04-09,"tokoroa,new zealand[1]",scrum-half
Isaac Boss,1980-04-09,"tokoroa,new zealand[1]",fullback
Paddy Wallace,1979-08-27,"dundonald,northern ireland",centre
Paddy Wallace,1979-08-27,"dundonald,northern ireland",fly-half
Paddy Wallace,1979-08-27,"dundonald,northern ireland",fullback
Luke Fitzgerald,1987-09-13,"county wicklow,ireland",wing
Luke Fitzgerald,1987-09-13,"county wicklow,ireland",centre
Luke Fitzgerald,1987-09-13,"county wicklow,ireland",fullback
Jamie Heaslip,1983-12-15,"tiberias, israel",number 8
