"origWdId","origName","wiki_name","wpPage","stintType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q27663354","Iain Kennedy","Iain Kennedy","Iain_Kennedy_(rugby_union)","amateur","2003-2005","glasgow hutchesons aloysians","Glasgow_Hutchesons_Aloysians_RFC",0,0,"2003","2005"
"Q27663354","Iain Kennedy","Iain Kennedy","Iain_Kennedy_(rugby_union)","amateur","2005-2006","glasgow hawks","Glasgow_Hawks_RFC",0,0,"2005","2006"
"Q27663354","Iain Kennedy","Iain Kennedy","Iain_Kennedy_(rugby_union)","amateur","2006-2006","glasgow hutchesons aloysians","Glasgow_Hutchesons_Aloysians_RFC",0,0,"2006","2006"
"Q27663354","Iain Kennedy","Iain Kennedy","Iain_Kennedy_(rugby_union)","senior_club","2005-2006","glasgow warriors","Glasgow_Warriors",1,0,"2005","2006"
"Q27663354","Iain Kennedy","Iain Kennedy","Iain_Kennedy_(rugby_union)","international","NA-NA","scotland u19","Scotland_national_under-19_rugby_union_team",0,0,NA,NA
"Q27663354","Iain Kennedy","Iain Kennedy","Iain_Kennedy_(rugby_union)","international","NA-NA","scotland u21","Scotland_national_under-21_rugby_union_team",0,0,NA,NA
"Q27663415","Steven Duffy","Steven Duffy","Steven_Duffy","amateur","NA-NA","glasgow hawks","Glasgow_Hawks_RFC",0,0,NA,NA
"Q27663415","Steven Duffy","Steven Duffy","Steven_Duffy","senior_club","2004-2006","glasgow warriors","Glasgow_Warriors",0,0,"2004","2006"
"Q27663415","Steven Duffy","Steven Duffy","Steven_Duffy","international","2006-2006","scotland club xv","Scotland_Club_XV",0,0,"2006","2006"
"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2011-2013","leicester tigers","Leicester_Tigers",0,0,"2011","2013"
"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2011-2011","→nottingham","Nottingham_R.F.C.",4,0,"2011","2011"
"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2011-2012","→loughborough students","Loughborough_Students_RUFC",1,0,"2011","2012"
"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2012-2013","→jersey","Jersey_Reds",9,5,"2012","2013"
"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2013-2016","bedford blues","Bedford_Blues",88,15,"2013","2016"
"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2016-2018","northampton saints","Northampton_Saints",21,5,"2016","2018"
"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2018-2019","bedford blues","Bedford_Blues",14,25,"2018","2019"
"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2019-","leicester tigers","Leicester_Tigers",119,85,"2019",NA
"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","senior_club","2016-2019","sale sharks","Sale_Sharks",29,35,"2016","2019"
"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","senior_club","2017-2017","→sale fc(loan)",NA,24,100,"2017","2017"
"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","senior_club","2017-2017","→rotherham(loan)",NA,1,0,"2017","2017"
"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","senior_club","2019-2022","wasps","Wasps_RFC",42,80,"2019","2022"
"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","senior_club","2022-2023","stade français","Stade_Fran%C3%A7ais",12,5,"2022","2023"
"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","senior_club","2023-","benetton","Benetton_Rugby",5,5,"2023",NA
"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","international","2015-2015","england u18","England_national_under-18_rugby_union_team",2,10,"2015","2015"
"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","international","2016-2017","england u20","England_national_under-20_rugby_union_team",5,0,"2016","2017"
"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","international","2023-","italy","Italy_national_rugby_union_team",6,10,"2023",NA
"Q27671047","Stephen Perofeta","Stephen Perofeta","Stephen_Perofeta","senior_club","2015-2015","whanganui","Whanganui",7,47,"2015","2015"
"Q27671047","Stephen Perofeta","Stephen Perofeta","Stephen_Perofeta","senior_club","2016-","taranaki","Taranaki_(National_Provincial_Championship)",65,342,"2016",NA
"Q27671047","Stephen Perofeta","Stephen Perofeta","Stephen_Perofeta","senior_club","2017-","blues","Blues_(Super_Rugby)",67,357,"2017",NA
"Q27671047","Stephen Perofeta","Stephen Perofeta","Stephen_Perofeta","international","2015-2015","heartland xv","New_Zealand_Heartland_XV",3,58,"2015","2015"
"Q27671047","Stephen Perofeta","Stephen Perofeta","Stephen_Perofeta","international","2016-2017","new zealand u20","New_Zealand_national_under-20_rugby_union_team",8,18,"2016","2017"
"Q27671047","Stephen Perofeta","Stephen Perofeta","Stephen_Perofeta","international","2022-","new zealand","New_Zealand_national_under-20_rugby_union_team",6,0,"2022",NA
"Q107501490","Dave Lindsay","Dave Lindsay","David_Lindsay_(rugby_union)","senior_club","1927-1930","otago","University_of_Otago",11,0,"1927","1930"
"Q107501490","Dave Lindsay","Dave Lindsay","David_Lindsay_(rugby_union)","international","1927-1927","new zealand universities",NA,0,0,"1927","1927"
"Q107501490","Dave Lindsay","Dave Lindsay","David_Lindsay_(rugby_union)","international","1928-1928","new zealand","New_Zealand_national_rugby_union_team",3,3,"1928","1928"
"Q27671164","Giorgi Koshadze","Giorgi Koshadze","Giorgi_Koshadze","senior_club","2015-","rustavi kharebi","RC_Rustavi_Kharebi",23,30,"2015",NA
"Q27671164","Giorgi Koshadze","Giorgi Koshadze","Giorgi_Koshadze","international","2014-2016","georgia u20","Georgia_national_under-20_rugby_union_team",11,5,"2014","2016"
"Q27671164","Giorgi Koshadze","Giorgi Koshadze","Giorgi_Koshadze","international","2016-","georgia","Georgia_(country)",11,22,"2016",NA
"Q27671295","John-Hubert Meyer","John-Hubert Meyer","John-Hubert_Meyer","amateur","2015-2015","maties","Stellenbosch_University",6,5,"2015","2015"
"Q27671295","John-Hubert Meyer","John-Hubert Meyer","John-Hubert_Meyer","amateur","2016-2016","ukzn impi","University_of_KwaZulu-Natal",5,5,"2016","2016"
"Q27671295","John-Hubert Meyer","John-Hubert Meyer","John-Hubert_Meyer","senior_club","2016-2019","sharks xv","Sharks_(Currie_Cup)",13,5,"2016","2019"
"Q27671295","John-Hubert Meyer","John-Hubert Meyer","John-Hubert_Meyer","senior_club","2016-2021","sharks (currie cup)","Sharks_(Currie_Cup)",27,10,"2016","2021"
"Q27671295","John-Hubert Meyer","John-Hubert Meyer","John-Hubert_Meyer","senior_club","2017-2021","sharks","Sharks_(Currie_Cup)",28,0,"2017","2021"
"Q27671295","John-Hubert Meyer","John-Hubert Meyer","John-Hubert_Meyer","senior_club","2021-","béziers","AS_B%C3%A9ziers_H%C3%A9rault",0,0,"2021",NA
"Q27671359","Jean Droste","Jean Droste","Jean_Droste","amateur","2016-2016","ukzn impi","University_of_KwaZulu-Natal",7,5,"2016","2016"
"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2015-2018","sharks xv","Sharks_(Currie_Cup)",14,0,"2015","2018"
"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2016-2017","sharks (currie cup)","Sharks_(Currie_Cup)",14,0,"2016","2017"
"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2017-2018","sharks","Sharks_(Currie_Cup)",3,0,"2017","2018"
"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2018-2019","kubota spears","Kubota_Spears_Funabashi_Tokyo_Bay",1,0,"2018","2019"
"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2019-2019","blue bulls xv","Blue_Bulls",2,0,"2019","2019"
"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2019-2019","blue bulls","Blue_Bulls",3,0,"2019","2019"
"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2020-2020","nec green rockets","Green_Rockets_Tokatsu",1,0,"2020","2020"
"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2021-2021","free state cheetahs","Free_State_Cheetahs",7,0,"2021","2021"
"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2022-2022","munakata sanix blues","Munakata_Sanix_Blues",6,5,"2022","2022"
"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2022-","cheetahs","Cheetahs_(rugby_union)",0,0,"2022",NA
"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2023-","free state cheetahs","Free_State_Cheetahs",0,0,"2023",NA
"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","amateur","2016-2016","ukzn impi","University_of_KwaZulu-Natal",6,15,"2016","2016"
"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","senior_club","2016-2017","sharks xv","Sharks_(Currie_Cup)",6,0,"2016","2017"
"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","senior_club","2017-2022","sharks","Sharks_(Currie_Cup)",49,50,"2017","2022"
"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","senior_club","2017-2022","sharks (currie cup)","Sharks_(Currie_Cup)",21,70,"2017","2022"
"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","senior_club","2022-2023","bulls","Bulls_(rugby_union)",5,10,"2022","2023"
"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","senior_club","2024-","cheetahs/free state cheetahs","Cheetahs_(rugby_union)",1,5,"2024",NA
"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","international","2016-2016","south africa under-20","South_Africa_national_under-20_rugby_union_team",3,0,"2016","2016"
"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","international","2018-2022","south africa","South_Africa",16,45,"2018","2022"
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","amateur","2016-2016","nwu pukke","North-West_University",9,34,"2016","2016"
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2016-2016","leopards","Leopards_(rugby_union)",10,32,"2016","2016"
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2017-2017","sharks xv","Sharks_(Currie_Cup)",7,19,"2017","2017"
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2017-2017","sharks","Sharks_(Currie_Cup)",3,2,"2017","2017"
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2017-2017","sharks (currie cup)","Sharks_(Currie_Cup)",5,2,"2017","2017"
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2017-2018","→southern kings","Southern_Kings",5,4,"2017","2018"
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2018-2018","free state xv","Free_State_Cheetahs",10,34,"2018","2018"
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2018-2020","free state cheetahs","Free_State_Cheetahs",10,27,"2018","2020"
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2018-2020","cheetahs","Free_State_Cheetahs",34,35,"2018","2020"
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2021-2021","nec green rockets","Green_Rockets_Tokatsu",1,5,"2021","2021"
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2021-2023","london irish","London_Irish",53,77,"2021","2023"
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2023-","bristol bears","Bristol_Bears",31,31,"2023",NA
"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","international","2016-2016","south africa under-20","South_Africa_national_under-20_rugby_union_team",1,0,"2016","2016"
"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","senior_club","2014-2014","wellington","Wellington_Rugby_Football_Union",1,0,"2014","2014"
"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","senior_club","2016-","north harbour","North_Harbour_Rugby_Union",41,15,"2016",NA
"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","senior_club","2017-2018","blues","Blues_(Super_Rugby)",19,5,"2017","2018"
"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","senior_club","2019-2019","glendale raptors","American_Raptors",7,0,"2019","2019"
"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","senior_club","2020-2021","hurricanes","Hurricanes_(rugby_union)",0,0,"2020","2021"
"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","senior_club","2021-","shimizu blue sharks","Shimizu_Koto_Blue_Sharks",0,0,"2021",NA
"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","international","2024-","samoa","Samoa_national_rugby_union_team",3,0,"2024",NA
"Q27733755","Mossy Lawler","Mossy Lawler","Mossy_Lawler","amateur","1998-2008","shannon","Shannon_RFC",0,0,"1998","2008"
"Q27733755","Mossy Lawler","Mossy Lawler","Mossy_Lawler","amateur","2009-2012","shannon","Shannon_RFC",0,0,"2009","2012"
"Q27733755","Mossy Lawler","Mossy Lawler","Mossy_Lawler","amateur","2012-2015","ul bohemians","UL_Bohemians_R.F.C.",0,0,"2012","2015"
"Q27733755","Mossy Lawler","Mossy Lawler","Mossy_Lawler","senior_club","2001-2008","munster","Munster_Rugby",67,94,"2001","2008"
"Q27733755","Mossy Lawler","Mossy Lawler","Mossy_Lawler","senior_club","2008-2008","london wasps","Wasps_RFC",3,0,"2008","2008"
"Q27734237","Rod Seib","Rod Seib","Rod_Seib","amateur","1996-2000","sunnybank","Sunnybank_Rugby",0,0,"1996","2000"
"Q27734237","Rod Seib","Rod Seib","Rod_Seib","amateur","2001-2011","aberdeen gsfp","Aberdeen_GSFP_RFC",0,0,"2001","2011"
"Q27734237","Rod Seib","Rod Seib","Rod_Seib","senior_club","2002-2004","glasgow warriors","Glasgow_Warriors",0,0,"2002","2004"
"Q27734237","Rod Seib","Rod Seib","Rod_Seib","senior_club","1999-2000","queensland","Queensland_Reds",3,0,"1999","2000"
"Q27734276","Gordon Sykes","Gordon Sykes","Gordon_Sykes","senior_club","2001-2004","glasgow warriors","Glasgow_Warriors",0,0,"2001","2004"
"Q27734980","Richard McKnight","Richard McKnight","Richard_McKnight","amateur","1998-1998","glasgow southern","Glasgow_Southern_RFC",0,0,"1998","1998"
"Q27734980","Richard McKnight","Richard McKnight","Richard_McKnight","amateur","1999-2008","glasgow hawks","Glasgow_Hawks_RFC",0,0,"1999","2008"
"Q27734980","Richard McKnight","Richard McKnight","Richard_McKnight","amateur","2008-2008","glasgow academicals","Glasgow_Academicals_RFC",0,0,"2008","2008"
"Q27734980","Richard McKnight","Richard McKnight","Richard_McKnight","senior_club","2003-2005","glasgow warriors","Glasgow_Warriors",0,0,"2003","2005"
"Q27735049","Simon Hammersley","Simon Hammersley","Simon_Hammersley","senior_club","2013-2019","newcastle falcons","Newcastle_Falcons",103,45,"2013","2019"
"Q27735049","Simon Hammersley","Simon Hammersley","Simon_Hammersley","senior_club","2019-2022","sale sharks","Sale_Sharks",59,55,"2019","2022"
"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","senior_club","2015-2016","waikato","University_of_Waikato",11,82,"2015","2016"
"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","senior_club","2017-2018","blues","Blues_(Super_Rugby)",2,0,"2017","2018"
"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","senior_club","2017-2022","auckland","Auckland",41,62,"2017","2022"
"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","senior_club","2022-2022","la giltinis","LA_Giltinis",13,15,"2022","2022"
"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","senior_club","2023-2023","new orleans gold","New_Orleans_Gold",10,16,"2023","2023"
"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","senior_club","2023-","northland","Northland_(National_Provincial_Championship)",12,20,"2023",NA
"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","international","2016-2016","new zealand u20","New_Zealand_national_under-20_rugby_union_team",1,0,"2016","2016"
"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","senior_club","2013-2017","north harbour","North_Harbour_(National_Provincial_Championship)",40,5,"2013","2017"
"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","senior_club","2017-2017","blues","Blues_(Super_Rugby)",0,0,"2017","2017"
"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","senior_club","2017-2018","stade français","Stade_Fran%C3%A7ais",5,0,"2017","2018"
"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","senior_club","2018-2020","dragons","Dragons_RFC",17,0,"2018","2020"
"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","senior_club","2020-2021","brive","CA_Brive",5,0,"2020","2021"
"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","senior_club","2021-","northampton saints","Northampton_Saints",0,0,"2021",NA
"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","international","2011-2011","new zealand schoolboys","New_Zealand_national_schoolboy_rugby_union_team",0,0,"2011","2011"
"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","international","2017-2017","samoa","Samoa_national_rugby_union_team",3,0,"2017","2017"
"Q27735073","Manasa Mataele","Manasa Mataele","Manasa_Mataele","senior_club","2016-2018","taranaki","Taranaki_Rugby_Football_Union",21,35,"2016","2018"
"Q27735073","Manasa Mataele","Manasa Mataele","Manasa_Mataele","senior_club","2017-2021","crusaders","Crusaders_(rugby_union)",32,85,"2017","2021"
"Q27735073","Manasa Mataele","Manasa Mataele","Manasa_Mataele","senior_club","2020-","canterbury","Canterbury_Rugby_Football_Union",27,60,"2020",NA
"Q27735073","Manasa Mataele","Manasa Mataele","Manasa_Mataele","senior_club","2022-2024","western force","Western_Force",24,40,"2022","2024"
"Q27735073","Manasa Mataele","Manasa Mataele","Manasa_Mataele","senior_club","2025-2025","chiefs","Chiefs_(Super_Rugby)",1,0,"2025","2025"
"Q27735073","Manasa Mataele","Manasa Mataele","Manasa_Mataele","international","2022-2022","fiji","Fiji_national_rugby_union_team",4,0,"2022","2022"
"Q27735074","Sefo Kautai","Sefo Kautai","Sefo_Kautai","senior_club","2016-","waikato","Waikato_(National_Provincial_Championship)",11,5,"2016",NA
"Q27735074","Sefo Kautai","Sefo Kautai","Sefo_Kautai","senior_club","2017-","chiefs","Chiefs_(Super_Rugby)",0,0,"2017",NA
"Q27735074","Sefo Kautai","Sefo Kautai","Sefo_Kautai","senior_club","2019-","kobelco steelers","Kobelco_Kobe_Steelers",0,0,"2019",NA
"Q27735074","Sefo Kautai","Sefo Kautai","Sefo_Kautai","international","2016-2016","new zealand under-20","New_Zealand_national_under-20_rugby_union_team",5,0,"2016","2016"
"Q27735078","Liam Polwart","Liam Polwart","Liam_Polwart","senior_club","2016-","bop","Bay_of_Plenty_(National_Provincial_Championship)",15,5,"2016",NA
"Q27735078","Liam Polwart","Liam Polwart","Liam_Polwart","senior_club","2017-","chiefs","Chiefs_(Super_Rugby)",22,10,"2017",NA
"Q27735078","Liam Polwart","Liam Polwart","Liam_Polwart","international","2015-2015","new zealand u20","New_Zealand_national_under-20_rugby_union_team",8,0,"2015","2015"
"Q27735078","Liam Polwart","Liam Polwart","Liam_Polwart","international","2017-2017","māori all blacks","M%C4%81ori_All_Blacks",2,0,"2017","2017"
"Q27735110","Finlay Christie","Finlay Christie","Finlay_Christie","senior_club","2016-","tasman","Tasman_(National_Provincial_Championship)",61,50,"2016",NA
"Q27735110","Finlay Christie","Finlay Christie","Finlay_Christie","senior_club","2017-2017","chiefs","Chiefs_(Super_Rugby)",9,0,"2017","2017"
"Q27735110","Finlay Christie","Finlay Christie","Finlay_Christie","senior_club","2018-2019","hurricanes","Hurricanes_(rugby_union)",14,5,"2018","2019"
"Q27735110","Finlay Christie","Finlay Christie","Finlay_Christie","senior_club","2020-","blues","Blues_(Super_Rugby)",64,80,"2020",NA
"Q27735110","Finlay Christie","Finlay Christie","Finlay_Christie","international","2021-2024","new zealand","New_Zealand_national_rugby_union_team",23,5,"2021","2024"
"Q27735110","Finlay Christie","Finlay Christie","Finlay_Christie","international","2024-","all blacks xv","All_Blacks_XV",2,5,"2024",NA
"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","senior_club","2015-2015","counties manukau","Counties_Manukau_(National_Provincial_Championship)",9,0,"2015","2015"
"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","senior_club","2016-2017","taranaki","Taranaki_(National_Provincial_Championship)",16,15,"2016","2017"
"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","senior_club","2017-2018","chiefs","Chiefs_(Super_Rugby)",16,15,"2017","2018"
"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","senior_club","2018-2022","toshiba brave lupus","Toshiba_Brave_Lupus_Tokyo",11,5,"2018","2022"
"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","senior_club","2022-2024","shizuoka blue revs","Shizuoka_Blue_Revs",0,0,"2022","2024"
"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","senior_club","2024-","mie honda heat","Mie_Honda_Heat",0,0,"2024",NA
"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","international","2013-2013","new zealand schools","New_Zealand_national_schoolboy_rugby_union_team",0,0,"2013","2013"
"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","international","2015-2015","new zealand u20","New_Zealand_national_under-20_rugby_union_team",1,0,"2015","2015"
"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2016-2017","northland","Northland_Rugby_Union",21,30,"2016","2017"
"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2017-2020","chiefs","Chiefs_(Super_Rugby)",47,95,"2017","2020"
"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2018-2018","tasman","Tasman_Rugby_Union",9,20,"2018","2018"
"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2019-2020","waikato","Waikato_Rugby_Union",5,15,"2019","2020"
"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2021-2022","highlanders","Highlanders_(rugby_union)",2,0,"2021","2022"
"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2021-2022","southland","Rugby_Southland",13,20,"2021","2022"
"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2023-2023","canterbury","Canterbury_Rugby_Football_Union",9,15,"2023","2023"
"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2025-","moana pasifika","Moana_Pasifika",0,0,"2025",NA
"Q27735730","Quinten Strange","Quinten Strange","Quinten_Strange","senior_club","2016-","tasman","Tasman_(National_Provincial_Championship)",75,45,"2016",NA
"Q27735730","Quinten Strange","Quinten Strange","Quinten_Strange","senior_club","2017-","crusaders","Crusaders_(rugby_union)",72,25,"2017",NA
"Q27735730","Quinten Strange","Quinten Strange","Quinten_Strange","international","2016-2016","new zealand u20","New_Zealand_national_under-20_rugby_union_team",7,15,"2016","2016"
"Q27735730","Quinten Strange","Quinten Strange","Quinten_Strange","international","2023-","all blacks xv","All_Blacks_XV",2,0,"2023",NA
"Q107504076","John Selwyn Moll","John Selwyn Moll","John_Selwyn_Moll","senior_club","1932-1938","lloyds bank","Lloyds_Bank_RFC",0,0,"1932","1938"
