"original","normalized","keep"
"Guam","Guam",FALSE
"Guernsey","Guernsey",FALSE
"Guinea","Guinea",FALSE
"Guinea-Bissau","Guinea-Bissau",FALSE
"Haiti","Haiti",FALSE
"Halifax","England",TRUE
"Hampshire","England",TRUE
"Hants","England",TRUE
"Havering","England",TRUE
"Hawaii","U.S.A.",TRUE
"Hérault","France",TRUE
"Hertfordshire","England",TRUE
"Hong Kong","Hong Kong",FALSE
"Illinois","U.S.A.",TRUE
"India","India",FALSE
"Indiana","U.S.A.",TRUE
"Indonesia","Indonesia",FALSE
"Inmoldova","Moldova",FALSE
"Iowa","U.S.A.",TRUE
"Iran","Iran",FALSE
"Ireland","Ireland",FALSE
"Ireland.","Ireland",FALSE
"Irish Free State","Ireland",FALSE
"Isle Of Man","United Kingdom",TRUE
"Isle Of Wight","England",TRUE
"Israel","Israel",FALSE
"Italian Libya","Libya",FALSE
"Italy","Italy",FALSE
"Ivory Coast","Ivory Coast",FALSE
"Jamaica","Jamaica",FALSE
"Japan","Japan",FALSE
"Jersey","Jersey",FALSE
"Johannesburg","South Africa",TRUE
"Kadavu","Fiji",TRUE
"Karas Region","Namibia",TRUE
"Kazakhstan","Kazakhstan",FALSE
"Kent","England",TRUE
"Kenya","Kenya",FALSE
"Kenya Colony","Kenya",FALSE
"Kingdom Of Greece","Greece",FALSE
"Kingdom Of Italy","Italy",FALSE
"Kingdom Of Romania","Romania",FALSE
"Kingdom Of Württemberg","Germany",FALSE
"Kwazulu-Natal","South Africa",TRUE
"Lancashire","England",TRUE
"Landes","France",TRUE
"Latvian Ssr","Latvia",FALSE
"Leeds","England",TRUE
"Leicester","England",TRUE
"Leicestershire","England",TRUE
"Libya","Libya",FALSE
"Limerick","Ireland",TRUE
"Limpopo","South Africa",TRUE
"Lincolnshire","England",TRUE
"Lithuania","Lithuania",FALSE
"Lombardy","Italy",TRUE
"London","England",TRUE
"London Borough Of Bexley","England",TRUE
"Louisiana","U.S.A.",TRUE
"Macedonia","Macedonia",FALSE
"Madagascar","Madagascar",FALSE
"Malawi","Malawi",FALSE
"Malaya","Malaysia",FALSE
"Malaysia","Malaysia",FALSE
"Malta","Malta",FALSE
"Manchester","England",TRUE
"Manitoba","Canada",TRUE
"Martinique","France",TRUE
"Maryland","U.S.A.",TRUE
"Massachusetts","U.S.A.",TRUE
"Mauritius","Mauritius",FALSE
"Mediterranean Seaoffcrete","Crete",FALSE
"Mendoza","Argentina",TRUE
"Merionethshire","England",TRUE
"Merseyside","England",TRUE
"Mexico","Mexico",FALSE
"Middlesex","England",TRUE
"Midlothian","Scotland",TRUE
"Minnesota","U.S.A.",TRUE
"Missouri","U.S.A.",TRUE
"Miyagi","Japan",TRUE
"Moldova","Moldova",FALSE
"Monaco","Monaco",FALSE
"Monmouthshire","England",TRUE
"Morocco","Morocco",FALSE
"Mozambique","Mozambique",FALSE
"Mpumalanga","South Africa",TRUE
"Myanmar","Myanmar",FALSE
"N.ireland","Ireland",FALSE
"Nadi","Fiji",TRUE
"Nadroga","Fiji",TRUE
"Namibia","Namibia",FALSE
"Natal","South Africa",TRUE
"Nazi Germany","Germany",FALSE
"Netherland","Netherlands",FALSE
"Netherlands","Netherlands",FALSE
"New Brunswick","Canada",TRUE
"New Caledonia","France",TRUE
"New Guinea","Papua New Guinea",FALSE
"New South Wales","Australia",TRUE
"New York","U.S.A.",TRUE
"New Zealand","New Zealand",FALSE
"Newfoundland And Labrador","Canada",TRUE
"Niger","Niger",FALSE
"Nigeria","Nigeria",FALSE
"Norfolk","England",TRUE
"North Carolina","U.S.A.",TRUE
"North German Confederation","Germany",FALSE
"North London","England",TRUE
"North West","South Africa",TRUE
"North Yorkshire","England",TRUE
"Northamptonshire","England",TRUE
"Northern Cape","South Africa",TRUE
"Northern Ireland","Ireland",FALSE
"Northern Rhodesia","Zimbabwe",FALSE
"Northern Territory","Australia",TRUE
"Northumberland","England",TRUE
"Norway","Norway",FALSE
"Nsw","Australa",TRUE
"Nyasaland","Malawi",FALSE
"Nz","NEw Zealand",FALSE
"Off Greenland","Denmark",FALSE
"Off Scotland","Scotland",FALSE
"Okavango Region","Botswana",TRUE
"Oklahoma","U.S.A.",TRUE
"Ontario","Canada",TRUE
"Orange Free State","South Africa",TRUE
"Orange River Colony","South Africa",TRUE
"Osaka","Japan",TRUE
"Otago","New Zealand",TRUE
"Ottoman Empire","Turkey",FALSE
"Ottoman Turkey","Turkey",FALSE
"Oxfordshire","England",TRUE
"Oxon","English",FALSE
"Pakistan","Pakistan",FALSE
"Palestine","Palestine",FALSE
"Papua New Guinea","Papua New Guinea",FALSE
"Paris","France",TRUE
"Pembrokeshire","England",TRUE
"Pennsylvania","U.S.A.",TRUE
"Perthshire","Scotland",TRUE
"Peru","Peru",FALSE
"Philippines","Philippines",FALSE
"Plymouth","England",TRUE
"Png","Papua New Guinea",FALSE
"Poland","Poland",FALSE
"Polish People's Republic","Poland",FALSE
"Portugal","Portugal",FALSE
"Portuguese Mozambique","Mozambique",FALSE
"Province Of Rovigo","Italy",TRUE
"Punjab","India",TRUE
"Punjaub","India",TRUE
"Qatar","Qatar",FALSE
"Qing Dynasty","China",FALSE
"Qld","Australian",TRUE
"Quebec","Canada",TRUE
"Queensland","Australia",TRUE
"Republic Ireland","Ireland",FALSE
"Republic Of Ireland","Ireland",FALSE
"Republic Of South Africa","South Africa",FALSE
"Réunion","France",TRUE
"Rhodesia","Zimbabwe",FALSE
"Rhodesia And Nyasaland","Zimbabwe",FALSE
"Rhône","France",TRUE
"Romania","Romania",FALSE
"Romănia","Romania",FALSE
"Rsa","South Africa",FALSE
"Russia","Russia",FALSE
"Russian Empire","Russia",FALSE
"Russian Federation","Russia",FALSE
"Rutland","England",TRUE
"S. Wales.","Wales",FALSE
"Saint Lucia","Saint Lucia",FALSE
"Samoa","Samoa",FALSE
"Saskatchewan","Canada",TRUE
"Saudi Arabia","Saudi Arabia",FALSE
"Scotland","Scotland",FALSE
"Scottish Borders","Scotland",FALSE
"Scottish Highlands","Scotland",FALSE
"Second French Empire","France",FALSE
"Senegal","Senegal",FALSE
"Serbia","Serbia",FALSE
"Sfr Yugoslavia","Yugoslavia",FALSE
"Shropshire","England",TRUE
"Singapore","Singapore",FALSE
"Skagerrak","Denmark",FALSE
"Socialist Republic Of Romania","Romania",FALSE
"Somerset","England",TRUE
"South-West Africa","Namibia",FALSE
"South Africa","South Africa",FALSE
"South African Republic","South Africa",FALSE
"South Australia","Australia",TRUE
"South China Sea","China",FALSE
"South Korea","South Korea",FALSE
"South Rhodesia","Namibia",FALSE
"South Wales","Wales",FALSE
"South West Africa","Namibia",FALSE
"Southern Rhodesia","Namibia",FALSE
"Soviet Union","U.S.S.R.",FALSE
"Spain","Spain",FALSE
"Sri Lanka","Sri Lanka",FALSE
"Staffordshire","England",TRUE
"Sudan","Sudan",FALSE
"Suffolk","England",TRUE
"Surrey","England",TRUE
"Sussex","England",TRUE
"Suva","Fiji",TRUE
"Swansea","Wales",TRUE
"Swaziland","Eswatini",FALSE
"Sweden","Sweden",FALSE
"Switzerland","Switzerland",FALSE
"Sydney","Australia",TRUE
"Tailevu","Fiji",TRUE
"Taiwan","Taiwan",FALSE
"Tanganyika","Tanzania",FALSE
"Tanzania","Tanzania",FALSE
"Tarn","France",TRUE
"Tasmania","Australia",TRUE
"Texas","U.S.A.",TRUE
"Thailand","Thailand",FALSE
"The Gambia","Gambia",FALSE
"The Netherlands","Netherlands",FALSE
"Tokyo","Japan",TRUE
"Tonga","Tonga",FALSE
"Tongatapu","Tonga",FALSE
"Torfaen","Wales",TRUE
"Transvaal","South Africa",TRUE
"Transvaal Province","South Africa",TRUE
"Transvaal Colony","South Africa",TRUE
"Treviso Province","Italy",TRUE
"Trinidad And Tobago","Trinidad And Tobago",FALSE
"Tunisia","Tunisia",FALSE
"Turkey","Turkey",FALSE
"Tyne And Wear","England",TRUE
"U.k.","United Kingdom",FALSE
"U.s.","U.S.A.",FALSE
"Uae","United Arab Emirates",FALSE
"Uganda","Uganda",FALSE
"Uk","United Kingdom",FALSE
"Ukraine","Ukraine",FALSE
"Union Of South Africa","South Africa",FALSE
"United Kingdom","United Kingdom",FALSE
"United States","U.S.A.",FALSE
"United States Of America","U.S.A.",FALSE
"Upolu","Samoa",TRUE
"Uruguay","Uruguay",FALSE
"Us","U.S.A.",FALSE
"Usa","U.S.A.",FALSE
"Ussr","U.S.S.R.",FALSE
"Utah","U.S.A.",TRUE
"Vale Of Glamorgan","Scotland",TRUE
"Vava'u","Tonga",TRUE
"Vava'utonga","Tonga",FALSE
"Venezuela","Venezuela",FALSE
"Venice","Italy",TRUE
"Victoria","Australia",TRUE
"Vrystaat","South Africa",TRUE
"Wakefield","England",TRUE
"Wales","Wales",FALSE
"Waleswales","Wales",FALSE
"Wallis And Futuna","France",TRUE
"Wang Jingwei Regime","China",FALSE
"Warwickshire","England",TRUE
"Washington","U.S.A.",TRUE
"Wellington","NEw Zealand",TRUE
"West Germany","Germany",FALSE
"West Indies","West Indies",FALSE
"West London","England",TRUE
"West Midlands","England",TRUE
"West Sussex","England",TRUE
"West Wales","Wales",FALSE
"West Yorkshire","England",TRUE
"Western Australia","Australia",FALSE
"Western Cape","South Africa",TRUE
"Western Samoa","Samoa",FALSE
"Whittlesea","Australia",TRUE
"Wigan","England",TRUE
"Wiltshire","England",TRUE
"Worcestershire","England",TRUE
"Yasawa","Fiji",TRUE
"Yorkshire","England",TRUE
"Zaire","Zaire",FALSE
"Zambia","Zambia",FALSE
"Zimbabwe","Zimbabwe",FALSE
"Zimbabwe Rhodesia","Zimbabwe",FALSE
